完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
5181-641AA13,1,1,L2-5181-641AA13,1,4,L1-720-65212-DRUM,1,1,MA-720-65212-DRUM,0,0,,0,0,,0,0,
5181-502AA18,1,1,L1-59-502B18,1,1,MA-59-502B18,0,0,,0,0,,0,0,,0,0,
5181-602AA18,1,1,MA-RH-0031A-06E,0,0,,0,0,,0,0,,0,0,,0,0,
5181-602GA18,1,1,MA-RH-0031A-07E,0,0,,0,0,,0,0,,0,0,,0,0,
3557-502BA34,1,1,PL-3557-502BA34,1,1,L1-4109-502AA34,1,1,MA-600-502AA34,0,0,,0,0,,0,0,
5181-601AA13,1,1,LA-1751-601CA13-L2,1,1,L1-1751-601CA13,1,1,MA-1751-601AA13,0,0,,0,0,,0,0,
5181-602BA13,1,1,MA-RH-0031A-07E,0,0,,0,0,,0,0,,0,0,,0,0,
5181-602AA13,1,1,MA-RH-0031A-07E,0,0,,0,0,,0,0,,0,0,,0,0,
5181-501AA13,1,1,L1-1751-501CA13,1,1,MA-1751-501AA13,0,0,,0,0,,0,0,,0,0,
161-406JB38-KYOUEI,1,1,LA-161-406JB38-MC-KYOUEI,1,1,MA-161-406JA38,0,0,,0,0,,0,0,,0,0,
5108-602EC33,1,1,MA-RH-0031A-05E,0,0,,0,0,,0,0,,0,0,,0,0,
5108-502EB33,1,1,L1-5108-502AA33,1,1,MA-5108-502AA33,0,0,,0,0,,0,0,,0,0,
5108-602BB33,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,
6110-502AA38,1,1,L1-5546-502AA38,1,1,MA-5546-502AA38,0,0,,0,0,,0,0,,0,0,
161-406JB33-KYOUEI,1,1,LA-161-406JB33-MC-KYOUEI,1,1,MA-161-406JA33,0,0,,0,0,,0,0,,0,0,
1751-406CB17,1,1,LA-1751-406CB17-MC,1,1,L1-1751-406CB17,1,1,MA-1751-406CB17,0,0,,0,0,,0,0,
1751-406CB20,1,1,LA-1751-406CB20-MC,1,1,L1-1751-406CB20,1,1,MA-1751-406CB20,0,0,,0,0,,0,0,
1751-406CB18,1,1,LA-1751-406CB18-MC,1,1,L1-1751-406CB18,1,1,MA-1751-406CB18,0,0,,0,0,,0,0,
1751-406CB21,1,1,LA-1751-406CB21-MC,1,1,L1-1751-406CB21,1,1,MA-1751-406CB21,0,0,,0,0,,0,0,
6211-409AA340,1,1,L1-5516-409AA34-S,1,1,MA-5516-409AA34-S,0,0,,0,0,,0,0,,0,0,
130-407AA13,1,1,L2-130-407AA13,1,1,L1-130-407AA13,1,1,MA-130-407AA13,0,0,,0,0,,0,0,
1355-414AA,1,1,L2-1355-414AA,1,1,L1-1355-414AA,1,1,MA-1355-414AA,0,0,,0,0,,0,0,
1355-417AB24,1,3,MA-1355-417AB24-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,
5521-601AB19,1,1,LA-1355-601BA19-L2,1,1,L1-1355-601BA19,1,1,MA-1355-601BA19,0,0,,0,0,,0,0,
12Q-411KA36,1,1,LA-12Q-411KA36-MC,1,1,LA-12Q-411BA36-L2,1,1,L1-12Q-411BA36,1,1,MA-12Q-411BA36,0,0,,0,0,
1355-406AB19,1,1,LA-1355-406AB19-MC,1,1,LA-1355-406AB19-D,1,1,L1-1355-406AB19,1,1,MA-1355-406AB19,0,0,,0,0,
162-406BB30,1,1,LA-162-406BB30-MC,1,1,LA-162-406BB30-D,1,1,L1-162-406BB30,1,1,MA-162-406BB30,0,0,,0,0,
130-501BA14,1,1,L1-130-501BA14,1,1,MA-130-501BA14,0,0,,0,0,,0,0,,0,0,
1355-402AA24,1,1,L1-1355-402AA24,1,1,MA-1355-402AA24,0,0,,0,0,,0,0,,0,0,
1355-403CB24,1,1,L1-1355-403CB24,1,1,MA-1355-403CB24,0,0,,0,0,,0,0,,0,0,
1355-440AA24,1,1,L1-1355-440AA24,1,1,MA-1355-440AA24,0,0,,0,0,,0,0,,0,0,
201-502BA13,1,1,L1-201-502BA13,1,1,MA-201-502BA13,0,0,,0,0,,0,0,,0,0,
3154-409AB190,1,1,L1-3154-409AA19-S,1,4,MA-3154-409AA19-S,0,0,,0,0,,0,0,,0,0,
3154-409AB220,1,1,L1-3154-409AA22-S,1,4,MA-3154-409AA22-S,0,0,,0,0,,0,0,,0,0,
335-409EA300,1,1,L1-478-409BA30-S,1,1,MA-478-409BA30-S,0,0,,0,0,,0,0,,0,0,
5521-502AB19,1,1,L1-5521-502AB19,1,1,MA-5521-502AB19,0,0,,0,0,,0,0,,0,0,
5527-501AA19,1,1,L1-5527-501AA19,1,1,MA-5527-501AA19,0,0,,0,0,,0,0,,0,0,
