No,完成部番,単位数分子,単位数分母,前工程
6,K-25046EA,1.0,1.0,SS400-14X30X52
6,K-25046FA,1.0,1.0,SS400-14X14X155
6,K-25047AA,1.0,1.0,PL-K-25047AA
6,K-25058AA,1.0,1.0,SS400-44X92X6
6,K-25059AA,1.0,2.0,SS400-100X100X6
6,K-25906BB,1.0,1.0,PL-K-25906BB
6,K-30404VA34,1.0,1.0,SS400-14X17X68.5
6,K-30604CA,1.0,1.0,MC-K-30604CA
6,K-30605AA,1.0,1.0,MC-K-30605AA
6,K-30605AB,1.0,1.0,MC-K-30605AB
6,K-30605CA,1.0,1.0,MC-K-30605CA
6,K-30605CB,1.0,1.0,MC-K-30605CB
6,K-30606AB,1.0,1.0,MC-K-30606AB
6,K-30606AC,1.0,1.0,MC-K-30606AC
6,K-30606BA,1.0,1.0,MV-K-30606BA
6,K-30606BB,1.0,1.0,MV-K-30606BB
6,K-30606BC,1.0,1.0,MV-K-30606BC
6,K-30606CA,1.0,1.0,MC-K-30606CA
6,K-30606CB,1.0,1.0,MC-K-30606CB
6,K-30606CC,1.0,1.0,MC-K-30606CC
6,K-30606DC,1.0,1.0,MC-K-30606DC
6,K-30606EA,1.0,1.0,MV-K-30606EA
6,K-30606EB,1.0,1.0,MV-K-30606EB
6,K-30607BA,1.0,1.0,MV-K-30607BA
6,K-5302B,1.0,1.0,MC-K-5302B
6,K-5305,1.0,1.0,MC-K-5305
6,K-6509DA21,1.0,1.0,S50C-90X40X27
6,KD63-00407AA,1.0,1.0,PL-KD63-00407AA
6,KD63-00407AB,1.0,1.0,PL-KD63-00407AB
6,KD64-00102AA,1.0,1.0,MV-KD64-00102AA
6,KD64-00206AA,1.0,1.0,MV-KD64-00206AA
6,KD64-00207AC,1.0,1.0,MV-KD64-00207AC
6,KD64-00208AA,1.0,1.0,MV-KD64-00208AA
6,KD64-00208AB,1.0,1.0,MV-KD64-00208AB
6,KD64-00304BA,1.0,1.0,SKD38X38X110
6,KD64-00504AB,1.0,1.0,MV-KD64-00504AB
6,KD64-00733AB,1.0,1.0,MV-KD64-00733AB
6,KD65-00901AA,1.0,1.0,HT-KD65-00901AA
6,KF12-00805AA,1.0,1.0,FPS-17-001AA
5,KF22-002AA,1.0,1.0,MC-KF22-002AA
6,KF22-002AA,1.0,1.0,AO-KF22-002AA
5,KF22-002BA,1.0,1.0,MC-KF22-002BA
6,KF22-002BA,1.0,1.0,AO-KF22-002BA
5,KF22-002CA,1.0,1.0,MC-KF22-002CA
6,KF22-002CA,1.0,1.0,AO-KF22-002CA
5,KF22-002HA,1.0,1.0,MC-KF22-002CA
6,KF22-002HA,1.0,1.0,AO-KF22-002HA
5,KF22-002JA,1.0,1.0,MC-KF22-002CA
6,KF22-002JA,1.0,1.0,AO-KF22-002JA
5,KF22-002KA,1.0,1.0,MC-KF22-002KA
6,KF22-002KA,1.0,1.0,AO-KF22-002KA
5,KF22-002LA,1.0,1.0,MC-KF22-002LA
6,KF22-002LA,1.0,1.0,AO-KF22-002LA
5,KF22-002MA,1.0,1.0,MC-KF22-002MA
6,KF22-002MA,1.0,1.0,AO-KF22-002MA
5,KF22-002NA,1.0,1.0,MC-KF22-002NA
6,KF22-002NA,1.0,1.0,AO-KF22-002NA
5,KF22-002PA,1.0,1.0,MC-KF22-002PA
6,KF22-002PA,1.0,1.0,AO-KF22-002PA
6,KF46-00301AA,1.0,1.0,FPP-16-001AA
6,KF46-00301AB,1.0,1.0,FPP-16-001AB
6,KS64-00425DB,1.0,1.0,SKD103254-ACTUATOR
6,KS64-00504AA,1.0,1.0,MC-KS64-00504AA
6,KS64-00504AB,1.0,1.0,MC-KS64-00504AB
6,KS64-00504BA,1.0,1.0,MV-KS64-00504BA
6,KS64-00504CA,1.0,1.0,MC-KS64-00504CA
6,KS64-00504CB,1.0,1.0,MC-KS64-00504CB
6,KS64-00504DA,1.0,1.0,MC-KS64-00504DA
6,KS64-00504EA,1.0,1.0,MC-KS64-00504EA
6,KS64-00504FA,1.0,1.0,MV-KS64-00504FA
6,KS64-00504GA,1.0,1.0,MV-KS64-00504GA
6,KS64-00505BA,1.0,1.0,MV-KS64-00505BA
6,KS64-00505EA,1.0,1.0,MC-KS64-00505EA
6,KS64-00505FA,1.0,1.0,MV-KS64-00505FA
6,KS64-00505GA,1.0,1.0,MV-KS64-00505GA
6,KS64-00515EA,1.0,1.0,PL-KS64-00515EA
6,KS64-02404EA,1.0,1.0,MC-KS64-02404-M101
6,KS91-00301CB30,1.0,1.0,S45C-32X120X200
6,KS91-00301DA32,1.0,1.0,SKD11-20X40X30
6,KS91-00302BA30,1.0,1.0,SKD11-20X30X40
6,KS91-00302BA32,1.0,1.0,S50C-120X200X22
6,KS91-00302BB30,1.0,1.0,SKD11-20X30X40
6,KS91-00302BB32,1.0,1.0,S50C-120X200X22
6,KS91-00302BC30,1.0,1.0,SKD11-20X30X40
6,KS91-00302BC32,1.0,1.0,S50C-120X200X22
6,KS91-00829CA,1.0,4.0,S50C-32X150X300
6,KUT-206MA,1.0,1.0,AO-KUT-206MA
6,KUT-206NA,1.0,1.0,AO-KUT-206NA
6,KUT-206PA,1.0,1.0,AO-KUT-206PA
6,KUT-206PB,1.0,1.0,AO-KUT-206PB
6,KUT-302C,1.0,1.0,PA-KUT-302C
6,LS61-03601AA,1.0,1.0,PL-LS61-03601AA
6,LU-6601,1.0,1.0,PA-LU-6601
6,SPL-1912FA,1.0,1.0,E-15001LC
5,SPL-2255AA,1.0,1.0,K-30611AA
6,SPL-2255AA,1.0,1.0,PL-SPL-2255AA
5,SPL-2255BA,1.0,1.0,K-30616BA
6,SPL-2255BA,1.0,1.0,PL-SPL-2255BA
6,SPL-2277AA,1.0,1.0,KD64-01704AC
6,SPL-2277BA,1.0,1.0,KD64-01704BB
5,SPL-2892AA,1.0,1.0,KF20-01601AA
6,SPL-2892AA,1.0,1.0,MC-SPL-2892AA
5,SPL-2944-204JA2200,1.0,1.0,VN-SPL-2944-204JA2200
6,SPL-2944-204JA2200,1.0,1.0,AO-SPL-2944-204JA2200
5,SPL-2944-204JA2300,1.0,1.0,VN-SPL-2944-204JA2300
6,SPL-2944-204JA2300,1.0,1.0,AO-SPL-2944-204JA2300
5,SPL-2944-204KA2200,1.0,1.0,VN-SPL-2944-204KA2200
6,SPL-2944-204KA2200,1.0,1.0,AO-SPL-2944-204KA2200
5,SPL-2944-204KA2300,1.0,1.0,VN-SPL-2944-204KA2300
6,SPL-2944-204KA2300,1.0,1.0,AO-SPL-2944-204KA2300
6,TS-5285BA01,1.0,1.0,SS400-19X100X130
6,TS-5315DA,1.0,19.0,S50C-120X390X6.35
6,TS-5319DA,1.0,15.0,SK3-7X55X390
6,TS-5330AA,1.0,5.0,S45C-13.2X40X390
6,TS-5330BA,1.0,5.0,S45C-7.5X50X390
6,TS-5330CA,1.0,5.0,S45C-7.5X50X390
6,TS-5330FA,1.0,1.0,SS400-9X60X44
6,TS-5330GA,1.0,1.0,SS400-9X22X25
6,TS-5330HA,1.0,1.0,SS400-12X14X14
6,TS-5509-270EA1333-1,1.0,1.0,L-TS-5509-270EA1333-1
6,YCF-104C1,1.0,4.0,SK5-4.5X30X97
6,YCF-125TA,1.0,1.0,SK5-5.0X40X97
6,YCF-127VA,1.0,16.0,SK3-6.5X50X390
6,YCF-140DD,1.0,3.0,SK3-16.7X55X120
6,YCM-109B,1.0,4.0,SK5-4.0X40X97
6,YCM-113C,1.0,1.0,SK5-4.0X40X97
6,YCM-193,1.0,4.0,SK5-3.5X40X97
6,YCM-55D,1.0,1.0,YCM-55B
6,YD65-151CA,1.0,1.0,YCF-151CA
6,YS65-04908BA,1.0,1.0,FSP-18-003AA
6,YS65-04908CA,1.0,1.0,FSP-20-002AA
6,YS65-06601BB,1.0,5.0,SK3-10X40X390
6,YS65-10701AA,1.0,7.0,SK3-4X80X390
6,YS65-13801MA,1.0,4.0,SK5-4.0X40X97
6,YS65-14606AC,1.0,1.0,FSP-17-002AA
6,YS65-14606BC,1.0,1.0,FSP-20-001AA
6,YS65-15201DA,1.0,8.0,SK3-12.1X25X150
5,K-26719HB,1.0,1.0,L-K-26719HB
6,K-26719HB,1.0,1.0,PA-K-26719HB
6,KUT-206SA,1.0,1.0,AO-KUT-206SA
6,DC-757UDG,1.0,1.0,AO-DC-757UDG
5,TS-1331-201HA2500,1.0,1.0,TS-L-1331-201HA2500
6,TS-1331-201HA2500,1.0,1.0,TS-AO-1331-201HA2500
5,TS-1331-202DA2500,1.0,1.0,TS-L-1331-202DA2500
6,TS-1331-202DA2500,1.0,1.0,TS-AO-1331-202DA2500
5,SPL-2944-204JA2500,1.0,1.0,L-SPL-2944-204JA2500
6,SPL-2944-204JA2500,1.0,1.0,AO-SPL-2944-204JA2500
5,SPL-2944-204KA2500,1.0,1.0,L-SPL-2944-204KA2500
6,SPL-2944-204KA2500,1.0,1.0,AO-SPL-2944-204KA2500
6,KF46-00404BB,1.0,1.0,KF46-00404BB-NK
6,KF46-00401AB,1.0,1.0,FSP-24-001AA
6,KF46-00402AB,1.0,1.0,FSP-18-002AA
5,00-1090AA30,55.0,1000.0,SUJ3038068
6,00-1090AA30,1.0,1.0,S6H3822
5,00-1090GA30,200.0,1000.0,SUJ3019019
6,00-1090GA30,1.0,1.0,S191960
5,00-1113D34,133.0,1000.0,SKD11032072
6,00-1113D34,1.0,1.0,SKD7B3270
4,FLD-DB1,98.0,1000.0,SKD11035055
5,FLD-DB1,1.0,1.0,SKD5E3555
6,FLD-DB1,1.0,1.0,FLD-MB1
5,MA-226-516AB30,54.0,1000.0,SKD11015067
6,MA-226-516AB30,1.0,1.0,SKD6G1565
5,MA-3323-505AA26,52.0,1000.0,SKD11012050
6,MA-3323-505AA26,1.0,1.0,SKD5Z1293
5,MA-3323-505BA26,24.0,1000.0,SKD11012050
6,MA-3323-505BA26,1.0,1.0,SKD5Z1248
5,MA-3501-52011HA30,26.0,1000.0,SKD11022067
6,MA-3501-52011HA30,1.0,1.0,SKD6G2220
5,MA-3501-52012AA24,86.0,1000.0,SKD11029082
6,MA-3501-52012AA24,1.0,1.0,SKD8B2944
5,MA-3501-52013AA24,63.0,1000.0,SKD11021082
6,MA-3501-52013AA24,1.0,1.0,SKD8B2144
5,MA-3501-52014AA24,92.0,1000.0,SKD11021082
6,MA-3501-52014AA24,1.0,1.0,SKD8B2165
5,MA-3501-52014AA26,85.0,1000.0,SKD11021082
6,MA-3501-52014AA26,1.0,1.0,SKD8B2160
5,MA-3501-52032AA34,127.0,1000.0,SKD11029082
6,MA-3501-52032AA34,1.0,1.0,SKD8B2965
5,MA-3501-52032AA38,127.0,1000.0,SKD11029082
6,MA-3501-52032AA38,1.0,1.0,SKD8B2965
5,MA-3501-52041AA24,27.0,1000.0,SKD11022067
6,MA-3501-52041AA24,1.0,1.0,SKD6G2222
5,MA-3501-52043AA24,63.0,1000.0,SKD11021082
6,MA-3501-52043AA24,1.0,1.0,SKD8B2144
5,MA-3501-62001MB26,131.0,1000.0,SKD11040057
6,MA-3501-62001MB26,1.0,1.0,SKD5G4070
5,MA-3501-62001PB26,131.0,1000.0,SKD11040057
6,MA-3501-62001PB26,1.0,1.0,SKD5G4070
5,MA-3501-62001UA24,131.0,1000.0,SKD11040057
6,MA-3501-62001UA24,1.0,1.0,SKD5G4070
5,MA-3501-62021AA30,105.0,1000.0,SKD11025067
6,MA-3501-62021AA30,1.0,1.0,SKD6G2576
5,MA-3501-62021AL24,105.0,1000.0,SKD11025067
6,MA-3501-62021AL24,1.0,1.0,SKD6G2576
5,MA-3501-62021AL30,105.0,1000.0,SKD11025067
6,MA-3501-62021AL30,1.0,1.0,SKD6G2576
5,MA-3501-62031AA24,124.0,1000.0,SKD11025067
6,MA-3501-62031AA24,1.0,1.0,SKD6G2590
5,MA-3501-62031AA30,113.0,1000.0,SKD11025067
6,MA-3501-62031AA30,1.0,1.0,SKD6G2582
5,MA-3501-62041AA26,28.0,1000.0,SKD11025055
6,MA-3501-62041AA26,1.0,1.0,SKD5E2522
5,MA-3501-62041AA30,28.0,1000.0,SKD11025055
6,MA-3501-62041AA30,1.0,1.0,SKD5E2522
5,MA-3501-62041AA34,28.0,1000.0,SKD11025055
