区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
2,100-201C1081,1,1,AO-100-201C1081,1,1,L-100-201C1081,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-201C1150,1,1,AO-100-201C1150,1,1,L-100-201C1150,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-201C1240,1,1,AO-100-201C1240,1,1,L-100-201C1240,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-201C1333,1,1,AO-100-201C1333,1,1,L-100-201C1333,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-201E0290,1,1,AO-100-201E0290,1,1,MA-100-201E0290,0,0,,0,0,,0,0,,0,0,
2,100-201E1150,1,1,AO-100-201E1150,1,1,L-100-201E1150,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-201F1081,1,1,AO-100-201F1081,1,1,L-100-201F1081,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-201F1150,1,1,AO-100-201F1150,1,1,L-100-201F1150,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-201F1240,1,1,AO-100-201F1240,1,1,L-100-201F1240,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-201F1333,1,1,AO-100-201F1333,1,1,L-100-201F1333,1,1,MA-165-202AA1531,0,0,,0,0,,0,0,
2,100-201F1411,1,1,AO-100-201F1411,1,1,L-100-201F1411,1,1,MA-165-202AA1531,0,0,,0,0,,0,0,
2,100-201JA1333T,1,1,AO-100-201JA1333T,1,1,L-100-201JA1333T,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202A0800,1,1,AO-100-202A0800,1,1,L-100-202A0800,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202A0930,1,1,AO-100-202A0930,1,1,L-100-202A0930,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202A1081,1,1,AO-100-202A1081,1,1,L-100-202A1081,1,1,MA-165-201202CA1081-1081T,0,0,,0,0,,0,0,
2,100-202A1150,1,1,AO-100-202A1150,1,1,L-100-202A1150,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202A1150S,1,1,AO-100-202A1150S,1,1,L-100-202A1150S,1,1,MA-100-202A1150S,0,0,,0,0,,0,0,
2,100-202A1240,1,1,AO-100-202A1240,1,1,L-100-202A1240,1,1,MA-165-201202CA1333-1531T,0,0,,0,0,,0,0,
2,100-202A1240S,1,1,AO-100-202A1240S,1,1,L-100-202A1240S,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202A1333,1,1,AO-100-202A1333,1,1,L-100-202A1333,1,1,MA-165-201202CA1333-1531T,0,0,,0,0,,0,0,
2,100-202AB1240S,1,1,AO-100-202AB1240S,1,1,L-100-202AB1240S,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202B0800,1,1,AO-100-202B0800,1,1,L-100-202B0800,1,1,MA-165-201-202CA1531,0,0,,0,0,,0,0,
2,100-202B0930,1,1,AO-100-202B0930,1,1,L-100-202B0930,1,1,MA-165-201-202CA1531,0,0,,0,0,,0,0,
2,100-202B1081,1,1,AO-100-202B1081,1,1,L-100-202B1081,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-202B1150,1,1,AO-100-202B1150,1,1,L-100-202B1150,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-202B1240,1,1,AO-100-202B1240,1,1,L-100-202B1240,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-202B1333,1,1,AO-100-202B1333,1,1,L-100-202B1333,1,1,MA-165-202AA1531,0,0,,0,0,,0,0,
2,100-202E1150,1,1,AO-100-202E1150,1,1,L-100-202E1150,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202EB1081,1,1,AO-100-202EB1081,1,1,L-100-202EB1081,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202EB1150,1,1,AO-100-202EB1150,1,1,L-100-202EB1150,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202EB1240,1,1,AO-100-202EB1240,1,1,L-100-202EB1240,1,1,MA-165-201202CA1333-1531T,0,0,,0,0,,0,0,
2,100-202EB1240S,1,1,AO-100-202EB1240S,1,1,L-100-202EB1240S,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202EB1333,1,1,AO-100-202EB1333,1,1,L-100-202EB1333,1,1,MA-165-201202CA1333-1531T,0,0,,0,0,,0,0,
2,100-202EB1333T,1,1,AO-100-202EB1333T,1,1,L-100-202EB1333T,1,1,MA-165-201202CA1150-1333T,0,0,,0,0,,0,0,
2,100-202EB1411,1,1,AO-100-202EB1411,1,1,L-100-202EB1411,1,1,MA-165-201202CA1333-1531T,0,0,,0,0,,0,0,
2,100-202EC0290,1,1,AO-100-202EC0290,1,1,MA-100-202EC0290,0,0,,0,0,,0,0,,0,0,
2,100-202F0290,1,1,AO-100-202F0290,1,1,MA-100-202F0290,0,0,,0,0,,0,0,,0,0,
2,100-202F1081,1,1,AO-100-202F1081,1,1,L-100-202F1081,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-202F1150,1,1,AO-100-202F1150,1,1,L-100-202F1150,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-202F1240,1,1,AO-100-202F1240,1,1,L-100-202F1240,1,1,MA-165-202AA1333,0,0,,0,0,,0,0,
2,100-202F1333,1,1,AO-100-202F1333,1,1,L-100-202F1333,1,1,MA-165-202AA1531,0,0,,0,0,,0,0,
2,100-202F1411,1,1,AO-100-202F1411,1,1,L-100-202F1411,1,1,MA-165-202AA1531,0,0,,0,0,,0,0,
3,100-204AA,1,1,MC-100-204AA,1,1,MA-100-204AA,0,0,,0,0,,0,0,,0,0,
3,100-204BA,1,1,PA-100-204BA,1,1,MC-100-204BA,1,1,MA-100-204BA,0,0,,0,0,,0,0,
3,100-205AA,1,1,MC-100-205AA,1,1,MA-100-205AA,0,0,,0,0,,0,0,,0,0,
3,100-205BA,1,1,PA-100-205BA,1,1,MC-100-205BA,1,1,MA-100-205BA,0,0,,0,0,,0,0,
3,100-205FA,1,1,PA-100-205FA,1,1,MC-100-205FA,1,1,MA-100-205FA,0,0,,0,0,,0,0,
2,100-206C1333,1,1,L-100-206C1333,1,1,MA-100-206C,0,0,,0,0,,0,0,,0,0,
2,100-206D1150,1,1,L-100-206D1150,1,1,MA-165-256BA1531,0,0,,0,0,,0,0,,0,0,
2,100-208-AA0490,1,1,PL-100-208-AA0490,1,1,MA-100-208-AA0490,0,0,,0,0,,0,0,,0,0,
2,100-208-AA0700,1,1,PL-100-208-AA0700,1,1,MA-100-208-AA0700,0,0,,0,0,,0,0,,0,0,
2,100-208-AA0800,1,1,PL-100-208-AA0800,1,1,MA-100-208-AA0800,0,0,,0,0,,0,0,,0,0,
2,100-208-AA0930,1,1,PL-100-208-AA0930,1,1,MA-100-208-AA0930,0,0,,0,0,,0,0,,0,0,
2,100-208-AA1081,1,1,PL-100-208-AA1081,1,1,MA-100-208-AA1081,0,0,,0,0,,0,0,,0,0,
2,100-208-AA1150,1,1,PL-100-208-AA1150,1,1,MA-100-208-AA1150,0,0,,0,0,,0,0,,0,0,
2,100-208-AA1240,1,1,PL-100-208-AA1240,1,1,MA-100-208-AA1240,0,0,,0,0,,0,0,,0,0,
2,100-208-AA1333,1,1,PL-100-208-AA1333,1,1,MA-100-208-AA1333,0,0,,0,0,,0,0,,0,0,
2,100-208-AA1531,1,1,PL-100-208-AA1531,1,1,MA-100-208-AA1531,0,0,,0,0,,0,0,,0,0,
2,100-208-AA1680,1,1,PL-100-208-AA1680,1,1,MA-100-208-AA1680,0,0,,0,0,,0,0,,0,0,
2,100-208-AA2200,1,1,PL-100-208-AA2200,1,1,MA-100-208-AA2200,0,0,,0,0,,0,0,,0,0,
2,100-208-AA2300,1,1,PL-100-208-AA2300,1,1,MA-100-208-AA2300,0,0,,0,0,,0,0,,0,0,
2,100-208-AA2350,1,1,PL-100-208-AA2350,1,1,MA-100-208-AA2350,0,0,,0,0,,0,0,,0,0,
2,100-208-AA2500,1,1,PL-100-208-AA2500,1,1,MA-100-208-AA2500,0,0,,0,0,,0,0,,0,0,
2,100-208-AA2650,1,1,PL-100-208-AA2650,1,1,MA-100-208-AA2650,0,0,,0,0,,0,0,,0,0,
2,100-210C,1,1,MA-100-210C,0,0,,0,0,,0,0,,0,0,,0,0,
2,100-210CS,1,1,MA-100-210C,0,0,,0,0,,0,0,,0,0,,0,0,
2,100-211B,1,1,MA-100-211B,0,0,,0,0,,0,0,,0,0,,0,0,
3,100-213,1,1,PEFIN-100-213,1,1,MA-100-213,0,0,,0,0,,0,0,,0,0,
