No,完成部番,単位数分子,単位数分母,前工程
2,0106-12A01CA20,0.0,0.0,
3,0106-12A01CA20,0.0,0.0,
4,0106-12A01CA20,0.0,0.0,
5,0106-12A01CA20,1.0,1.0,MA-0106-12A01CA20
6,0106-12A01CA20,1.0,1,PA-0106-12A01CA20
1,01-702AA,0.0,0.0,
2,01-702AA,0.0,0.0,
3,01-702AA,0.0,0.0,
4,01-702AA,0.0,0.0,
5,01-702AA,1.0,1.0,MA-01-702AA
6,01-702AA,1.0,1,PL-01-702AA
1,01-702AB,0.0,0.0,
2,01-702AB,0.0,0.0,
3,01-702AB,0.0,0.0,
4,01-702AB,0.0,0.0,
5,01-702AB,1.0,1.0,MA-01-702AB
6,01-702AB,1.0,1,PL-01-702AB
1,01-707AA,0.0,0.0,
2,01-707AA,0.0,0.0,
3,01-707AA,0.0,0.0,
4,01-707AA,0.0,0.0,
5,01-707AA,1.0,1.0,MA-01-707AA
6,01-707AA,1.0,1,PL-01-707AA
1,100-105-4ASB,0.0,0.0,
2,100-105-4ASB,0.0,0.0,
3,100-105-4ASB,0.0,0.0,
4,100-105-4ASB,0.0,0.0,
5,100-105-4ASB,1.0,1.0,MA-100-105-4ASB
6,100-105-4ASB,1.0,1,PA-100-105-4ASB
1,100-105-4DC,0.0,0.0,
2,100-105-4DC,0.0,0.0,
3,100-105-4DC,0.0,0.0,
4,100-105-4DC,0.0,0.0,
5,100-105-4DC,1.0,1.0,MA-100-105-4DC
6,100-105-4DC,1.0,1,WE-100-105-4DC
1,100-105-4EBS,0.0,0.0,
2,100-105-4EBS,0.0,0.0,
3,100-105-4EBS,0.0,0.0,
4,100-105-4EBS,0.0,0.0,
5,100-105-4EBS,1.0,1.0,MA-100-105-4EBS
6,100-105-4EBS,1.0,1,WE-100-105-4EBS
1,100-105BA26,0.0,0.0,
2,100-105BA26,0.0,0.0,
3,100-105BA26,0.0,0.0,
4,100-105BA26,0.0,0.0,
5,100-105BA26,1.0,1.0,MA-100-105BA26
6,100-105BA26,1.0,1,PA-100-105BA26
1,100-105BA30,0.0,0.0,
2,100-105BA30,0.0,0.0,
3,100-105BA30,0.0,0.0,
4,100-105BA30,0.0,0.0,
5,100-105BA30,1.0,1.0,MA-100-105BA30
6,100-105BA30,1.0,1,PA-100-105BA30
1,100-105BA38,0.0,0.0,
2,100-105BA38,0.0,0.0,
3,100-105BA38,0.0,0.0,
4,100-105BA38,0.0,0.0,
5,100-105BA38,1.0,1.0,MA-100-105BA38
6,100-105BA38,1.0,1,PA-100-105BA38
1,100-105BB26,0.0,0.0,
2,100-105BB26,0.0,0.0,
3,100-105BB26,0.0,0.0,
4,100-105BB26,0.0,0.0,
