No,完成部番,単位数分子,単位数分母,前工程
6,100-202F1081,1.0,1.0,AO-100-202F1081
5,100-202F1150,1.0,1.0,L-100-202F1150
6,100-202F1150,1.0,1.0,AO-100-202F1150
5,100-202F1240,1.0,1.0,L-100-202F1240
6,100-202F1240,1.0,1.0,AO-100-202F1240
5,100-202F1333,1.0,1.0,L-100-202F1333
6,100-202F1333,1.0,1.0,AO-100-202F1333
5,100-202F1411,1.0,1.0,L-100-202F1411
6,100-202F1411,1.0,1.0,AO-100-202F1411
6,100-204AA,1.0,1.0,MC-100-204AA
5,100-204BA,1.0,1.0,MC-100-204BA
6,100-204BA,1.0,1.0,PA-100-204BA
6,100-205AA,1.0,1.0,MC-100-205AA
5,100-205BA,1.0,1.0,MC-100-205BA
6,100-205BA,1.0,1.0,PA-100-205BA
5,100-205FA,1.0,1.0,MC-100-205FA
6,100-205FA,1.0,1.0,PA-100-205FA
6,100-206C1333,1.0,1.0,L-100-206C1333
6,100-206D1150,1.0,1.0,L-100-206D1150
6,100-208-AA0490,1.0,1.0,PL-100-208-AA0490
6,100-208-AA0700,1.0,1.0,PL-100-208-AA0700
6,100-208-AA0800,1.0,1.0,PL-100-208-AA0800
6,100-208-AA0930,1.0,1.0,PL-100-208-AA0930
6,100-208-AA1081,1.0,1.0,PL-100-208-AA1081
6,100-208-AA1150,1.0,1.0,PL-100-208-AA1150
6,100-208-AA1240,1.0,1.0,PL-100-208-AA1240
6,100-208-AA1333,1.0,1.0,PL-100-208-AA1333
6,100-208-AA1531,1.0,1.0,PL-100-208-AA1531
6,100-208-AA1680,1.0,1.0,PL-100-208-AA1680
6,100-208-AA2200,1.0,1.0,PL-100-208-AA2200
6,100-208-AA2300,1.0,1.0,PL-100-208-AA2300
6,100-208-AA2350,1.0,1.0,PL-100-208-AA2350
6,100-208-AA2500,1.0,1.0,PL-100-208-AA2500
6,100-208-AA2650,1.0,1.0,PL-100-208-AA2650
6,100-213,1.0,1.0,PEFIN-100-213
6,100-213CA,1.0,1.0,PEFIN-100-213CA
