,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,更新日,理由,,
C,00-1113FA26,1,1,SKD161657,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1113FA30,1,1,SKD191958,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1113FA34,1,1,SKD191965,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1113FC26,1,1,SECUYST-MV1GA26,1,1,SKD252560,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1150BA30,1,1,SKD6E4075,160,1000,SKD11040065,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1150DA30,1,1,SKD6G3575,145,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,12-426HS30,1,1,MA-12-426HS30,1,1,S1919160,580,1000,SUJ3019019,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,12-426LB30,1,1,MA-12-426LB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,12-426LB38,1,1,MA-12-426LB38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2.4PS-MB1AA30,1,1,SKD6G3540,77,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2.4PS-MB1AA32,1,1,SKD6G3545,87,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2.4PS-MY3AA30,1,1,SKD8B4040,108,1000,SKD11040082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2.4PS-MY4AA30,1,1,SKD8E5040,140,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2.4S-DB1,1,1,2.4S-MB1,1,1,SKD5E3045,61,1000,SKD11030055,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2.4S-DY130,1,1,2.4S-MY130,1,1,SKD6G2538,53,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2.4S-DY330,1,1,2.4S-MY130,1,1,SKD6G2538,53,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,224-512AA33-L,1,1,LPJNY-MY2AA33,1,1,SKD6G3535,68,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,224-513AA33-L,1,1,LPJNY-DY3AA33,1,1,LPJNY-MY3AA33,1,1,SKD6G2753,79,1000,SKD11027067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,224-514AA33-L,1,1,LPJNY-DY4AA33,1,1,LPJNY-MY4AA33,1,1,SKD6G3555,106,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FAC-DB1,1,1,2FAC-MB1,1,1,SKD5E3050,70,1000,SKD11030055,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FAC-DB1A,1,1,2FAC-MB1A,1,1,SKD6G2753,79,1000,SKD11027067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FAC-DB1D,1,1,2FAC-MB1D,1,1,SKD5E3050,70,1000,SKD11030055,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FAC-DY1AA32,1,1,2FAC-MY1AA32,1,1,SKD6G3545,87,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FAC-DY1AA38,1,1,2FAC-MY1AA38,1,1,SKD6G3545,87,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FAC-DY3AA32,1,1,2FAC-MY3AA32,1,1,SKD8B2944,86,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FAC-MY3B32,1,1,SKD8B2944,86,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FA-DC1B,1,1,2FA-MC1B,1,1,SKD5E2548,55,1000,SKD11025055,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FA-DY1,1,1,2FA-MY1,1,1,SKD6G2248,59,1000,SKD11022067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FA-DY3,1,1,2FA-MY3,1,1,SKD8B2144,63,1000,SKD11021082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FA-MY138,1,1,SKD8B2144,63,1000,SKD11021082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FA-MY338,1,1,SKD8B2144,63,1000,SKD11021082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FB-DB1AA36,1,1,2FB-MB1AA36,1,1,SKD6G3555,106,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FB-DY1AA38,1,1,2FB-MY1AA38,1,1,SKD6G2545,62,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FB-DY3AA38,1,1,2FB-MY3AA38,1,1,SKD6G2545,62,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FB-MB1AA30,1,1,SKD6G3555,106,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FC-DY1B32,1,1,2FC-MY1B32,1,1,SKD6G3545,87,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FC-DY2D30,1,1,2FC-MY2D30,1,1,SKD8B2944,86,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
