HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
1155-105BB48,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1155-105BBL48,1,10,AO,1592,,0,0,0,6864.0,13,6,,1,1
1155-105CA48,1,10,AO,1592,,0,0,0,4600.0,13,6,,1,1
1155-105CAL38,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105CAL48,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105CB48,1,10,AO,1592,,0,0,0,4858.0,13,6,,1,1
1155-105CBL48,1,10,AO,1592,,0,0,0,6240.0,13,6,,1,1
1155-105CC48,1,10,AO,1592,,0,0,0,10200.0,13,6,,1,1
1155-105CCL48,1,10,AO,1592,,0,0,0,6864.0,13,6,,1,1
1155-105DA48,1,10,AO,1592,,0,0,0,4600.0,13,6,,1,1
1155-105DAL38,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105DAL48,1,10,AO,1592,,0,0,0,6500.0,13,6,,1,1
1155-105DB48,1,10,AO,1592,,0,0,0,4858.0,13,6,,1,1
1155-105DBL48,1,10,AO,1592,,0,0,0,6240.0,13,6,,1,1
1155-105DC48,1,10,AO,1592,,0,0,0,10200.0,13,6,,1,1
1155-105DCL48,1,10,AO,1592,,0,0,0,6864.0,13,6,,1,1
1155-201AA1900,2,20,AO,3070,,0,0,75,23600.0,13,6,,1,1
1155-202AA1900,2,20,AO,3070,,0,0,75,23200.0,13,6,,1,1
1155-202BA1900,2,20,AO,3070,,0,0,75,23600.0,13,6,,1,1
12-201E-1133,2,20,AO,3070,,0,0,75,17000.0,13,6,,1,1
12-201K1133,2,20,AO,3070,,0,0,40,14500.0,13,6,,1,1
12-201K1353,2,20,AO,3070,,0,0,75,12500.0,13,6,,1,1
12-201L1133,2,20,AO,3070,,0,0,75,14725.0,13,6,,1,1
12-201L1353,2,20,AO,3070,,0,0,75,15200.0,13,6,,1,1
12-201L1353J,2,20,AO,3070,,0,0,75,14725.0,13,6,,1,1
12-201L1353S,2,20,AO,3070,,0,0,75,15200.0,13,6,,1,1
12A-105EAL38,1,10,AO,9999,,0,0,0,58000.0,13,6,,1,1
130-202AA0670,2,20,AO,3070,,0,0,75,21000.0,13,6,,1,1
1331-201EA2200,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-201EA2650,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-201GA2500-1,2,20,AO,3070,,0,0,75,28500.0,13,6,,1,1
1331-201HA2200,2,20,AO,3070,,0,0,75,25455.0,13,6,,1,1
1331-201HA2500,2,20,AO,3070,,0,0,75,28605.0,13,6,,1,1
1331-201HA2650,2,20,AO,3070,,0,0,75,32620.0,13,6,,1,1
1331-201HA2900,2,20,AO,3070,,0,0,75,40000.0,13,6,,1,1
1331-201JA2200-1,2,20,AO,3070,,0,0,75,31000.0,13,6,,1,1
1331-201JA2200S-1,2,20,AO,3070,,0,0,75,31000.0,13,6,,1,1
1331-201JA2500-1,2,20,AO,3070,,0,0,75,29410.0,13,6,,1,1
1331-201JA2500S-1,2,20,AO,3070,,0,0,75,28400.0,13,6,,1,1
1331-201JA2500T-1,2,20,AO,3070,,0,0,75,28400.0,13,6,,1,1
1331-201JA2650-1,2,20,AO,3070,,0,0,75,33060.0,13,6,,1,1
1331-201KA2200,2,20,AO,3070,,0,0,40,29355.0,13,6,,1,1
1331-201KA2300,2,20,AO,3070,,0,0,40,29480.0,13,6,,1,1
1331-201KA2500,2,20,AO,3070,,0,0,40,29730.0,13,6,,1,1
1331-201LA2200,2,20,AO,3070,,0,0,75,24755.0,13,6,,1,1
1331-201LA2350,2,20,AO,3070,,0,0,75,26425.0,13,6,,1,1
1331-201LA2500,2,20,AO,3070,,0,0,75,27820.0,13,6,,1,1
1331-201LA2650,2,20,AO,3070,,0,0,75,30750.0,13,6,,1,1
1331-201MA2200-1,2,20,AO,3070,,0,0,75,28000.0,13,6,,1,1
1331-201MA2500-1,2,20,AO,3070,,0,0,75,28200.0,13,6,,1,1
1331-201MA2500T-1,2,20,AO,3070,,0,0,75,28200.0,13,6,,1,1
1331-202AB2200,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-202AB2500,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-202CA2200,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-202CA2500,2,20,AO,3070,,0,0,75,27500.0,13,6,,1,1
1331-202CA2650,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-202DA2200,2,20,AO,3070,,0,0,75,24755.0,13,6,,1,1
1331-202DA2350,2,20,AO,3070,,0,0,75,26425.0,13,6,,1,1
1331-202DA2500,2,20,AO,3070,,0,0,75,27820.0,13,6,,1,1
1331-202DA2650,2,20,AO,3070,,0,0,75,30750.0,13,6,,1,1
1331-202DA2900,2,20,AO,3070,,0,0,75,40000.0,13,6,,1,1
1331-202EA2200,2,20,AO,3070,,0,0,40,29355.0,13,6,,1,1
1331-202EA2300,2,20,AO,3070,,0,0,40,29480.0,13,6,,1,1
1331-202EA2500,2,20,AO,3070,,0,0,40,29730.0,13,6,,1,1
1331-202FA2500-1,2,20,AO,3070,,0,0,75,28400.0,13,6,,1,1
1331-202FA2500S-1,2,20,AO,3070,,0,0,75,28400.0,13,6,,1,1
1331-202FA2500T-1,2,20,AO,3070,,0,0,75,28400.0,13,6,,1,1
1331-204FB2200,2,20,AO,3070,,0,0,75,25455.0,13,6,,1,1
1331-204FB2500,2,20,AO,3070,,0,0,75,28605.0,13,6,,1,1
1331-204FB2650,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1331-204HA2200,2,20,AO,3070,,0,0,75,23280.0,13,6,,1,1
1331-204HA2500,2,20,AO,3070,,0,0,75,26130.0,13,6,,1,1
1331-204HA2650,2,20,AO,3070,,0,0,75,30750.0,13,6,,1,1
1331-204HA2900,2,20,AO,3070,,0,0,75,40000.0,13,6,,1,1
1331-204JA2200,2,20,AO,3070,,0,0,40,29355.0,13,6,,1,1
1331-204JA2300,2,20,AO,3070,,0,0,40,29480.0,13,6,,1,1
1331-204KA2200,2,20,AO,3070,,0,0,40,29355.0,13,6,,1,1
1331-204KA2300,2,20,AO,3070,,0,0,40,29480.0,13,6,,1,1
1331-204LA2200,2,20,AO,3070,,0,0,75,17890.0,13,6,,1,1
1331-204LA2350,2,20,AO,3070,,0,0,75,17100.0,13,6,,1,1
1331-204LA2500,2,20,AO,3070,,0,0,75,18370.0,13,6,,1,1
1331-204LA2650,2,20,AO,3070,,0,0,75,19600.0,13,6,,1,1
1331-259LA2200,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
1631-105AA30,1,10,AO,1592,,0,0,0,6480.0,13,6,,1,1
1631-105AA38,1,10,AO,1592,,0,0,0,6750.0,13,6,,1,1
1631-105AAL30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105AAL38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105AAM30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105AAM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105AB30,1,10,AO,1592,,0,0,0,6480.0,13,6,,1,1
1631-105AB38,1,10,AO,1592,,0,0,0,6750.0,13,6,,1,1
1631-105ABL30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105ABL38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105ABM30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105ABM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105AC30,1,10,AO,1592,,0,0,0,6844.0,13,6,,1,1
1631-105AC38,1,10,AO,1592,,0,0,0,7128.0,13,6,,1,1
1631-105ACL30,1,10,AO,1592,,0,0,0,8744.0,13,6,,1,1
1631-105ACL38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105ACM30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105ACM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105AD30,1,10,AO,1592,,0,0,0,8220.0,13,6,,1,1
1631-105AD38,1,10,AO,1592,,0,0,0,8560.0,13,6,,1,1
1631-105ADL30,1,10,AO,1592,,0,0,0,7949.0,13,6,,1,1
1631-105ADL38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105ADM30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105ADM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105BA30,1,10,AO,1592,,0,0,0,6840.0,13,6,,1,1
1631-105BA38,1,10,AO,1592,,0,0,0,7110.0,13,6,,1,1
1631-105BAL30,1,10,AO,1592,,0,0,10,8640.0,13,6,,1,1
1631-105BAL38,1,10,AO,1592,,0,0,0,11250.0,13,6,,1,1
1631-105BAM30,1,10,AO,1592,,0,0,0,8640.0,13,6,,1,1
1631-105BAM38,1,10,AO,1592,,0,0,0,11250.0,13,6,,1,1
1631-105BB30,1,10,AO,1592,,0,0,0,7224.0,13,6,,1,1
1631-105BB38,1,10,AO,1592,,0,0,0,7509.0,13,6,,1,1
1631-105BBL30,1,10,AO,1592,,0,0,10,9125.0,13,6,,1,1
1631-105BBL38,1,10,AO,1592,,0,0,0,11880.0,13,6,,1,1
1631-105BBM30,1,10,AO,1592,,0,0,0,8640.0,13,6,,1,1
1631-105BBM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105BC30,1,10,AO,1592,,0,0,0,8670.0,13,6,,1,1
1631-105BC38,1,10,AO,1592,,0,0,0,9020.0,13,6,,1,1
1631-105BCL30,1,10,AO,1592,,0,0,0,9125.0,13,6,,1,1
1631-105BCL38,1,10,AO,1592,,0,0,0,14260.0,13,6,,1,1
1631-105BCM30,1,10,AO,1592,,0,0,0,8640.0,13,6,,1,1
1631-105BCM38,1,10,AO,1592,,0,0,0,11880.0,13,6,,1,1
1631-105CA30,1,10,AO,1592,,0,0,0,6480.0,13,6,,1,1
1631-105CA38,1,10,AO,1592,,0,0,0,6750.0,13,6,,1,1
1631-105CAL30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105CAL38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105CAM30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105CAM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105CB30,1,10,AO,1592,,0,0,0,6480.0,13,6,,1,1
1631-105CB38,1,10,AO,1592,,0,0,0,6750.0,13,6,,1,1
1631-105CBL30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105CBL38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105CBM30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105CBM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105CC30,1,10,AO,1592,,0,0,0,6844.0,13,6,,1,1
1631-105CC38,1,10,AO,1592,,0,0,0,7128.0,13,6,,1,1
1631-105CCL30,1,10,AO,1592,,0,0,0,8744.0,13,6,,1,1
1631-105CCL38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105CCM30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105CCM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105CD30,1,10,AO,1592,,0,0,0,8220.0,13,6,,1,1
1631-105CD38,1,10,AO,1592,,0,0,0,8560.0,13,6,,1,1
1631-105CDL30,1,10,AO,1592,,0,0,0,7949.0,13,6,,1,1
1631-105CDL38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105CDM30,1,10,AO,1592,,0,0,0,8280.0,13,6,,1,1
1631-105CDM38,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105DA30,1,10,AO,1592,,0,0,0,4320.0,13,6,,1,1
1631-105DA38,1,10,AO,1592,,0,0,0,4320.0,13,6,,1,1
1631-105DAL30,1,10,AO,1592,,0,0,0,5800.0,13,6,,1,1
1631-105DAL38,1,10,AO,1592,,0,0,10,7650.0,13,6,,1,1
1631-105DAM38,1,10,AO,1592,,0,0,0,8100.0,13,6,,1,1
1631-105DB30,1,10,AO,1592,,0,0,0,4563.0,13,6,,1,1
1631-105DB38,1,10,AO,1592,,0,0,0,4563.0,13,6,,1,1
1631-105DBL30,1,10,AO,1592,,0,0,0,6178.0,13,6,,1,1
1631-105DBL38,1,10,AO,1592,,0,0,0,6178.0,13,6,,1,1
1631-105DBM30,1,10,AO,1592,,0,0,0,5616.0,13,6,,1,1
1631-105DBM38,1,10,AO,1592,,0,0,0,7700.0,13,6,,1,1
1631-105DC30,1,10,AO,1592,,0,0,0,5480.0,13,6,,1,1
1631-105DC38,1,10,AO,1592,,0,0,0,5480.0,13,6,,1,1
1631-105DCL30,1,10,AO,1592,,0,0,0,7420.0,13,6,,1,1
1631-105DCL38,1,10,AO,1592,,0,0,0,7420.0,13,6,,1,1
1631-105DCM30,1,10,AO,1592,,0,0,0,7420.0,13,6,,1,1
1631-105EA30,1,10,AO,1592,,0,0,0,4320.0,13,6,,1,1
1631-105EA38,1,10,AO,1592,,0,0,0,4320.0,13,6,,1,1
1631-105EAL30,1,10,AO,1592,,0,0,0,5800.0,13,6,,1,1
1631-105EAL38,1,10,AO,1592,,0,0,10,7560.0,13,6,,1,1
1631-105EAM38,1,10,AO,1592,,0,0,0,8100.0,13,6,,1,1
1631-105EB30,1,10,AO,1592,,0,0,0,4563.0,13,6,,1,1
1631-105EB38,1,10,AO,1592,,0,0,0,4563.0,13,6,,1,1
1631-105EBL30,1,10,AO,1592,,0,0,0,6178.0,13,6,,1,1
1631-105EBL38,1,10,AO,1592,,0,0,0,6178.0,13,6,,1,1
1631-105EBM30,1,10,AO,1592,,0,0,0,5616.0,13,6,,1,1
1631-105EBM38,1,10,AO,1592,,0,0,0,7700.0,13,6,,1,1
1631-105EC30,1,10,AO,1592,,0,0,0,5480.0,13,6,,1,1
1631-105EC38,1,10,AO,1592,,0,0,0,5480.0,13,6,,1,1
1631-105ECL30,1,10,AO,1592,,0,0,0,7420.0,13,6,,1,1
1631-105ECL38,1,10,AO,1592,,0,0,0,7420.0,13,6,,1,1
1631-105ECM30,1,10,AO,1592,,0,0,0,7420.0,13,6,,1,1
1631-105FA30,1,10,AO,1592,,0,0,0,7200.0,13,6,,1,1
1631-105FA38,1,10,AO,1592,,0,0,0,4800.0,13,6,,1,1
1631-105FAL30,1,10,AO,1592,,0,0,0,5800.0,13,6,,1,1
1631-105FAM38,1,10,AO,1592,,0,0,0,10944.0,13,6,,1,1
1631-105FB30,1,10,AO,1592,,0,0,0,7650.0,13,6,,1,1
1631-105FB38,1,10,AO,1592,,0,0,0,7650.0,13,6,,1,1
1631-105FBL30,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105FBL38,1,10,AO,1592,,0,0,0,11250.0,13,6,,1,1
1631-105FBM30,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105FBM38,1,10,AO,1592,,0,0,0,14440.0,13,6,,1,1
1631-105FC30,1,10,AO,1592,,0,0,0,8079.0,13,6,,1,1
1631-105FC38,1,10,AO,1592,,0,0,0,8079.0,13,6,,1,1
1631-105FCL30,1,10,AO,1592,,0,0,0,11405.0,13,6,,1,1
1631-105FCL38,1,10,AO,1592,,0,0,0,11880.0,13,6,,1,1
1631-105FCM30,1,10,AO,1592,,0,0,0,10368.0,13,6,,1,1
1631-105FD30,1,10,AO,1592,,0,0,0,9700.0,13,6,,1,1
1631-105FD38,1,10,AO,1592,,0,0,0,9700.0,13,6,,1,1
1631-105FDL30,1,10,AO,1592,,0,0,0,13690.0,13,6,,1,1
1631-105FDL38,1,10,AO,1592,,0,0,0,14260.0,13,6,,1,1
1631-105FDM30,1,10,AO,1592,,0,0,0,13690.0,13,6,,1,1
1631-105GA30,1,10,AO,1592,,0,0,0,7200.0,13,6,,1,1
1631-105GA38,1,10,AO,1592,,0,0,0,4800.0,13,6,,1,1
1631-105GAL30,1,10,AO,1592,,0,0,0,5800.0,13,6,,1,1
1631-105GAM38,1,10,AO,1592,,0,0,0,10944.0,13,6,,1,1
1631-105GB30,1,10,AO,1592,,0,0,0,7650.0,13,6,,1,1
1631-105GB38,1,10,AO,1592,,0,0,0,7650.0,13,6,,1,1
1631-105GBL30,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105GBL38,1,10,AO,1592,,0,0,0,11250.0,13,6,,1,1
1631-105GBM30,1,10,AO,1592,,0,0,0,10800.0,13,6,,1,1
1631-105GBM38,1,10,AO,1592,,0,0,0,14440.0,13,6,,1,1
1631-105GC30,1,10,AO,1592,,0,0,0,8079.0,13,6,,1,1
1631-105GC38,1,10,AO,1592,,0,0,0,8079.0,13,6,,1,1
1631-105GCL30,1,10,AO,1592,,0,0,0,11405.0,13,6,,1,1
1631-105GCL38,1,10,AO,1592,,0,0,0,11880.0,13,6,,1,1
1631-105GCM30,1,10,AO,1592,,0,0,0,10368.0,13,6,,1,1
1631-105GD30,1,10,AO,1592,,0,0,0,9700.0,13,6,,1,1
1631-105GD38,1,10,AO,1592,,0,0,0,9700.0,13,6,,1,1
1631-105GDL30,1,10,AO,1592,,0,0,0,13690.0,13,6,,1,1
1631-105GDL38,1,10,AO,1592,,0,0,0,14260.0,13,6,,1,1
1631-105GDM30,1,10,AO,1592,,0,0,0,13690.0,13,6,,1,1
1631-105HA30,1,10,AO,1592,,0,0,0,7200.0,13,6,,1,1
1631-105HAM30,1,10,AO,1592,,0,0,0,8720.0,13,6,,1,1
1631-105HC30,1,10,AO,1592,,0,0,0,7200.0,13,6,,1,1
1631-105HE30,1,10,AO,1592,,0,0,0,6840.0,13,6,,1,1
1631-105HGL30,1,10,AO,1592,,0,0,0,14190.0,13,6,,1,1
1631-105HH30,1,10,AO,1592,,0,0,0,11300.0,13,6,,1,1
