H,defTopId,S1C0,S1C1,S1C2,S1C3
R,699,2025,6,4,25DKF011
R,699,2025,6,1,25DKF036
R,700,2025,6,1,25SKF101
R,700,2025,6,1,25SKF102
R,700,2025,6,3,25SKF118
R,700,2025,6,3,25SKF119
R,699,2025,6,8,25SKF120
R,699,2025,6,7,25SKF121
R,699,2025,6,2,25DKF001
R,699,2025,6,2,25DKF002
R,699,2025,6,2,25DKF003
R,699,2025,6,2,25DKF004
R,699,2025,6,2,25DKF005
R,699,2025,6,3,25DKF006
R,699,2025,6,3,25DKF007
R,699,2025,6,3,25DKF008
R,699,2025,6,3,25DKF009
R,699,2025,6,4,25DKF010
R,699,2025,6,4,25DKF012
R,699,2025,6,4,25DKF013
R,699,2025,6,5,25DKF014
R,699,2025,6,5,25DKF015
R,699,2025,6,5,25DKF016
R,699,2025,6,5,25DKF017
R,699,2025,6,6,25DKF018
R,699,2025,6,6,25DKF019
R,699,2025,6,6,25DKF020
R,699,2025,6,6,25DKF021
R,699,2025,6,7,25DKF022
R,699,2025,6,7,25DKF023
R,699,2025,6,7,25DKF024
R,699,2025,6,7,25DKF025
R,699,2025,6,3,25DKF026
R,699,2025,6,3,25DKF027
R,699,2025,6,3,25DKF028
R,699,2025,6,3,25DKF029
R,699,2025,6,3,25DKF030
R,699,2025,6,4,25DKF031
R,699,2025,6,4,25DKF032
R,699,2025,6,4,25DKF033
R,699,2025,6,4,25DKF034
R,699,2025,6,4,25DKF035
R,699,2025,6,1,25DKF037
R,699,2025,6,3,25DKF038
R,699,2025,6,3,25DKF039
R,699,2025,6,2,25DKF040
R,699,2025,6,2,25DKF041
R,699,2025,6,7,25DKF042
R,699,2025,6,7,25DKF043
R,699,2025,6,2,25DKF044
R,699,2025,6,2,25DKF045
R,699,2025,6,2,25DKF046
R,699,2025,6,2,25DKF047
R,699,2025,6,4,25DKF048
R,699,2025,6,4,25DKF049
R,699,2025,6,4,25DKF050
R,699,2025,6,4,25DKF051
R,699,2025,6,8,25DKF052
R,699,2025,6,8,25DKF053
R,699,2025,6,8,25DKF054
R,699,2025,6,8,25DKF055
R,699,2025,6,7,25DKF056
R,699,2025,6,7,25DKF057
R,699,2025,6,8,25DKF058
R,699,2025,6,8,25DKF059
R,700,2025,6,1,25SKF103
R,700,2025,6,1,25SKF104
R,700,2025,6,1,25SKF105
R,700,2025,6,1,25SKF106
R,700,2025,6,1,25SKF107
R,700,2025,6,5,25SKF108
R,700,2025,6,5,25SKF109
R,700,2025,6,5,25SKF110
R,700,2025,6,5,25SKF111
R,700,2025,6,5,25SKF112
R,700,2025,6,6,25SKF113
R,700,2025,6,6,25SKF114
R,700,2025,6,6,25SKF115
R,700,2025,6,6,25SKF116
R,700,2025,6,6,25SKF117
R,700,2025,6,8,25SKF122
R,700,2025,6,8,25SKF123
R,700,2025,6,8,25SKF124
R,700,2025,6,8,25SKF125
R,700,2025,6,7,25SKF126
R,700,2025,6,7,25SKF127
R,700,2025,6,8,25SKF128
