H,defTopId,S1C0,S1C1,S1C2,S1C3
R,699,2025,7,1,25DKG001
R,699,2025,7,1,25DKG002
R,699,2025,7,1,25DKG003
R,699,2025,7,1,25DKG004
R,699,2025,7,1,25DKG005
R,699,2025,7,2,25DKG006
R,699,2025,7,2,25DKG007
R,699,2025,7,2,25DKG008
R,699,2025,7,2,25DKG009
R,699,2025,7,2,25DKG010
R,699,2025,7,3,25DKG011
R,699,2025,7,3,25DKG012
R,699,2025,7,3,25DKG013
R,699,2025,7,3,25DKG014
R,699,2025,7,3,25DKG015
R,699,2025,7,4,25DKG016
R,699,2025,7,4,25DKG017
R,699,2025,7,4,25DKG018
R,699,2025,7,4,25DKG019
R,699,2025,7,4,25DKG020
R,699,2025,7,1,25DKG021
R,699,2025,7,1,25DKG022
R,699,2025,7,1,25DKG023
R,699,2025,7,1,25DKG024
R,699,2025,7,1,25DKG025
R,699,2025,7,2,25DKG026
R,699,2025,7,2,25DKG027
R,699,2025,7,2,25DKG028
R,699,2025,7,2,25DKG029
R,699,2025,7,2,25DKG030
R,699,2025,7,3,25DKG031
R,699,2025,7,3,25DKG032
R,699,2025,7,3,25DKG033
R,699,2025,7,3,25DKG034
R,699,2025,7,3,25DKG035
R,699,2025,7,4,25DKG036
R,699,2025,7,4,25DKG037
R,699,2025,7,4,25DKG038
R,699,2025,7,4,25DKG039
R,699,2025,7,4,25DKG040
R,699,2025,7,8,25DKG041
R,699,2025,7,8,25DKG042
R,699,2025,7,5,25DKG043
R,699,2025,7,6,25DKG044
R,699,2025,7,6,25DKG045
R,699,2025,7,4,25DKG046
R,699,2025,7,4,25DKG047
R,699,2025,7,5,25DKG048
R,699,2025,7,5,25DKG049
R,699,2025,7,7,25DKG050
R,699,2025,7,7,25DKG051
R,699,2025,7,6,25DKG052
R,699,2025,7,6,25DKG053
R,699,2025,7,6,25DKG054
R,699,2025,7,5,25DKG055
R,699,2025,7,5,25DKG056
R,699,2025,7,6,25DKG057
R,699,2025,7,6,25DKG058
R,699,2025,7,7,25DKG059
R,699,2025,7,7,25DKG060
R,699,2025,7,8,25DKG061
R,699,2025,7,8,25DKG062
R,700,2025,7,5,25SKG101
R,700,2025,7,5,25SKG102
R,700,2025,7,5,25SKG103
R,700,2025,7,6,25SKG104
R,700,2025,7,6,25SKG105
R,700,2025,7,6,25SKG106
R,700,2025,7,6,25SKG107
R,700,2025,7,5,25SKG108
R,699,2025,7,7,25SKG109
R,699,2025,7,8,25SKG110
R,700,2025,7,7,25SKG111
R,700,2025,7,7,25SKG112
R,700,2025,7,7,25SKG113
R,700,2025,7,8,25SKG114
