H,defTopId,S1C0,S1C1,S1C2,S1C3
R,699,2025,8,8,25DKH038
R,700,2025,8,1,25SKH101
R,699,2025,8,2,25DKH001
R,699,2025,8,2,25DKH002
R,699,2025,8,2,25DKH003
R,699,2025,8,2,25DKH004
R,699,2025,8,3,25DKH005
R,699,2025,8,3,25DKH006
R,699,2025,8,3,25DKH007
R,699,2025,8,3,25DKH008
R,699,2025,8,4,25DKH009
R,699,2025,8,4,25DKH010
R,699,2025,8,4,25DKH011
R,699,2025,8,4,25DKH012
R,699,2025,8,5,25DKH013
R,699,2025,8,5,25DKH014
R,699,2025,8,5,25DKH015
R,699,2025,8,5,25DKH016
R,699,2025,8,6,25DKH017
R,699,2025,8,6,25DKH018
R,699,2025,8,6,25DKH019
R,699,2025,8,6,25DKH020
R,699,2025,8,1,25DKH021
R,699,2025,8,1,25DKH022
R,699,2025,8,7,25DKH023
R,699,2025,8,7,25DKH024
R,699,2025,8,7,25DKH025
R,699,2025,8,7,25DKH026
R,699,2025,8,8,25DKH027
R,699,2025,8,8,25DKH028
R,699,2025,8,8,25DKH029
R,699,2025,8,6,25DKH030
R,699,2025,8,6,25DKH031
R,699,2025,8,6,25DKH032
R,699,2025,8,8,25DKH033
R,699,2025,8,8,25DKH034
R,699,2025,8,8,25DKH035
R,699,2025,8,7,25DKH036
R,699,2025,8,7,25DKH037
R,700,2025,8,1,25SKH102
R,700,2025,8,1,25SKH103
R,700,2025,8,1,25SKH104
R,700,2025,8,8,25SKH106
R,700,2025,8,6,25SKH107
R,700,2025,8,1,25SKH108
R,700,2025,8,4,25SKH109
R,700,2025,8,4,25SKH110
R,700,2025,8,2,25SKH111
R,700,2025,8,2,25SKH112
R,700,2025,8,2,25SKH113
R,700,2025,8,2,25SKH114
R,700,2025,8,3,25SKH115
R,700,2025,8,3,25SKH116
R,700,2025,8,3,25SKH117
R,700,2025,8,3,25SKH118
R,700,2025,8,4,25SKH119
R,700,2025,8,4,25SKH120
R,700,2025,8,4,25SKH121
R,700,2025,8,4,25SKH122
R,700,2025,8,5,25SKH123
R,700,2025,8,5,25SKH124
R,700,2025,8,5,25SKH125
R,700,2025,8,5,25SKH126
R,700,2025,8,6,25SKH127
R,700,2025,8,6,25SKH128
R,700,2025,8,6,25SKH129
R,700,2025,8,6,25SKH130
R,700,2025,8,7,25SKH131
R,700,2025,8,7,25SKH132
R,700,2025,8,7,25SKH133
R,700,2025,8,7,25SKH134
R,700,2025,8,8,25SKH135
R,700,2025,8,8,25SKH136
R,700,2025,8,8,25SKH137
R,700,2025,8,8,25SKH138
