H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,440,CAM HOLDER,F000098536,5173-502EC30,2024111,L016,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
R,440,CAM HOLDER,F000098544,5173-502EC30,2024111,L017,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
R,440,CAM HOLDER,F000098552,5173-502EC30,2024111,L018,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
R,440,CAM HOLDER,F000098560,5173-502EC30,2024111,L019,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
R,440,CAM HOLDER,F000098568,5173-502EC30,2024111,L020,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
R,440,CAM HOLDER,F000098576,5173-502EC30,2024111,L021,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
R,440,CAM HOLDER,F000098584,5173-502EC30,2024111,L022,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
R,440,CAM HOLDER,F000098592,5173-502EC30,2024111,L023,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
R,440,CAM HOLDER,F000098611,3165-502AB30,2024111,L101,M2XC-S3.2,30,28,美和繊維工業（株）,無電解ニッケルメッキ,4,20241126
R,440,CAM HOLDER,F000098627,478-502AC34,2024112,L001,M-8ME42,34,32,BEST CORPORATION PRIVATE LIMITED,,3,20241126
R,440,CAM HOLDER,F000098653,478-502AC34,2024112,L002,M-8ME42,34,32,BEST CORPORATION PRIVATE LIMITED,,3,20241126
R,440,CAM HOLDER,F000098679,478-502AC34,2024112,L003,M-8ME42,34,32,BEST CORPORATION PRIVATE LIMITED,,3,20241126
R,440,CAM HOLDER,F000098705,478-502AC34,2024112,L004,M-8ME42,34,32,BEST CORPORATION PRIVATE LIMITED,,3,20241126
R,440,CAM HOLDER,F000098731,478-502AC34,2024112,L005,M-8ME42,34,32,BEST CORPORATION PRIVATE LIMITED,,3,20241126
R,440,CAM HOLDER,F000098748,5173-502EC30,2024112,L024,OD6B-M-8ERS,30,24,寧波申洲（越南）針織品有限公司（VIET NAM）,,1,20241126
