H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,462,GEAR RING,F000125800,1831-406AA30,2025118,L126,M2XC-RS3.2DF,30,20,ELCATEX(HONDURAS),,1,20251008
R,462,INNER RACE,F000125801,1831-418AA30,2025118,L126,M2XC-RS3.2DF,30,20,ELCATEX(HONDURAS),,1,20251008
R,462,GEAR RING,F000125811,1831-406AA30,2025118,L127,M2XC-RS3.2DF,30,20,ELCATEX(HONDURAS),,1,20251008
R,462,INNER RACE,F000125812,1831-418AA30,2025118,L127,M2XC-RS3.2DF,30,20,ELCATEX(HONDURAS),,1,20251008
R,462,GEAR RING,F000125822,1831-406AA30,2025118,L128,M2XC-RS3.2DF,30,20,ELCATEX(HONDURAS),,1,20251008
R,462,INNER RACE,F000125823,1831-418AA30,2025118,L128,M2XC-RS3.2DF,30,20,ELCATEX(HONDURAS),,1,20251008
R,462,SINKER CAP,F000127198,3237-601EA34,2025119,C11-01,MX-RSFY6,34,24,‚e‚`‚j‚h‚q ‚j‚m‚h‚s‚v‚d‚`‚q‚r  ‚k‚s‚cD,,1,20251008
R,462,CAP RING,F000127199,3237-608AA34,2025119,C11-01,MX-RSFY6,34,24,‚e‚`‚j‚h‚q ‚j‚m‚h‚s‚v‚d‚`‚q‚r  ‚k‚s‚cD,,1,20251008
R,462,SINKER CAP,F000127202,3237-601EA34,2025119,C11-02,MX-RSFY6,34,24,‚e‚`‚j‚h‚q ‚j‚m‚h‚s‚v‚d‚`‚q‚r  ‚k‚s‚cD,,1,20251008
R,462,CAP RING,F000127203,3237-608AA34,2025119,C11-02,MX-RSFY6,34,24,‚e‚`‚j‚h‚q ‚j‚m‚h‚s‚v‚d‚`‚q‚r  ‚k‚s‚cD,,1,20251008
R,462,CAP RING,F000127269,3139-608AC30,2025119,C11-03,VXC-S3.2DFDRE,30,20,‚e‚`‚j‚h‚q ‚j‚m‚h‚s‚v‚d‚`‚q‚r  ‚k‚s‚cD,,1,20251008
R,462,SINKER CAP,F000127270,4117-601EB30,2025119,C11-03,VXC-S3.2DFDRE,30,20,‚e‚`‚j‚h‚q ‚j‚m‚h‚s‚v‚d‚`‚q‚r  ‚k‚s‚cD,,1,20251008
R,462,CAP RING,F000127272,3139-608AB34,2025119,C11-04,VXC-S3.2DFDRE,34,20,‚e‚`‚j‚h‚q ‚j‚m‚h‚s‚v‚d‚`‚q‚r  ‚k‚s‚cD,,1,20251008
R,462,SINKER CAP,F000127273,4117-601EB34,2025119,C11-04,VXC-S3.2DFDRE,34,20,‚e‚`‚j‚h‚q ‚j‚m‚h‚s‚v‚d‚`‚q‚r  ‚k‚s‚cD,,1,20251008
