H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,440,CAM HOLDER,F000103771,5145-502JA16,2025021,B007,E-LDR,16,16,ＭＥＸＩＣＯ：ＡＶＡＮＴＥ,,1,20241125
R,440,CAM HOLDER,F000103793,5145-502JA15,2025021,B008,E-LDR,15,16,ＭＥＸＩＣＯ：ＡＶＡＮＴＥ,,1,20241125
R,440,CAM HOLDER,F000103813,5181-502AA19,2025022,B001,E-2.4R,19,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,1,20241125
R,440,CAM HOLDER,F000103836,5181-502AA19,2025022,B002,E-2.4R,19,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,1,20241125
R,440,CAM HOLDER,F000103861,5213-502AA34,2025023,B006,M-FY4B,34,22,株式会社東紀繊維和歌山工場(JAPAN),,1,20241125
R,440,CAM HOLDER,F000103878,826-502JA30,2025025,B102,MX-JS3B,30,28,（株）ヤマヨテクスタイル 第2事業部,,1,20241125
R,440,CAM HOLDER,F000103902,5181-502AA20,2025026,B003,E-2.4R,20,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,1,20241125
R,440,CAM HOLDER,F000103924,5181-502AA20,2025026,B004,E-2.4R,20,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,1,20241125
R,440,CAM HOLDER,F000103946,5181-502AA20,2025026,B005,E-2.4R,20,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,1,20241125
R,440,CAM HOLDER,F000103959,582-502FA30,2025026,B101,M2XC-4S(4),30,60,ミツカワ（株）,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000103999,6214-502AA34,2025028,B009,M-LEC4BTFY4,34,18,ＩＳＬＡＭ ＫＮＩＴ ＤＥＳＩ ＧＮＳ ＬＴＤ．,,1,20241125
R,440,CAM HOLDER,F000104031,6214-502AA34,2025028,B010,M-LEC4BTFY4,34,18,ＩＳＬＡＭ ＫＮＩＴ ＤＥＳＩ ＧＮＳ ＬＴＤ．,,1,20241125
R,440,CAM HOLDER,F000104057,6214-502CA34,2025029,C02-01,M-LEC4BTFY4,34,18,ＩＳＬＡＭ ＫＮＩＴ ＤＥＳＩ ＧＮＳ ＬＴＤ．,,1,20241125
R,440,CAM HOLDER,F000104059,6214-502CA34,2025029,C02-02,M-LEC4BTFY4,34,18,ＩＳＬＡＭ ＫＮＩＴ ＤＥＳＩ ＧＮＳ ＬＴＤ．,,1,20241125
R,440,CAM HOLDER,F000104100,4305-502DA,2025021,B103,EXC-3SB (1),18,28,ＮＥＷ ＦＯＲＴＵＮＥ ＫＮＩ Ｔ ＣＲＡＦＴ ＩＮＤ．,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104101,4305-502FA,2025021,B103,EXC-3SB (1),18,28,ＮＥＷ ＦＯＲＴＵＮＥ ＫＮＩ Ｔ ＣＲＡＦＴ ＩＮＤ．,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104102,4305-502HA,2025021,B103,EXC-3SB (1),18,28,ＮＥＷ ＦＯＲＴＵＮＥ ＫＮＩ Ｔ ＣＲＡＦＴ ＩＮＤ．,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104135,3165-502EA30,2025021,B116,M2XC-S3.2,30,28,フクイボウ（株）,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104156,3164-502EB30,2025022,B104,OD7-M2XC-A3.2RE,30,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104180,3164-502EB30,2025022,B105,OD7-M2XC-A3.2RE,30,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104204,3164-502EB30,2025022,B106,OD7-M2XC-A3.2RE,30,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104228,3164-502EB30,2025022,B107,OD7-M2XC-A3.2RE,30,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104252,3164-502EB30,2025022,B108,OD7-M2XC-A3.2RE,30,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104276,3164-502EB30,2025022,B109,OD7-M2XC-A3.2RE,30,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104298,5165-502AA34,2025023,B011,M-6ER11,34,18,ＭＥＸＩＣＯ：ＡＶＡＮＴＥ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104323,3164-502EB34,2025023,B110,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104347,3164-502EB34,2025023,B111,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104371,3164-502EB34,2025023,B112,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104395,3164-502EB34,2025023,B113,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104419,3164-502EB34,2025023,B114,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104443,3164-502EB34,2025023,B115,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104466,5154-502EA30,2025024,B012,OD5B-M-9ME22,30,40,,,1,20241125
R,440,CAM HOLDER,F000104543,3164-502EB32,2025024,B117,M2XC-A3.2RE,32,22,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104561,3164-502EB32,2025024,B118,M2XC-A3.2RE,32,22,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104579,3164-502EB32,2025024,B119,M2XC-A3.2RE,32,22,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104597,3164-502EB32,2025024,B120,M2XC-A3.2RE,32,22,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104615,3164-502EB32,2025024,B121,M2XC-A3.2RE,32,22,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104633,3164-502EB32,2025024,B122,M2XC-A3.2RE,32,22,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104651,3164-502EA26,2025024,B123,M2XC-A3.2RE,26,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104669,3164-502EA26,2025024,B124,M2XC-A3.2RE,26,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104687,3164-502EA26,2025024,B125,M2XC-A3.2RE,26,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104694,3164-502EA26,2025025,B126,OD7-M2XC-A3.2RE,26,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104700,3164-502EA26,2025025,B127,OD7-M2XC-A3.2RE,26,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104706,3164-502EA26,2025025,B128,OD7-M2XC-A3.2RE,26,28,,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104714,3164-502AB32,2025025,B129,OD7-M2XC-A3.2RE,32,24,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104723,3164-502AB32,2025025,B130,OD7-M2XC-A3.2RE,32,24,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104732,3164-502AB32,2025025,B131,OD7-M2XC-A3.2RE,32,24,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104741,3164-502AB32,2025025,B132,OD7-M2XC-A3.2RE,32,24,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104750,3164-502AB32,2025025,B133,OD7-M2XC-A3.2RE,32,24,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104759,3164-502AB32,2025026,B134,OD7-M2XC-A3.2RE,32,26,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104768,3164-502AB32,2025026,B135,OD7-M2XC-A3.2RE,32,26,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104777,3164-502AB32,2025026,B136,OD7-M2XC-A3.2RE,32,28,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104786,3164-502AB32,2025026,B137,OD7-M2XC-A3.2RE,32,28,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104795,3164-502AB32,2025026,B138,OD7-M2XC-A3.2RE,32,28,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104804,3164-502AB32,2025026,B139,OD7-M2XC-A3.2RE,32,28,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104813,3164-502AB32,2025026,B140,OD7-M2XC-A3.2RE,32,28,ＭＵＮＤＯ ＴＥＸＴＩＬ,無電解ニッケルメッキ,1,20241125
R,440,CAM HOLDER,F000104833,478-502AC30,2025027,B013,M-8ME22,30,20,カワボウテキスチャ－ド（株）,,1,20241125
R,440,CAM HOLDER,F000104857,478-502AC30,2025027,B014,M-8ME22,30,20,カワボウテキスチャ－ド（株）,,1,20241125
R,440,CAM HOLDER,F000105073,478-502AC34,2025027,B015,M-8ME42,34,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105099,478-502AC34,2025027,B016,M-8ME42,34,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105125,478-502AC34,2025027,B017,M-8ME42,34,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105151,478-502AC34,2025027,B018,M-8ME42,34,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105177,478-502AC36,2025027,B019,M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105203,478-502AC36,2025027,B020,M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105229,478-502AC36,2025027,B021,M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105255,478-502AC36,2025027,B022,M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105281,478-502AC36,2025028,B023,M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105307,478-502AC36,2025028,B024,M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105333,478-502AC36,2025028,B025,M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105359,478-502AC36,2025028,B026,M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105386,478-502AC36,2025028,B027,OD5B-M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
R,440,CAM HOLDER,F000105410,478-502AC36,2025028,B028,OD5B-M-8ME42,36,32,TECHNO ACTIVEWEAR PRIVATE LIMITED,,1,20241125
