ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO
603,DK,M032,OD6B-M-7ES,30.0,32,478-409AA30,1,25127,20251208,2025-12-09 00:00:00,D409,2512,4,478,M032,2025-12-02 00:00:00,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,,,2025-12-04 00:00:00,,2025-12-05 00:00:00,,2025-12-08 00:00:00,,,,F000127155
604,DK,M038,M-9ME22,30.0,32,478-409AA30,1,25121,20251114,2025-11-17 00:00:00,D409,2512,4,478,M038,2025-11-10 00:00:00,,2025-11-10 00:00:00,,2025-11-11 00:00:00,,,,2025-11-12 00:00:00,,2025-11-13 00:00:00,,2025-11-14 00:00:00,,,,F000126033
605,DK,K7285,OD6B-M-8ERS,30.0,18,478-409AA30,1,25120,20251203,2025-12-03 00:00:00,D409,2512,5,478,K7285,2025-11-27 00:00:00,,2025-11-27 00:00:00,,2025-11-28 00:00:00,,,,2025-12-01 00:00:00,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,F000125902
606,DK,K7286,OD6B-M-8ERS,30.0,18,478-409AA30,1,25120,20251203,2025-12-03 00:00:00,D409,2512,5,478,K7286,2025-11-27 00:00:00,,2025-11-27 00:00:00,,2025-11-28 00:00:00,,,,2025-12-01 00:00:00,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,F000125904
607,DK,K7287,OD6B-M-8ERS,30.0,18,478-409AA30,1,25120,20251203,2025-12-03 00:00:00,D409,2512,5,478,K7287,2025-11-27 00:00:00,,2025-11-27 00:00:00,,2025-11-28 00:00:00,,,,2025-12-01 00:00:00,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,F000125906
608,DK,K7288,OD6B-M-8ERS,30.0,18,478-409AA30,1,25120,20251203,2025-12-03 00:00:00,D409,2512,5,478,K7288,2025-11-27 00:00:00,,2025-11-27 00:00:00,,2025-11-28 00:00:00,,,,2025-12-01 00:00:00,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,F000125908
609,DK,K7289,OD6B-M-8ERS,30.0,18,478-409AA30,1,25120,20251203,2025-12-03 00:00:00,D409,2512,5,478,K7289,2025-11-27 00:00:00,,2025-11-27 00:00:00,,2025-11-28 00:00:00,,,,2025-12-01 00:00:00,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,F000125910
61,DK,K7210,OD6B-M-8ERS,34.0,16,478-409AA34,1,25100,20251016,2025-10-16 00:00:00,D409,2510,5,478,K7210,2025-10-09 00:00:00,2025-10-02 00:00:00,2025-10-09 00:00:00,2025-10-02 00:00:00,2025-10-10 00:00:00,2025-10-03 00:00:00,,,2025-10-14 00:00:00,2025-10-03 00:00:00,2025-10-15 00:00:00,2025-10-06 00:00:00,2025-10-15 00:00:00,2025-10-07 00:00:00,,,F000125531
610,DK,K7290,OD6B-M-8ERS,30.0,18,478-409AA30,1,25120,20251203,2025-12-03 00:00:00,D409,2512,5,478,K7290,2025-11-27 00:00:00,,2025-11-27 00:00:00,,2025-11-28 00:00:00,,,,2025-12-01 00:00:00,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,F000125912
611,DK,K7291,OD6B-M-8ERS,30.0,18,478-409AA30,1,25120,20251203,2025-12-03 00:00:00,D409,2512,5,478,K7291,2025-11-27 00:00:00,,2025-11-27 00:00:00,,2025-11-28 00:00:00,,,,2025-12-01 00:00:00,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,F000125914
612,DK,K7292,OD6B-M-8ERS,30.0,18,478-409AA30,1,25120,20251203,2025-12-03 00:00:00,D409,2512,5,478,K7292,2025-11-27 00:00:00,,2025-11-27 00:00:00,,2025-11-28 00:00:00,,,,2025-12-01 00:00:00,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,F000125916
