ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO
32,DK,K046,M-9ME22,30.0,28,478-409AA30,1,25108,20251015,2025-10-16 00:00:00,D409,2510,4,478,K046,2025-10-09 00:00:00,2025-10-06 00:00:00,2025-10-09 00:00:00,2025-10-07 00:00:00,2025-10-10 00:00:00,2025-10-07 00:00:00,,,2025-10-14 00:00:00,2025-10-08 00:00:00,2025-10-15 00:00:00,2025-10-08 00:00:00,2025-10-15 00:00:00,2025-10-08 00:00:00,,,F000123307
320,DK,K7273,OD6B-M-8ERS,30.0,24,478-409AA30,1,25110,20251113,2025-11-13 00:00:00,D409,2511,5,478,K7273,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125866
321,DK,K7274,OD6B-M-8ERS,30.0,24,478-409AA30,1,25110,20251113,2025-11-13 00:00:00,D409,2511,5,478,K7274,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125868
322,DK,K7275,OD6B-M-8ERS,30.0,24,478-409AA30,1,25110,20251113,2025-11-13 00:00:00,D409,2511,5,478,K7275,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125870
323,DK,K7276,OD6B-M-8ERS,30.0,24,478-409AA30,1,25110,20251113,2025-11-13 00:00:00,D409,2511,5,478,K7276,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125872
324,DK,K7277,OD6B-M-8ERS,30.0,24,478-409AA30,1,25110,20251113,2025-11-13 00:00:00,D409,2511,5,478,K7277,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125874
325,DK,K7278,OD6B-M-8ERS,30.0,24,478-409AA30,1,25110,20251113,2025-11-13 00:00:00,D409,2511,5,478,K7278,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125876
326,DK,K7279,OD6B-M-8ERS,30.0,24,478-409AA30,1,25110,20251113,2025-11-13 00:00:00,D409,2511,5,478,K7279,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125878
327,DK,K7317,M-9ME22,30.0,32,478-409AA30,1,25110,20251127,2025-11-27 00:00:00,D409,2511,5,478,K7317,2025-11-19 00:00:00,,2025-11-19 00:00:00,,2025-11-20 00:00:00,,,,2025-11-21 00:00:00,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,,,F000127276
328,DK,K7318,M-9ME22,30.0,32,478-409AA30,1,25110,20251127,2025-11-27 00:00:00,D409,2511,5,478,K7318,2025-11-19 00:00:00,,2025-11-19 00:00:00,,2025-11-20 00:00:00,,,,2025-11-21 00:00:00,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,,,F000127278
