HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
MA-KF20-01323CA1333,100,1205,PC,2013/6/1,1,5500.0,,2
MA-KF20-01323CA1333,100,1205,PC,2022/10/20,1,6000.0,,2
MA-KF20-01323CA1531,100,1205,PC,2013/6/1,1,5500.0,,2
MA-KF20-01323CA1531,100,1205,PC,2022/10/20,1,6200.0,,2
MA-KF20-01323CA1680,100,1205,PC,2022/8/1,5,6700.0,,2
MA-KF20-01606AA,100,1205,PC,2016/3/8,0,5940.0,,2
MA-KF20-01703DA,100,1205,PC,2017/2/15,1,5000.0,,2
MA-KF20-01703DA,100,1205,PC,2022/10/20,1,6450.0,,2
MA-KF20-03605AA,100,1205,PC,2016/3/8,0,6050.0,,2
MA-KF20-03605AA,100,1205,PC,2022/10/20,0,7200.0,,2
MA-KF77-00302AA,100,1205,PC,2013/6/1,1,2500.0,,2
MA-KF77-00303AA,100,1205,PC,2013/6/1,1,2500.0,,2
MA-KF77-00401AA,100,1205,PC,2013/6/1,1,21500.0,,2
MA-KF77-00501AA,100,1205,PC,2013/6/1,1,6500.0,,2
MA-KF77-00602AA,100,1205,PC,2013/6/1,1,3800.0,,2
MA-LU-2004BA,100,1205,PC,2013/6/1,1,1000.0,,2
MA-SPL-2408DA,100,1205,PC,2016/2/26,0,450.0,,2
MA-SPL-2557EA,100,1205,PC,2016/3/8,0,8250.0,,2
MA-00-757B,100,1380,PC,2013/6/1,1,5347.0,,2
MA-00-757C,100,1380,PC,2013/6/1,1,5347.0,,2
MA-00-757E,100,1380,PC,2013/6/1,1,5347.0,,2
MA-00-757FA,100,1380,PC,2013/6/1,1,5723.0,,2
MA-00-771D,100,1380,PC,2013/6/1,1,1809.0,,2
MA-100-306,100,1380,PC,2013/6/1,1,5196.0,,2
MA-103-453,100,1380,PC,2013/6/1,1,2109.0,,2
MA-1044-449AC,100,1380,PC,2013/6/1,1,3700.0,,2
MA-1045-453AA,100,1380,PC,2013/6/1,1,4150.0,,2
MA-105-306AA,100,1380,PC,2013/6/1,1,9940.0,,2
MA-105-306BA,100,1380,PC,2013/6/1,1,7003.0,,2
MA-110-306,100,1380,PC,2013/6/1,1,5196.0,,2
MA-13-456B,100,1380,PC,2013/6/1,1,1582.0,,2
MA-1331-108AA,100,1380,PC,2013/6/1,1,4000.0,,2
MA-161-443DA30,100,1380,PC,2013/6/1,1,42000.0,,2
MA-1631-141BA,100,1380,PC,2016/12/13,1,16400.0,,2
MA-960-435AB26,100,1380,PC,2013/6/1,1,68530.0,,2
MA-980-461CA,100,1380,PC,2013/6/1,1,1200.0,,2
MA-DC-2405D-1,100,1380,PC,2013/6/1,1,6700.0,,2
MA-DC-2405D-1,100,1380,PC,2016/7/4,1,5000.0,,2
MA-DC-2432,100,1380,PC,2013/6/1,1,648.0,,2
MA-DC-5103AA,100,1380,PC,2013/6/1,1,4485.0,,2
MA-DF46-00101AA,100,1380,PC,2013/6/1,1,5360.0,,2
MA-E-16760B,100,1380,PC,2013/6/1,1,8663.0,,2
MA-E-19001FB,100,1380,PC,2013/6/1,1,2800.0,,2
MA-E-19001GB,100,1380,PC,2013/6/1,1,1582.0,,2
MA-E-19001J,100,1380,PC,2013/6/1,1,2830.0,,2
MA-E-6601P,100,1380,PC,2013/6/1,1,1169.0,,2
MA-G-3413B,100,1380,PC,2013/6/1,1,3035.0,,2
MA-G-3509AA,100,1380,PC,2013/6/1,1,1700.0,,2
MA-G-3509AA,100,1380,PC,2017/4/5,1,3300.0,,2
MA-G-3509AA,100,1380,PC,2018/4/6,0,7300.0,,2
MA-G-3509B,100,1380,PC,2013/6/1,1,3500.0,,2
MA-G-3509C,100,1380,PC,2013/6/1,1,3500.0,,2
MA-G-3509C,100,1380,PC,2022/10/4,1,3900.0,,2
MA-G-3515,100,1380,PC,2013/6/1,1,2900.0,,2
MA-G-3515D,100,1380,PC,2013/6/1,1,2433.0,,2
MA-G-3515H,100,1380,PC,2013/6/1,1,9200.0,,2
MA-G-3515K,100,1380,PC,2013/6/1,1,9200.0,,2
MA-G-3801H,100,1380,PC,2013/6/1,1,1958.0,,2
MA-G-4206G,100,1380,PC,2013/6/1,1,1270.0,,2
MA-G-4207,100,1380,PC,2013/6/1,1,1236.0,,2
MA-G-4209C,100,1380,PC,2000/1/1,1,5445.0,,2
MA-G-4209C,100,1380,PC,2013/6/1,1,1809.0,,2
MA-G-4209C,100,1380,PC,2015/6/1,1,2500.0,,2
MA-G-5102FA,100,1380,PC,2013/6/1,1,19000.0,,2
MA-G-5109,100,1380,PC,2013/6/1,1,3209.0,,2
MA-G-6403FA,100,1380,PC,2016/7/19,1,18900.0,,2
MA-G-6503DA,100,1380,PC,2013/6/1,1,12800.0,,2
MA-G-6503GA,100,1380,PC,2013/6/1,1,5800.0,,2
MA-G-7202,100,1380,PC,2013/6/1,1,3577.0,,2
MA-G-7202,100,1380,PC,2022/8/10,1,4300.0,,2
MA-G-7701B,100,1380,PC,2013/6/1,1,6285.0,,2
MA-G-7701B,100,1380,PC,2022/10/4,1,7040.0,,2
MA-G-7701CA,100,1380,PC,2013/6/1,1,8000.0,,2
MA-G-7702B,100,1380,PC,2013/6/1,1,3314.0,,2
MA-G-7702B,100,1380,PC,2022/10/4,1,3720.0,,2
MA-G-8301BA,100,1380,PC,2013/6/1,1,4800.0,,2
MA-G-9501BB,100,1380,PC,2013/6/1,1,1828.0,,2
MA-G-9501BB,100,1380,PC,2022/8/10,1,2370.0,,2
MA-G-9501CA,100,1380,PC,2013/6/1,1,2912.0,,2
MA-G-9501CB,100,1380,PC,2013/6/1,1,2912.0,,2
MA-G-9501CB,100,1380,PC,2021/12/13,1,3200.0,,2
MA-G-9501CB,100,1380,PC,2022/8/10,1,3840.0,,2
MA-G-9501DB,100,1380,PC,2013/6/1,1,2059.0,,2
MA-G-9501DB,100,1380,PC,2021/11/10,1,2265.0,,2
MA-G-9501DB,100,1380,PC,2022/8/10,1,2710.0,,2
MA-G-9501EB,100,1380,PC,2013/6/1,1,2611.0,,2
MA-G-9501EB,100,1380,PC,2022/8/10,1,3130.0,,2
MA-G-9501FB,100,1380,PC,2013/6/1,1,5689.0,,2
MA-G-9501HB,100,1380,PC,2013/6/1,1,11350.0,,2
MA-G-9501HB,100,1380,PC,2016/9/6,5,8300.0,,2
MA-G-9501HB,100,1380,PC,2016/9/6,10,7200.0,,2
MA-G-9501HB,100,1380,PC,2022/10/4,1,8000.0,,2
MA-G-9601CC,100,1380,PC,2013/6/1,1,28800.0,,2
MA-G-9601DA,100,1380,PC,2013/6/1,1,13700.0,,2
MA-G-9606AA,100,1380,PC,2013/6/1,1,1572.0,,2
MA-G-9606AA,100,1380,PC,2022/8/10,1,1730.0,,2
