HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
5143-602EA18,100,3399,PC,2025/01/28,0.0,2109.0,,1
5143-602EA19,100,3399,PC,2025/01/28,0.0,2109.0,,1
5145-602EA21,100,3399,PC,2025/01/28,0.0,2109.0,,1
110-450,100,1797,PC,2013/06/01,0.0,2370.0,,1
13-450,100,1797,PC,2024/05/01,0.0,1645.0,,1
3142-601AA30,100,1797,PC,2024/05/01,0.0,530.0,,1
720-605D,100,1797,PC,2022/01/19,0.0,4520.0,,1
603-605HA,100,1797,PC,2023/05/12,0.0,1626.0,,1
814-605B,100,1797,PC,2024/05/01,0.0,2452.0,,1
3154-652AA24,100,1797,PC,2024/05/01,0.0,44676.0,,1
435-503CA,100,1797,PC,2013/06/01,0.0,1839.0,,1
5202-661AA,100,1797,PC,2013/06/01,0.0,2410.0,,1
5500-505DA,100,1797,PC,2023/05/12,0.0,6320.0,,1
5500-505EA,100,1797,PC,2024/05/01,0.0,2566.0,,1
560-609,100,1797,PC,2023/09/20,0.0,661.0,,1
57-642DB,100,1797,PC,2023/09/20,0.0,1684.0,,1
580-609DD,100,1797,PC,2024/05/01,0.0,2904.0,,1
603-609AB,100,1797,PC,2024/05/01,0.0,1483.0,,1
603-609CB,100,1797,PC,2024/05/01,0.0,1545.0,,1
631-609AC,100,1797,PC,2013/06/01,0.0,1500.0,,1
631-609BB,100,1797,PC,2025/09/12,0.0,1050.0,,1
631-609DB,100,3724,PC,2025/08/25,0.0,2086.0,,1
631-609FA,100,1797,PC,2013/06/01,0.0,1498.0,,1
810-504,100,1797,PC,2024/05/01,0.0,1064.0,,1
816-609AB,100,1797,PC,2023/09/20,0.0,1013.5,,1
850-604DB30,100,1797,PC,2013/06/01,0.0,1957.0,,1
850-604DBS30,100,1797,PC,2013/06/01,0.0,2200.0,,1
5500-505FA,100,1800,PC,2023/04/21,0.0,2607.0,,1
960-451AA,100,1797,PC,2024/05/01,0.0,5663.0,,1
960-609CB,100,1797,PC,2024/05/01,0.0,1754.0,,1
960-609DB,100,1797,PC,2023/09/20,0.0,1063.0,,1
972-609CB,100,1797,PC,2013/06/01,0.0,1610.0,,1
972-609EB,100,1797,PC,2024/05/01,0.0,1608.0,,1
980-609CB,100,1797,PC,2013/06/01,0.0,1827.0,,1
C335-503AA,100,1797,PC,2024/05/01,0.0,1620.0,,1
K-14402BA,100,1797,PC,2024/05/01,0.0,1542.0,,1
K-17201GA,100,1797,PC,2024/05/01,0.0,10230.0,,1
KF43-00103BA,100,PT,PC,2013/06/01,0.0,1000.0,,1
G-5123AA,100,1797,PC,2013/06/01,0.0,4934.0,,1
K-22602AA,100,1797,PC,2024/05/01,0.0,2646.0,,1
K-22602BA,100,1797,PC,2024/05/01,0.0,2484.0,,1
1044-440DA26,100,1800,PC,2023/04/21,0.0,48706.0,,1
1044-440DA28,100,1800,PC,2023/04/21,0.0,48706.0,,1
1751-411AA09-1,100,1797,PC,2024/05/01,0.0,3429.0,,1
57-642EA,100,3724,PC,2025/07/01,0.0,2088.0,,1
6215-606AA38,100,1797,PC,2023/05/12,0.0,1470.0,,1
1751-413AB17,100,3399,PC,2022/08/01,0.0,4440.0,,1
1751-413AB24,100,3399,PC,2021/09/14,0.0,7851.0,,1
90-111SAE,100,1800,PC,2023/04/21,0.0,15092.0,,1
100-111BE,100,1800,PC,2023/04/21,0.0,12588.0,,1
DC-4003FB,100,3399,PC,2019/07/24,50.0,2100.0,,1
161-413NA,100,3399,PC,2022/08/01,0.0,15298.0,,1
12-205JS,100,3399,PC,2023/04/11,0.0,610.0,,1
12-218JS,100,3399,PC,2023/03/29,0.0,629.0,,1
3154-652AA25,100,,PC,,0.0,0.0,,1
3154-652AA21,100,1797,PC,2024/05/01,0.0,41704.0,,1
3154-652AA23,100,1797,PC,2024/05/01,0.0,41308.0,,1
3154-609BA4,100,3724,PC,2025/07/01,0.0,2433.0,,1
1731-501ZJA23,100,1797,PC,2024/05/01,0.0,30548.0,,1
1731-501ZJA24,100,1797,PC,2024/05/01,0.0,26112.0,,1
100-619FB5,100,1797,PC,2024/05/01,0.0,2299.0,,1
5308-601AB38,100,1797,PC,2024/05/01,0.0,46178.0,,1
3164-608AA26-1,100,1797,PC,2024/05/01,0.0,53955.0,,1
3164-608AA28-1,100,1797,PC,2023/03/08,0.0,63315.0,,1
3164-608AA30-1,100,1797,PC,2024/05/01,0.0,77770.0,,1
