OYAHMCD,KTCD,BUCD,SRCD,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
100-201C1333,AO,100,3070,2016/12/13,0.0,15000.0,,1
100-201C1333,AO,100,9999,2000/01/01,0.0,15000.0,,1
100-201E0290,AO,100,3070,2019/01/15,0.0,9000.0,,1
100-201E0290,AO,100,9999,2000/01/01,0.0,9000.0,,1
100-201E1150,L,100,3254,2022/12/23,0.0,6735.0,,1
100-201E1150,L,100,3254,2022/04/27,0.0,6300.0,,1
100-201E1150,L,100,9999,2000/01/01,0.0,6735.0,,1
100-201E1150,AO,100,3070,2022/05/10,0.0,12000.0,,1
100-201E1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-201F1081,L,100,3254,2022/12/23,0.0,8685.0,,1
100-201F1081,L,100,3254,2021/07/01,0.0,8250.0,,1
100-201F1081,L,100,9999,2000/01/01,0.0,8250.0,,1
100-201F1081,AO,100,3070,2021/07/07,0.0,12600.0,,1
100-201F1081,AO,100,9999,2000/01/01,0.0,12600.0,,1
100-201F1150,L,100,3254,2018/06/21,0.0,8251.0,,1
100-201F1150,L,100,3254,2016/03/08,0.0,8203.0,,1
100-201F1150,L,100,9999,2000/01/01,0.0,8251.0,,1
100-201F1150,AO,100,3070,2018/06/06,0.0,12000.0,,1
100-201F1150,AO,100,3070,2016/03/08,0.0,0.0,,1
100-201F1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-201F1240,L,100,3254,2018/06/21,0.0,4448.0,,1
100-201F1240,L,100,3254,2016/03/08,0.0,4400.0,,1
100-201F1240,AO,100,3070,2016/03/08,0.0,0.0,,1
100-201F1333,L,100,3254,2022/12/23,0.0,8209.0,,1
100-201F1333,L,100,3254,2018/06/21,0.0,7774.0,,1
100-201F1333,L,100,3254,2016/03/08,0.0,7726.0,,1
100-201F1333,L,100,9999,2000/01/01,0.0,8209.0,,1
100-201F1333,AO,100,3070,2016/03/08,0.0,21000.0,,1
100-201F1333,AO,100,3070,2016/01/25,0.0,21000.0,,1
100-201F1333,AO,100,9999,2000/01/01,0.0,21000.0,,1
100-201F1411,L,100,3254,2016/06/09,0.0,4270.0,,1
100-201F1411,L,100,9999,2000/01/01,0.0,4270.0,,1
100-201F1411,AO,100,3070,2016/06/30,0.0,21500.0,,1
100-201F1411,AO,100,9999,2000/01/01,0.0,21500.0,,1
100-201JA1333T,L,100,3254,2019/01/25,0.0,18000.0,,1
100-201JA1333T,L,100,9999,2000/01/01,0.0,18000.0,,1
100-201JA1333T,AO,100,3070,2019/01/14,0.0,13750.0,,1
100-201JA1333T,AO,100,9999,2000/01/01,0.0,13750.0,,1
100-202A0800,L,100,3254,2021/02/02,0.0,6000.0,,1
100-202A0800,L,100,3254,2018/06/21,0.0,5754.0,,1
100-202A0800,L,100,3254,2016/03/08,0.0,5610.0,,1
100-202A0800,L,100,9999,2000/01/01,0.0,6000.0,,1
100-202A0800,AO,100,3070,2021/02/24,0.0,9500.0,,1
100-202A0800,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202A0800,AO,100,9999,2000/01/01,0.0,9500.0,,1
100-202A0930,L,100,3254,2021/02/02,0.0,6200.0,,1
100-202A0930,L,100,3254,2018/06/21,0.0,5556.0,,1
100-202A0930,L,100,3254,2016/03/08,0.0,5412.0,,1
100-202A0930,L,100,9999,2000/01/01,0.0,6200.0,,1
100-202A0930,AO,100,3070,2016/03/08,0.0,10000.0,,1
100-202A0930,AO,100,9999,2000/01/01,0.0,10000.0,,1
100-202A1081,L,100,3254,2022/12/23,0.0,4281.0,,1
100-202A1081,L,100,3254,2018/06/21,0.0,3697.0,,1
100-202A1081,L,100,3254,2016/03/08,0.0,3553.0,,1
100-202A1081,L,100,9999,2000/01/01,0.0,3697.0,,1
100-202A1081,AO,100,3070,2022/08/29,0.0,12000.0,,1
100-202A1081,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202A1081,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-202A1150,L,100,3254,2022/12/23,0.0,6228.0,,1
100-202A1150,L,100,3254,2018/06/21,0.0,5644.0,,1
100-202A1150,L,100,3254,2016/03/08,0.0,5500.0,,1
100-202A1150,L,100,9999,2000/01/01,0.0,6228.0,,1
100-202A1150,AO,100,3070,2016/09/08,0.0,12000.0,,1
100-202A1150,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202A1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-202A1150S,L,100,3254,2018/06/21,0.0,6750.0,,1
100-202A1150S,L,100,3254,2016/03/08,0.0,6600.0,,1
100-202A1150S,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202A1240,L,100,3254,2018/06/21,0.0,4038.0,,1
100-202A1240,L,100,3254,2016/03/08,0.0,3894.0,,1
100-202A1240,L,100,9999,2000/01/01,0.0,4038.0,,1
100-202A1240,AO,100,3070,2017/05/26,0.0,12000.0,,1
100-202A1240,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202A1240,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-202A1333,L,100,3254,2022/12/23,0.0,6019.0,,1
100-202A1333,L,100,3254,2018/06/21,0.0,5435.0,,1
100-202A1333,L,100,3254,2016/03/08,0.0,5291.0,,1
100-202A1333,L,100,9999,2000/01/01,0.0,6019.0,,1
100-202A1333,AO,100,3070,2016/10/28,0.0,15000.0,,1
100-202A1333,AO,100,3070,2016/03/08,0.0,21000.0,,1
100-202A1333,AO,100,9999,2000/01/01,0.0,15000.0,,1
100-202AB1240S,L,100,3254,2023/10/06,0.0,9000.0,,1
100-202AB1240S,L,100,9999,2000/01/01,0.0,9000.0,,1
100-202AB1240S,AO,100,3070,2023/10/12,0.0,15000.0,,1
100-202AB1240S,AO,100,9999,2000/01/01,0.0,15000.0,,1
100-202B0800,L,100,3254,2016/03/08,0.0,2357.0,,1
100-202B0800,L,100,9999,2000/01/01,0.0,2357.0,,1
100-202B0800,AO,100,3070,2021/02/15,0.0,11400.0,,1
100-202B0800,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202B0800,AO,100,9999,2000/01/01,0.0,11400.0,,1
100-202B0930,L,100,3254,2016/03/08,0.0,2622.0,,1
100-202B0930,L,100,9999,2000/01/01,0.0,2622.0,,1
100-202B0930,AO,100,3070,2016/03/08,0.0,10000.0,,1
100-202B0930,AO,100,9999,2000/01/01,0.0,10000.0,,1
100-202B1081,L,100,3254,2016/03/08,0.0,1268.0,,1
100-202B1081,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202B1150,L,100,3254,2016/03/08,0.0,2750.0,,1
100-202B1150,L,100,9999,2000/01/01,0.0,2750.0,,1
100-202B1150,AO,100,3070,2016/03/08,0.0,12000.0,,1
100-202B1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-202B1240,L,100,3254,2016/03/08,0.0,2310.0,,1
100-202B1240,L,100,9999,2000/01/01,0.0,2310.0,,1
100-202B1240,AO,100,3070,2017/05/26,0.0,12000.0,,1
100-202B1240,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202B1240,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-202B1333,L,100,3254,2016/03/08,0.0,2805.0,,1
100-202B1333,L,100,9999,2000/01/01,0.0,2805.0,,1
100-202B1333,AO,100,3070,2016/10/28,0.0,15000.0,,1
100-202B1333,AO,100,3070,2016/03/08,0.0,21000.0,,1
100-202B1333,AO,100,9999,2000/01/01,0.0,15000.0,,1
100-202E1150,L,100,3254,2022/12/23,0.0,6548.0,,1
100-202E1150,L,100,3254,2018/06/21,0.0,5964.0,,1
100-202E1150,L,100,3254,2016/03/08,0.0,5819.0,,1
100-202E1150,L,100,9999,2000/01/01,0.0,5964.0,,1
100-202E1150,AO,100,3070,2022/05/10,0.0,12000.0,,1
100-202E1150,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202E1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-202EB1081,L,100,3254,2022/12/23,0.0,7253.0,,1
100-202EB1081,L,100,3254,2022/12/16,0.0,6669.0,,1
100-202EB1081,L,100,3254,2021/07/01,0.0,9500.0,,1
100-202EB1081,L,100,9999,2000/01/01,0.0,9500.0,,1
100-202EB1081,AO,100,3070,2021/07/07,0.0,12500.0,,1
100-202EB1081,AO,100,9999,2000/01/01,0.0,12500.0,,1
100-202EB1150,L,100,3254,2018/06/21,0.0,6085.0,,1
100-202EB1150,L,100,3254,2016/03/08,0.0,5940.0,,1
100-202EB1150,L,100,9999,2000/01/01,0.0,6085.0,,1
100-202EB1150,AO,100,3070,2018/12/14,0.0,12500.0,,1
100-202EB1150,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202EB1150,AO,100,9999,2000/01/01,0.0,12500.0,,1
100-202EB1240,L,100,3254,2018/06/21,0.0,6327.0,,1
100-202EB1240,L,100,3254,2016/03/08,0.0,6182.0,,1
100-202EB1240,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202EB1240S,L,100,3254,2018/06/21,0.0,6976.0,,1
100-202EB1240S,L,100,3254,2016/03/08,0.0,6820.0,,1
100-202EB1240S,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202EB1333,L,100,3254,2022/12/23,0.0,6669.0,,1
100-202EB1333,L,100,3254,2018/06/21,0.0,6085.0,,1
100-202EB1333,L,100,3254,2016/03/08,0.0,5940.0,,1
100-202EB1333,L,100,9999,2000/01/01,0.0,6669.0,,1
100-202EB1333,AO,100,3070,2016/03/08,0.0,15500.0,,1
100-202EB1333,AO,100,3070,2016/01/25,0.0,15500.0,,1
100-202EB1333,AO,100,9999,2000/01/01,0.0,15500.0,,1
100-202EB1333T,L,100,3254,2019/01/22,0.0,12000.0,,1
100-202EB1333T,L,100,9999,2000/01/01,0.0,12000.0,,1
100-202EB1333T,AO,100,3070,2019/01/14,0.0,13750.0,,1
100-202EB1333T,AO,100,9999,2000/01/01,0.0,13750.0,,1
100-202EB1411,L,100,3254,2016/06/09,0.0,8820.0,,1
100-202EB1411,L,100,9999,2000/01/01,0.0,8820.0,,1
100-202EB1411,AO,100,3070,2016/06/30,0.0,21500.0,,1
100-202EB1411,AO,100,9999,2000/01/01,0.0,21500.0,,1
100-202EC0290,AO,100,3070,2019/01/15,0.0,5000.0,,1
100-202EC0290,AO,100,9999,2000/01/01,0.0,5000.0,,1
100-202F0290,AO,100,3070,2019/01/15,0.0,9000.0,,1
100-202F0290,AO,100,9999,2000/01/01,0.0,9000.0,,1
100-202F1081,L,100,3254,2022/12/23,0.0,6350.0,,1
100-202F1081,L,100,3254,2021/07/01,0.0,6000.0,,1
100-202F1081,L,100,9999,2000/01/01,0.0,6000.0,,1
100-202F1081,AO,100,3070,2021/07/07,0.0,12600.0,,1
100-202F1081,AO,100,9999,2000/01/01,0.0,12600.0,,1
100-202F1150,L,100,3254,2022/12/23,0.0,3395.0,,1
100-202F1150,L,100,3254,2018/06/21,0.0,3045.0,,1
100-202F1150,L,100,3254,2016/03/08,0.0,3000.0,,1
100-202F1150,L,100,9999,2000/01/01,0.0,3395.0,,1
100-202F1150,AO,100,3070,2018/12/14,0.0,12000.0,,1
100-202F1150,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202F1150,AO,100,9999,2000/01/01,0.0,12000.0,,1
100-202F1240,L,100,3254,2018/06/21,0.0,3895.0,,1
100-202F1240,L,100,3254,2016/03/08,0.0,3850.0,,1
100-202F1240,AO,100,3070,2016/03/08,0.0,0.0,,1
100-202F1333,L,100,3254,2022/12/23,0.0,3457.0,,1
100-202F1333,L,100,3254,2018/06/21,0.0,3107.0,,1
100-202F1333,L,100,3254,2016/03/08,0.0,3062.0,,1
100-202F1333,L,100,9999,2000/01/01,0.0,3457.0,,1
100-202F1333,AO,100,3070,2016/03/08,0.0,21000.0,,1
100-202F1333,AO,100,3070,2016/01/25,0.0,21000.0,,1
100-202F1333,AO,100,9999,2000/01/01,0.0,21000.0,,1
100-202F1411,L,100,3254,2016/06/09,0.0,6400.0,,1
100-202F1411,L,100,9999,2000/01/01,0.0,6400.0,,1
100-202F1411,AO,100,3070,2016/06/30,0.0,21500.0,,1
100-202F1411,AO,100,9999,2000/01/01,0.0,21500.0,,1
100-204AA,MC,100,3399,2017/07/27,4.0,16500.0,,1
100-204AA,MC,100,3399,2017/07/27,0.0,20000.0,,1
100-204AA,MC,100,3399,2016/02/26,0.0,16500.0,,1
100-204AA,MC,100,9999,2000/01/01,0.0,16500.0,,1
100-204BA,MC,100,3399,2016/07/04,0.0,34000.0,,1
100-204BA,MC,100,3399,2016/06/30,0.0,17500.0,,1
100-204BA,MC,100,3399,2016/06/01,0.0,34000.0,,1
100-204BA,MC,100,3399,2016/02/26,0.0,16500.0,,1
100-204BA,MC,100,9999,2000/01/01,0.0,34000.0,,1
100-204BA,PA,100,3399,2016/02/26,0.0,714.0,,1
100-204BA,PA,100,9999,2000/01/01,0.0,714.0,,1
100-205AA,MC,100,3399,2017/07/27,4.0,16500.0,,1
100-205AA,MC,100,3399,2017/07/27,0.0,20000.0,,1
100-205AA,MC,100,3399,2017/07/18,5.0,15600.0,,1
100-205AA,MC,100,3399,2016/02/26,0.0,9900.0,,1
100-205AA,MC,100,9999,2000/01/01,0.0,16500.0,,1
100-205BA,MC,100,3399,2019/01/22,0.0,70000.0,,1
100-205BA,MC,100,3399,2016/02/26,0.0,16500.0,,1
100-205BA,MC,100,9999,2000/01/01,0.0,70000.0,,1
100-205BA,PA,100,3399,2016/02/26,0.0,714.0,,1
100-205FA,MC,100,3399,2016/02/26,0.0,16500.0,,1
100-205FA,PA,100,3399,2016/02/26,0.0,858.0,,1
100-206D1150,L,100,3254,2016/03/08,0.0,8382.0,,1
100-206D1150,L,100,9999,2000/01/01,0.0,8382.0,,1
100-208-AA0490,PL,100,3861,2018/11/01,0.0,700.0,,1
100-208-AA0490,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA0700,PL,100,3861,2018/11/08,0.0,700.0,,1
100-208-AA0700,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,10.0,720.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,5.0,880.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,4.0,880.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,3.0,880.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,0.0,2200.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,7.0,880.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,6.0,880.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,9.0,880.0,,1
100-208-AA0800,PL,100,3158,2023/01/05,8.0,880.0,,1
100-208-AA0800,PL,100,3158,2022/08/08,10.0,650.0,,1
100-208-AA0800,PL,100,3158,2022/06/01,8.0,800.0,,1
100-208-AA0800,PL,100,3158,2022/06/01,9.0,800.0,,1
100-208-AA0800,PL,100,3158,2022/06/01,5.0,800.0,,1
100-208-AA0800,PL,100,3158,2022/06/01,6.0,800.0,,1
100-208-AA0800,PL,100,3158,2022/06/01,4.0,800.0,,1
100-208-AA0800,PL,100,3158,2022/06/01,7.0,800.0,,1
100-208-AA0800,PL,100,3158,2022/06/01,3.0,800.0,,1
100-208-AA0800,PL,100,3158,2022/04/07,0.0,2000.0,,1
100-208-AA0800,PL,100,3861,2018/07/06,0.0,700.0,,1
100-208-AA0800,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA0930,PL,100,3158,2023/01/05,8.0,880.0,,1
100-208-AA0930,PL,100,3158,2023/01/05,7.0,880.0,,1
100-208-AA0930,PL,100,3158,2023/01/05,6.0,880.0,,1
100-208-AA0930,PL,100,3158,2023/01/05,5.0,880.0,,1
100-208-AA0930,PL,100,3158,2023/01/05,9.0,880.0,,1
100-208-AA0930,PL,100,3158,2023/01/05,3.0,880.0,,1
100-208-AA0930,PL,100,3158,2023/01/05,4.0,880.0,,1
100-208-AA0930,PL,100,3158,2022/06/01,5.0,800.0,,1
100-208-AA0930,PL,100,3158,2022/06/01,4.0,800.0,,1
100-208-AA0930,PL,100,3158,2022/06/01,9.0,800.0,,1
100-208-AA0930,PL,100,3158,2022/06/01,6.0,800.0,,1
100-208-AA0930,PL,100,3158,2022/06/01,3.0,800.0,,1
