HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN,INSTID,INSTDT,UPDTID,UPDTDT
105-307CA,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
105-307DA,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
105-405AA420,1,10,L1,3279,仮,0,0,0,0,10,,,2,2,,,,
105-405AA480,1,10,L1,3279,仮,0,0,0,0,10,,,2,2,,,,
105-444DC,1,10,MC,3523,仮,0,0,0,0,10,,,2,2,,,,
105-444DC,2,20,PA,3399,仮,0,0,0,0,10,,,2,2,,,,
105-609BB2,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
105-609BB3,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
105-609BB4,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
105-609BB6,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
105-609BB8,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
105-701DA,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
105-701EA,1,10,PA,3406,仮,0,0,20,0,10,,,2,2,,,,
105-701FA,1,10,PA,3406,仮,0,0,20,0,10,,,2,2,,,,
105-702AA,1,10,PL,1973,仮,0,0,0,0,10,,,2,2,,,,
1051-12A01AA38,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
1051-12A01BA38,1,10,PA,3406,仮,0,0,20,0,10,,,2,2,,,,
1051-12A01CA30,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
