No.,記入日,記入者,発注部番（数字・ｶﾀｶﾅは半角）,品名（数字・ｶﾀｶﾅは半角）,個数,単価,納期（必須）,工具受領日,業者コード,業者名略称,合計金額,備考,注文書発行日,注文番号,検収日,部品注文番号／組立番号／製作依頼番号,完成部番,比率（分子（素材））,比率（分母（完成部番））,備考
105,12/26,宮木,SS400-20X130X190,SS400-20X130X190 6F,4,"1,890",2019/1/8,済,3315,京阪プレ－ト,"7,560",12/26植木殿メール,2018/12/27,E3364200,2019/1/18,,,,,
106,12/26,宮木,SS400-25X65X91,SS400-25X65X91 6F,4,950,2019/1/8,済,3315,京阪プレ－ト,"3,800",12/26植木殿メール,2018/12/27,E3364201,2019/1/18,,,,,
107,12/26,宮木,SS400-9X19X85,SS400-9X19X85 6F,4,640,2019/1/8,済,3315,京阪プレ－ト,"2,560",12/26植木殿メール,2018/12/27,E3364202,2019/1/18,,,,,
108,12/26,宮木,SS400-12X44X130,SS400-12X44X130 6F,4,740,2019/1/8,済,3315,京阪プレ－ト,"2,960",12/26植木殿メール,2018/12/27,E3364203,2019/1/18,,,,,
109,12/26,宮木,SS400-16X16X34,SS400-16X16X34 6F,4,600,2019/1/8,済,3315,京阪プレ－ト,"2,400",12/26植木殿メール,2018/12/27,E3364204,2019/1/18,,,,,
110,12/26,宮木,SS400-14X24X28,SS400-14X24X28 6F,4,640,2019/1/8,済,3315,京阪プレ－ト,"2,560",12/26植木殿メール,2018/12/27,E3364205,2019/1/18,,,,,
111,12/26,宮木,SS400-12X75X110,SS400-12X75X110 6F,4,870,2019/1/8,済,3315,京阪プレ－ト,"3,480",12/26植木殿メール,2018/12/27,E3364206,2019/1/18,,,,,
112,12/26,宮木,FC250-42.5X30X61,FC250-42.5X30X61 6F,1,"1,150",2019/1/8,済,3315,京阪プレ－ト,"1,150",12/26植木殿メール,2018/12/27,E3364207,2019/1/18,,,,,
113,12/26,宮木,S45C-20X130X200,S45C 6F  20X130X200,3,"2,200",2019/1/8,済,3315,京阪プレ－ト,"6,600",12/26植木殿メール,2018/12/27,E3364209,2019/1/18,,,,,
114,12/27,宮木,FC250-50X50X105,FC250-50X50X105 6F,20,"2,000",2019/1/8,済,3315,京阪プレ－ト,"40,000",12/27植木殿メール,2019/1/7,E3370388,2019/1/18,,,,,
115,12/28,宮木,SK3-7.5X50X390,SK3 4F 7.5(±0.05)X50(±0.1)X390,10,"2,740",2019/1/8,済,3315,京阪プレ－ト,"27,400",12/28万代殿メール,2019/1/7,E3370390,2019/1/18,,,,,
116,1/8,宮木,SS400-9X120X127,SS400 6F  9(±0.1)×120(±0.1)×127(±0.1) ,2,970,2019/1/11,済,3315,京阪プレ－ト,"1,940",1/8植木殿メール,2019/1/9,E3376731,2019/1/18,,,,,
117,1/8,宮木,SS400-30X32X80,SS400 6F  30(±0.05)×32(±0.1)×80(±0.1) ,6,650,2019/1/11,済,3315,京阪プレ－ト,"3,900",1/8植木殿メール,2019/1/9,E3376736,2019/1/18,,,,,
118,1/8,宮木,SS400-12X18X32,SS400 6F  12(±0.1)×18(±0.1)×32(±0.1) ,20,510,2019/1/11,済,3315,京阪プレ－ト,"10,200",1/8植木殿メール,2019/1/9,E3376734,2019/1/18,,,,,
119,1/8,宮木,SS400-16X78X129,SS400 6F  16(±0.1)×78(±0.1)×129(±0.1) ,10,960,2019/1/11,済,3315,京阪プレ－ト,"9,600",1/8植木殿メール,2019/1/9,E3376735,2019/1/18,,,,,
120,1/17,宮木,S50C-7.5X20X390,S50C 4F  7.5(±0.05)×20(±0.1)×390,7,"1,410",2019/1/18,済,3315,京阪プレ－ト,"9,870",1/17万代殿メール,2019/1/17,E3391358,2019/1/25,,,,,
121,1/23,宮木,SS400-25X485X12,SS400 6F  25(±0.2)×485(±0.2)×12(±0.2) ,1,"1,600",2019/1/28,済,3315,京阪プレ－ト,"1,600",1/8森野殿メール,2019/1/24,E3404083,2019/1/31,,,,,
122,1/24,宮木,SK3-4.5X80X390,SK3 4F 4.5(±0.05)X80(±0.1)X390,10,"3,080",2019/1/29,済,3315,京阪プレ－ト,"30,800",1/24万代殿メール,2019/1/25,E3406464,2019/1/31,,,,,
123,1/24,宮木,SK3-4X80X390,SK3 2F 4(0-0.03)X80(±0.1)X390,2,"4,990",2019/1/29,済,3315,京阪プレ－ト,"9,980",1/24万代殿メール,2019/1/25,E3406465,2019/1/31,,,,,
124,1/28,宮木,SS400-9X40X190,SS400-9X40X190,1,850,2019/1/30,済,3315,京阪プレ－ト,850,1/28植木殿メール,2019/1/28,E3408558,2019/1/31,,,,,
125,1/28,宮木,SS400-12X12X38,SS400-12X12X38,1,580,2019/1/30,済,3315,京阪プレ－ト,580,1/28植木殿メール,2019/1/28,E3408559,2019/1/31,,,,,
126,1/28,宮木,SS400-12X25X38,SS400-12X25X38,1,480,2019/1/30,済,3315,京阪プレ－ト,480,1/28植木殿メール,2019/1/28,E3408560,2019/1/13,,,,,
127,1/28,宮木,SS400-9X50X76,SS400-9X50X76,1,620,2019/1/30,済,3315,京阪プレ－ト,620,1/28植木殿メール,2019/1/28,E3408561,2019/1/31,,,,,
128,2/4,宮木,SK3-4X80X390,SK3 2F 4(0-0.03)X80(±0.1)X390,7,"4,820",2019/2/7,済,3315,京阪プレ－ト,"33,740",2/4万代殿メール,2019/2/5,E3423389,2019/2/14,,,,,
129,2/13,宮木,SS400-100X400X36.7,SS400-100X400X36.7,1,"4,370",2019/2/15,済,3315,京阪プレ－ト,"4,370",2/13森野殿メール,2019/2/13,E3435475,2019/2/25,,,,,3/5次19DKC024 SS400 100-226CA　
130,2/14,宮木,SKD11-20X40X30,SKD11 6F  20(±0.1)×40(±0.1)×30(±0.1) ,6,"1,080",2019/2/18,済,3315,京阪プレ－ト,"6,480",2/14森野殿メール,2019/2/15,E3440624,2019/2/26,,,,,2月部品注文（注文番号PE-22405）
131,2/14,宮木,S50C-120X200X22,S50C 6F  120(±0.1)×200(±0.1)×22(±0.1) ,2,"2,250",2019/2/18,済,3315,京阪プレ－ト,"4,500",2/14森野殿メール,2019/2/15,E3440625,2019/2/26,,,,,2月部品注文（注文番号PE-22405）
132,2/15,宮木,SKD11-20X21X30,SKD11 6F  20(±0.1)×21(±0.1)×30(±0.1) ,2,"1,110",2019/2/19,済,3315,京阪プレ－ト,"2,220",2/15森野殿メール,2019/2/15,E3442796,2019/2/27,,,,,"3月6次　C101,C102"
133,2/15,宮木,S50C-90X40X27,S50C 6F  90(±0.1)×40(±0.1)×27(±0.1) ,1,790,2019/2/19,済,3315,京阪プレ－ト,790,2/15森野殿メール,2019/2/15,E3442797,2019/2/27,,,,,4月2次　19DKD034
134,3/1,宮木,SS400-19X100X130,SS400-19(±0.1)X100(±0.1)X130(±0.1),2,"1,180",2019/3/4,済,3315,京阪プレ－ト,"2,360",3/1万代殿メール,2019/3/4,E3463990,2019/3/13,,,,,製作依頼CMR-19035
135,3/12,宮木,S50C-3.5X220X380,S50C 4F  3.5(±0.1)×220(±0.1)×380(±0.1) ,3,"3,950",2019/3/15,済,3315,京阪プレ－ト,"11,850",3/12竹本殿メール,2019/3/13,E3477669,2019/3/25,,,,,5/6次E026E0275/7次E028E029 K-11611
136,3/14,宮木,SK3-6.5X50X390,SK3 4F 6.5(±0.05)X50(±0.1)X390,5,"2,680",2019/3/18,済,3315,京阪プレ－ト,"13,400",3/14万代殿メール,2019/3/15,E3480738,2019/3/27,,,,,PJ-0274606 YCF-127VA 
137,3/14,宮木,S50C-120X390X6.35,S50C 6F 2G 120X390X6.35(-0.005～-0.015),2,"4,630",2019/3/18,済,3315,京阪プレ－ト,"9,260",3/14森野殿メール,2019/3/15,E3480754,2019/3/27,,,,,CMR-19056
138,3/26,宮木,S50C-3.5X220X380,S50C 4F  3.5(±0.1)X220X380,2,"4,630",2019/4/1,済,3315,京阪プレ－ト,"9,260",3/26竹本殿メール,2019/3/27,E3497602,2019/4/5,,,,,Ｋ－１１６１１用のストック品 192個
139,4/11,宮木,SK3-16.7X55X120,SK3 6F 16.7(±0.01)X55(±0.1)X120(±0.01),3,"1,550",2019/4/13,済,3315,京阪プレ－ト,"4,650",4/11万代殿メール,2019/4/11,E3520558,2019/4/19,,,,,YCF-140DD
140,4/15,宮木,S50C-20X130X200,S50C 6F  20(±0.1)×130(±0.1)×200(±0.1) ,3,"1,970",2019/4/16,済,3315,京阪プレ－ト,"5,910",4/15万代殿メール,2019/4/15,E3523771,2019/4/24,,,,,E-26820EA38
141,4/17,宮木,SS400-16X78X129,SS400 6F  16(±0.1)×78(±0.1)×129(±0.1) ,10,960,2019/4/18,済,3315,京阪プレ－ト,"9,600",4/17阪本殿メール,2019/4/17,E3528549,2019/4/26,,,,,5月7次、KS91-00829CA6月5次、KF20-01312KD6月7次、KF20-01310DB
142,4/17,宮木,SS400-12X18X32,SS400 6F  12(±0.1)×18(±0.1)×32(±0.1) ,20,510,2019/4/18,済,3315,京阪プレ－ト,"10,200",4/17阪本殿メール,2019/4/17,E3528550,2019/4/26,,,,,5月7次、KS91-00829CA6月5次、KF20-01312KD6月7次、KF20-01310DB
143,4/17,宮木,S50C-32X150X300,S50C 6F  32(±0.1)×150(±0.1)×300(±0.1) ,2,"4,810",2019/4/18,済,3315,京阪プレ－ト,"9,620",4/17阪本殿メール,2019/4/17,E3528551,2019/4/26,,,,,5月7次、KS91-00829CA6月5次、KF20-01312KD6月7次、KF20-01310DB
144,4/19,宮木,SS400-14X14X155,SS400 6F  14(±0.1)×14(±0.1)×155(±0.1) ,2,810,2019/4/22,済,3315,京阪プレ－ト,"1,620",4/19阪本殿メール,2019/4/19,E3532268,2019/4/26,,,,,部品注文K-25046EA
145,4/19,宮木,SS400-14X30X52,SS400 6F  14(±0.1)×30(±0.1)×52(±0.1) ,2,600,2019/4/22,済,3315,京阪プレ－ト,"1,200",4/19阪本殿メール,2019/4/19,E3532269,2019/4/26,,,,,部品注文K-25046FA
146,4/22,宮木,SS400-44X92X6,SS400 6F  44(±0.1)×92(±0.1)×6(±0.1) ,2,630,2019/4/24,済,3315,京阪プレ－ト,"1,260",4/22森野殿メール,2019/4/23,E3535433,2019/4/26,,,,,CMR-19102
147,4/22,宮木,SS400-100X100X6,SS400 6F  100×100×6(±0.1) ,1,760,2019/4/24,済,3315,京阪プレ－ト,760,4/22森野殿メール,2019/4/23,E3535434,2019/4/26,,,,,CMR-19102
148,4/25,宮木,SS400-14X30X52,SS400? 14X30X52　6F 2-C4,2,600,2019/5/8,済,3315,京阪プレート,"1,200",4/25植木殿メール,2019/4/25,E3538802,2019/5/13,,,,,CMR-19102
149,4/25,宮木,SS400-14X14X155,SS400  14X14X155  6F 2-C4,2,820,2019/5/8,済,3315,京阪プレート,"1,640",4/25植木殿メール,2019/4/25,E3538803,2019/5/13,,,,,CMR-19102
150,4/25,宮木,SS400-6X44X92,SS400   6X44X92  6F,2,630,2019/5/8,済,3315,京阪プレート,"1,260",4/25植木殿メール,2019/4/25,E3538804,2019/5/13,,,,,CMR-19102
151,4/25,宮木,S45C-7.5X50X390,S45C  　7.5X50X390  6F,1,"1,670",2019/5/8,済,3315,京阪プレート,"1,670",4/25植木殿メール,2019/4/25,E3538805,2019/5/13,,,,,CMR-19105
152,4/25,宮木,SS400-9X60X44,SS400  9X60X44  6F,1,560,2019/5/8,済,3315,京阪プレート,560,4/25植木殿メール,2019/4/25,E3538806,2019/5/13,,,,,CMR-19105
153,4/25,宮木,SS400-9X22X25,SS400  9X22X25  6F,1,600,2019/5/8,済,3315,京阪プレート,600,4/25植木殿メール,2019/4/25,E3538807,2019/5/13,,,,,CMR-19105
154,4/25,宮木,SS400-12X14X14,SS400  12X14X14  6F,1,610,2019/5/8,済,3315,京阪プレート,610,4/25植木殿メール,2019/4/25,E3538808,2019/5/13,,,,,CMR-19105
155,4/25,宮木,S45C-13.2X40X390,S45C  　13.2X40X390  6F,1,"1,610",2019/5/8,済,3315,京阪プレート,"1,610",4/25植木殿メール,2019/4/25,E3538810,2019/5/13,,,,,CMR-19105
156,5/7,宮木,S45C-32X120X200,S45C-32X120X200 6F,2,"2,950",2019/5/13,済,3315,京阪プレート,"5,900",4/26植木殿メール,2019/5/13,E3550779,2019/5/24,,,,,部品注文PE-2250904 PE-2250905　　E3542217キャンセル
157,5/7,宮木,SKD11-20X30X40,SKD11-20X30X40 6F,6,"1,090",2019/5/7,済,3315,京阪プレート,"6,540",4/26植木殿メール,2019/5/7,E3542218,2019/5/13,,,,,部品注文PE-2250904 PE-2250905
158,5/7,宮木,SS400-12.5X14X70,SS400-12.5X14X70 6F,28,530,2019/5/7,済,3315,京阪プレート,"14,840",4/26植木殿メール,2019/5/7,E3542219,2019/5/13,,,,,部品注文E000039926
159,5/17,宮木,SS400-12.5X14X70 ,SS400-12.5X14X70 6F,28,530,2019/5/22,済,3315,京阪プレート,"14,840",5/17植木殿メール,2019/5/20,E3560802,2019/5/28,,,,,部品注文PE-2250505
160,5/17,宮木,FC250-10.2X110X310,FC250-10.2X110X310 2F,7,"3,870",2019/5/23,済,3315,京阪プレート,"27,090",5/17植木殿メール,2019/5/20,E3560803,2019/5/28,,,,,7/6次19SKG101
161,5/30,宮木,SS400-16X32X210,SS400-16X32X210 6F,1,810,2019/6/4,済,3315,京阪プレート,810,5/30植木殿メール,2019/6/4,E3577750,2019/6/14,,,,,部品注文E000039922
162,5/30,宮木,SS400-32X32X100,SS400-32X32X100 (±0.05)  6F,2,800,2019/6/3,済,3315,京阪プレート,"1,600",5/30植木殿メール,2019/6/4,E3577751,2019/6/14,,,,,部品注文E000039925
163,5/30,宮木,SS400-9X150X200,SS400-9X150X200 6F,1,"1,380",2019/6/3,済,3315,京阪プレート,"1,380",5/30植木殿メール,2019/6/4,E3577752,2019/6/14,,,,,部品注文CMR-19100
164,5/30,宮木,SS400-12X16X53,SS400-12X16X53 6F,2,590,2019/6/3,済,3315,京阪プレート,"1,180",5/30植木殿メール,2019/6/4,E3577753,2019/6/14,,,,,部品注文CMR-19100
165,6/6,宮木,S50C-22X124X360,S50C-22X124X360 6F,1,"3,890",2019/6/10,済,3315,京阪プレート,"3,890",6/6植木殿メール,2019/6/7,E3583121,2019/6/14,,,,,部品注文PM-4779906
166,6/6,宮木,SKD11-20X65X400,SKD11-20X65X400 6F,6,"7,140",2019/6/10,済,3315,京阪プレート,"42,840",6/6植木殿メール,2019/6/7,E3583122,2019/6/14,,,,,"7/7次　G047,G048,G049,G050"
167,6/6,宮木,S50C-20X30X40,S50C-20X30X40 6F,3,570,2019/6/10,済,3315,京阪プレート,"1,710",6/6植木殿メール,2019/6/7,E3583123,2019/6/14,,,,,部品注文：PM-4779906
168,6/6,宮木,FC250-30X50X100,FC250-30X50X100 6F,1,"1,510",2019/6/10,済,3315,京阪プレート,"1,510",6/6植木殿メール,2019/6/7,E3583124,2019/6/14,,,,,部品注文：PE-2256306
169,6/6,宮木,SS400-5X50X100,SS400-5X50X100 6F,4,670,2019/6/10,済,3315,京阪プレート,"2,680",6/6植木殿メール,2019/6/7,E3583125,2019/6/14,,,,,部品注文：CMR-19092
170,6/6,宮木,S55C-4X50X100,S55C-4X50X100 6F,7,660,2019/6/10,済,3315,京阪プレート,"4,620",6/6植木殿メール,2019/6/7,E3583126,2019/6/14,,,,,部品注文：CMR-19092
171,6/20,宮木,S50C-6.35X120X390,S50C-6.35(0.-0.01)X120X390  6F,1,"4,820",2019/6/24,済,3315,京阪プレート,"4,820",6/20植木殿メール,2019/6/20,E3599057,2019/6/26,,,,,部品注文：PM-4778820
172,6/20,宮木,FC250-30X50X100,FC250-30X50X100 6F,1,"1,580",2019/6/24,済,3315,京阪プレート,"1,580",6/20植木殿メール,2019/6/20,E3599058,2019/6/26,,,,,部品注文:PE-2257206
173,6/20,宮木,SS400-9X120X127,SS400-9X120X127 6F,2,"1,010",2019/6/24,済,3315,京阪プレート,"2,020",6/20植木殿メール,2019/6/20,E3599059,2019/6/26,,,,,8/6次
174,6/20,宮木,S45C-20X130X200,S45C-20X130X200 6F,3,"2,050",2019/6/24,済,3315,京阪プレート,"6,150",6/20植木殿メール,2019/6/20,E3599060,2019/6/26,,,,,8/3次　19DKH007
175,6/20,宮木,S45C-12.2X40X390,S45C-12.2X40X390 6F,1,"1,680",2019/6/24,済,3315,京阪プレート,"1,680",6/20植木殿メール,2019/6/20,E3599061,2019/6/26,,,,,部品注文:CMR-19139
176,6/28,宮木,SS400-14X30X52,SS400-14X30X52  6F,1,620,2019/7/2,済,3315,京阪プレート,620,6/28植木殿メール,2019/6/28,E3606151,2019/7/8,CMR-19158,K-25046EA,1 ,1 ,製作依頼
177,6/28,宮木,SS400-14X14X155,SS400-14X14X155 6F,1,850,2019/7/2,済,3315,京阪プレート,850,6/28植木殿メール,2019/6/28,E3606152,2019/7/8,CMR-19158,K-25046FA,1 ,1 ,製作依頼
178,6/28,宮木,SS400-6X44X92,SS400-6X44X92 6F,1,650,2019/7/2,済,3315,京阪プレート,650,6/28植木殿メール,2019/6/28,E3606153,2019/7/8,CMR-19158,K-25058AA,1 ,1 ,製作依頼
179,7/1,宮木,S50C-6.35X120X390,S50C-6.35(0.-0.01)X120X390  6F,1,"4,820",2019/7/4,済,3315,京阪プレート,"4,820",7/1植木殿メール,2019/7/1,E3607583,2019/7/11,PM-4778820,582-503C,1 ,1 ,部品注文
180,7/2,宮木,SK3-10X40X390,SK3-10(±0.1)X40(±0.1)X390 4F,3,"3,150",2019/7/4,済,3315,京阪プレート,"9,450",7/2万代殿メール,2019/7/3,E3610517,2019/7/11,PE-2261516,YS65-06601BB,1 ,1 ,部品注文
181,7/8,宮木,FC250-10.2X110X310,FC250-10.2(+0.1-0)X110X310 2F,7,"4,030",2019/7/12,済,3315,京阪プレート,"28,210",7/8植木殿メール,2019/7/9,E3615040,2019/7/19,19SKG101,3538-601EA14,7 ,1 ,ブロック　７個必要
182,7/16,植木,SS400-14X17X68.5,SS400-14X17X68.5 6F,43,500,2019/7/19,済,3315,京阪プレート,"21,500",7/16植木殿メール,2019/7/16,E3622092,2019/7/24,"19DKH014,19DKH015",K-30404VA34,1 ,1 ,製作依頼：４０個、予備：３個
183,7/24,阪本,A6063-60x200,A6063-Φ60x200,1,"2,068",2019/7/25,済,1136,白銅（株）,"2,068",7/24阪本殿メール,2019/7/25,E3633713,2019/7/30,DC-4001CA,DC-4001CA,3 ,1 ,試作
184,7/24,万代,SS400-12X14X68.5,SS400-12X14X68.5 6F,170,480,2019/7/29,済,3315,京阪プレート,"81,600",7/24万代殿メール,2019/7/25,E3633716,2019/7/30,,,,,
185,7/25,万代,SK3-5.2X45X390,SK3-5.2X45X390 4F,2,"2,460",2019/8/1,済,3315,京阪プレート,"4,920",7/26万代殿メール,2019/7/29,E3635394,2019/8/9,10/8次　19DKK001,YCF-154KC,14 ,1 ,
186,7/25,万代,SK3-6.5X40X390,SK3-6.5X40X390 4F,2,"2,680",2019/8/1,済,3315,京阪プレート,"5,360",7/26万代殿メール,2019/7/29,E3635395,2019/8/9,PJ-0301001,YCF-117C,17 ,1 ,部品注文
187,7/29,植木,SS400-16X78X129,SS400-16X78X129 6F,10,"1,000",2019/8/1,済,3315,京阪プレート,"10,000",7/29植木殿メール,2019/7/29,E3635444,2019/8/9,,KF20-01312KD,1 ,1 ,在庫分
188,8/9,阪本,S50C-32X150X300,S50C-32X150X300 6F,2,"5,010",2019/8/13,済,3315,京阪プレート,"10,020",8/9阪本殿メール,2019/8/9,E3651022,2019/8/26,"9/7次 19SKJ103～106、9/8次 19SKJ141,142",KS91-00829CA,2 ,1 ,
189,8/19,植木,SS400-12X38X38,SS400-12(-0.05-0.15)X38X38 6F,5,540,2019/8/22,済,3315,京阪プレート,"2,700",8/19植木殿メール,2019/8/19,E3659524,2019/8/27,PS-0005801,KD91-03102AA,1 ,1 ,
190,8/19,植木,SS400-13X75X32,SS400-13(-0.05-0.15)X75X32 6F,5,570,2019/8/22,済,3315,京阪プレート,"2,850",8/19植木殿メール,2019/8/19,E3659525,2019/8/27,PS-0005801,KD91-03103AA,1 ,1 ,
191,8/19,植木,SS400-12X75X75,SS400-12X75X75 6F,5,680,2019/8/22,済,3315,京阪プレート,"3,400",8/19植木殿メール,2019/8/19,E3659526,2019/8/27,PS-0005801,KD91-03101AA,1 ,1 ,
192,8/19,植木,SS400-10X50X110,SS400-10X50X110 6F,4,730,2019/8/22,済,3315,京阪プレート,"2,920",8/19植木殿メール,2019/8/19,E3659527,2019/8/27,9/4次　19DKJ003,SPL-2718EB,1 ,1 ,
193,8/19,植木,SS400-14X10X20,SS400-14X10X20 6F,4,630,2019/8/22,済,3315,京阪プレート,"2,520",8/19植木殿メール,2019/8/19,E3659528,2019/8/27,9/4次　19DKJ003,SPL-2718FB,1 ,1 ,
194,8/19,植木,FC250-30X50X100,FC250-30X50X100 6F,2,"1,580",2019/8/22,済,3315,京阪プレート,"3,160",8/19植木殿メール,2019/8/19,E3659529,2019/8/27,"9/8次　19SKJ141,142",KS91-03401DA,1 ,1 ,
195,8/19,植木,FC200-22X54X60,FC200-22X54X60 6F 3X4-C2,20,"1,190",2019/8/22,済,3315,京阪プレート,"23,800",8/19植木殿メール,2019/8/19,E3659530,2019/8/27,9/6次　19SKJ108，19SKJ109，9/8次19SKJ147　,2188-236AA,1 ,1 ,
196,8/21,植木,FC250-10.2X110X310,FC250-10.2(+0.1-0)X110X310 2F,18,"3,950",2019/8/27,済,3315,京阪プレート,"71,100",8/21植木殿メール,2019/8/22,E3664676,2019/8/27,"19SKJ125,126",4305-601EA14,7 ,1 ,2台分：ブロック14個、予備：4個
197,8/22,植木,SS400-38X65X182,SS400-38X65X182 6F,2,"1,890",2019/8/26,済,3315,京阪プレート,"3,780",8/22植木殿メール,2019/8/23,E3666516,2019/8/30,9/8次　19SKJ102　社内塗装有,SPL-2498AA,1 ,1 ,
198,8/23,万代,SK3-6X50X390,SK3-6X50X390 4F,5,"2,610",2019/8/26,済,3315,京阪プレート,"13,050",8/23万代殿メール,2019/8/23,E3666517,2019/8/30,CMR-19194,TS-5342AA,1 ,15 ,製作依頼：32個
199,8/23,万代,SK3-8X50X390,SK3-8X50X390 4F,5,"3,010",2019/8/26,済,3315,京阪プレート,"15,050",8/23万代殿メール,2019/8/23,E3666518,2019/8/30,PE-2267001,YCM-160FA,1 ,4 ,必要数：50個
200,8/26,植木,SS400-14X14X68,SS400-14X14X68 6F,10,560,2019/8/28,済,3315,京阪プレート,"5,600",8/26植木殿メール,2019/8/27,E3670180,2019/8/30,PJ-0305501,K-30404FA,1 ,1 ,
201,8/30,阪本,SKD11-23X200X200,SKD11 6F  23(±0.1)×200(±0.1)×200(±0.1) ,2,"9,870",2019/9/2,済,3315,京阪プレート,"19,740",8/30阪本殿メール,2019/8/30,E3676899,2019/9/9,"9/8次 KS64-01908JA,-01919MA,01920GA","KS64-01908JA,-01919MA,01920GA",5 ,1 ,必要数：各2個
202,8/30,植木,FC250-30X50X100,FC250-30X50X100 6F,2,"1,580",2019/9/2,済,3315,京阪プレート,"3,160",8/30植木殿メール,2019/8/30,E3676900,2019/9/9,PF-9308613,KS91-03401DA,1 ,1 ,
203,8/30,植木,S50C-10X180X200,S50C-10X180X200 6F 4-C5,1,"1,910",2019/9/2,済,3315,京阪プレート,"1,910",8/30植木殿メール,2019/8/30,E3676901,2019/9/9,PE-2268601,KD91-02801AB,1 ,1 ,
204,8/30,植木,S50C-3X46X180,S50C-3X46X180 6F,1,900,2019/9/2,済,3315,京阪プレート,900,8/30植木殿メール,2019/8/30,E3676902,2019/9/9,PE-2268601,KD91-02801BB38,1 ,1 ,
205,8/30,植木,SS400-12X29X36,"SS400-12X29(0,-0.2)X36 6F",1,590,2019/9/2,済,3315,京阪プレート,590,8/30植木殿メール,2019/8/30,E3676903,2019/9/9,CMR-19184,K-19226AA,1 ,1 ,
206,9/9,万代,SS400-14.5X24X44.5,SS400-14.5(±0.1)X24(±0.1)X44.5(±0.1),8,580,2019/9/10,済,3315,京阪プレート,"4,640",9/9万代殿メール,2019/9/9,E3688609,2019/9/18,PE-2270903 ,3139-643BA,1 ,1 ,
207,9/12,植木,SS400-16X32X150,SS400-16X32X150 6F 2-C5,2,780,2019/9/17,済,3315,京阪プレート,"1,560",9/13植木殿メール,2019/9/13,E3697783,2019/9/25,9/8次　19SKJ102,SPL-2405EC,1 ,1 ,
208,9/12,植木,SS400-16X50X57,SS400-16X50X57 6F 2-C5,2,660,2019/9/17,済,3315,京阪プレート,"1,320",9/13植木殿メール,2019/9/13,E3697784,2019/9/25,9/8次　19SKJ102,SPL-2405HA,1 ,1 ,
209,9/12,植木,SS400-16X40X75,SS400-16X40X75 6F 2-C3,2,660,2019/9/17,済,3315,京阪プレート,"1,320",9/13植木殿メール,2019/9/13,E3697785,2019/9/25,9/8次　19SKJ102,SPL-2405FC,1 ,1 ,
210,9/12,植木,S45C-22X50X63,S45C-22X50X63 6F 8-C0.5,1,740,2019/9/17,済,3315,京阪プレート,740,9/13植木殿メール,2019/9/13,E3697786,2019/9/25,PZ001510,TS-5309KA,1 ,1 ,
211,9/12,植木,S45C-8X41X50,S45C-8X41X50 6F,1,550,2019/9/17,済,3315,京阪プレート,550,9/13植木殿メール,2019/9/13,E3697787,2019/9/25,PZ001510,TS-5309LA,1 ,1 ,
212,9/12,植木,S45C-8X8X14,S45C-8X8X14 6F,2,850,2019/9/17,済,3315,京阪プレート,"1,700",9/13植木殿メール,2019/9/13,E3697791,2019/9/25,PZ001510,TS-5309NA,1 ,1 ,
213,9/13,万代,SS400-27X120X160,SS400-27(±0.05)X120X160,1,"1,710",2019/9/17,済,3315,京阪プレート,"1,710",9/13万代殿メール,2019/9/13,E3697789,2019/9/25,CMR-19184,100-226EA,1 ,2 ,製作依頼：1個
214,9/26,植木,SS400-12X38X38,SS400-12(-0.05-0.15)X38X38 6F,1,560,2019/10/1,済,3315,京阪プレート,560,9/26植木殿メール,2019/9/26,E3712360,2019/10/8,部品注文PE-2271321,KD91-03102AA,1 ,1 ,
215,9/26,植木,SS400-13X32X75,SS400-13(-0.05-0.15)X32X75 6F,1,590,2019/10/1,済,3315,京阪プレート,590,9/26植木殿メール,2019/9/26,E3712361,2019/10/8,部品注文PE-2271321,KD91-03103AA,1 ,1 ,
216,9/26,植木,SS400-12X75X75,SS400-12X75X75 6F,1,700,2019/10/1,済,3315,京阪プレート,700,9/26植木殿メール,2019/9/26,E3712362,2019/10/8,部品注文PE-2271321,KD91-03101AA,1 ,1 ,
217,9/26,植木,S50C-12.2X40X390,S50C-12.2X40X390 6F,6,"1,630",2019/10/1,済,3315,京阪プレート,"9,780",9/26植木殿メール,2019/9/26,E3712363,2019/10/8,10/8次　19DKK029,KD63-00502DA,1 ,15 ,製作依頼:85個　1枚で約15個どり
218,9/26,植木,S50C-7.5X50X390,S50C-7.5X50X390 6F,4,"1,740",2019/10/1,済,3315,京阪プレート,"6,960",9/26植木殿メール,2019/9/26,E3712364,2019/10/8,10/8次　19DKK029,KD65-00504AA,1 ,22 ,製作依頼:85個　1枚で約22個どり
219,9/26,植木,SS400-19X22X62.5,SS400-19X22X62.5 6F 1-C1,4,610,2019/10/1,済,3315,京阪プレート,"2,440",9/26植木殿メール,2019/9/26,E3712365,2019/10/8,10/8次　19DKK029,478-643BA,1 ,1 ,
220,9/26,植木,SKD11-20X65X400,SKD11-20X65X400 6F,5,"7,260",2019/10/1,済,3315,京阪プレート,"36,300",9/26植木殿メール,2019/9/26,E3712366,2019/10/8,"11/6次　19DKL009,010,011",1151-420AA48,1 ,5 ,製作依頼:18個　1枚で約4個どり
