No,完成部番,単位数分子,単位数分母,前工程
4,1751-406CB18,1.0,1.0,MA-1751-406CB18
4,1751-406CB21,1.0,1.0,MA-1751-406CB21
5,6211-409AA340,1.0,1.0,MA-5516-409AA34-S
4,130-407AA13,1.0,1.0,MA-130-407AA13
4,1355-414AA,1.0,1.0,MA-1355-414AA
6,1355-417AB24,1.0,3.0,MA-1355-417AB24-DRUM
4,5521-601AB19,1.0,1.0,MA-1355-601BA19
3,12Q-411KA36,1.0,1.0,MA-12Q-411BA36
5,130-501BA14,1.0,1.0,MA-130-501BA14
5,1355-402AA24,1.0,1.0,MA-1355-402AA24
5,1355-403CB24,1.0,1.0,MA-1355-403CB24
5,1355-440AA24,1.0,1.0,MA-1355-440AA24
5,201-502BA13,1.0,1.0,MA-201-502BA13
5,3154-409AB190,1.0,4.0,MA-3154-409AA19-S
5,3154-409AB220,1.0,4.0,MA-3154-409AA22-S
5,335-409EA300,1.0,1.0,MA-478-409BA30-S
5,3154-405AA190,1.0,1.0,MA-81-405FA19
5,3154-405AA220,1.0,1.0,MA-81-405FA22
5,3154-410AA190,1.0,1.0,MA-970-41019-S
5,3154-410AA220,1.0,1.0,MA-970-41022-S
6,1531-103BA24,1.0,1.0,MA-1531-103BA24
6,1531-102DA,1.0,1.0,MA-1531-102AA
6,1531-102EB,1.0,1.0,MA-1531-102BA
6,KF30-00901AA,1.0,1.0,MA-KF30-00901AA
6,1355-404BA,1.0,1.0,MA-1355-404BA
5,K-13801D,1.0,1.0,MA-K-13801D
4,5154-501AA36,1.0,1.0,MA-161-501QA36
4,474-601AB34,1.0,1.0,MA-165-601BA34
4,5154-601AA36,1.0,1.0,MA-165-601BA38
4,6214-501BA34,1.0,1.0,MA-5500-501EB34
4,5533-501AA34,1.0,1.0,MA-5529-501CA34
4,5517-501CA34,1.0,1.0,MA-5529-501CA34
4,6104-601AA34,1.0,1.0,MA-6104-601AA34
3,161-406RE34,1.0,1.0,MA-161-406RE34
5,SPL-1522GAA,1.0,1.0,MA-1751-404AA
5,265-409330,1.0,1.0,MA-220-40933-S
5,259-405A260,1.0,1.0,MA-259-405A26-S
5,78-405GA420,1.0,1.0,MA-328-405AA42-S
5,274-405AB300,1.0,1.0,MA-335-405AA30-S
5,335-405AA330,1.0,1.0,MA-335-405AA33-S
5,335-405BA330,1.0,1.0,MA-335-405AA33-S
5,355-405330,1.0,1.0,MA-335-405AA33-S
5,274-405AB340,1.0,1.0,MA-335-405AA34-S
5,6207-405AA340,1.0,1.0,MA-335-405AA34-S
5,274-405AB380,1.0,1.0,MA-335-405AA38-S
5,274-405BA380,1.0,1.0,MA-335-405AA38-S
5,274-405CA420,1.0,1.0,MA-335-405AA42-S
5,478-409KA420,1.0,1.0,MA-339-409AA42-S
5,5157-502EA30,1.0,1.0,MA-474-502AA30
5,335-409AA340,1.0,1.0,MA-478-409AA34-S
5,478-409AA340,1.0,1.0,MA-478-409AA34-S
5,5610-409AA340,1.0,1.0,MA-478-409AA34-S
5,478-409AA360,1.0,1.0,MA-478-409AA36-S
5,478-409AA400,1.0,1.0,MA-478-409AA40-S
5,5121-409CA400,1.0,1.0,MA-478-409AA40-S
5,478-409EA330,1.0,1.0,MA-478-409BA33-S
5,478-409EA340,1.0,1.0,MA-478-409BA34-S
5,478-409EA380,1.0,1.0,MA-478-409BA38-S
5,5168-502AA33,1.0,1.0,MA-5163-502AA33
5,6104-409AA300,1.0,1.0,MA-5516-409AA30-S
5,6207-409AA340,1.0,1.0,MA-5516-409AA34-S
5,6104-409AA380,1.0,1.0,MA-5516-409AA38-S
5,5541-502AB38,1.0,1.0,MA-5517-502AA38
5,57-405B300,1.0,1.0,MA-57-40530-S
5,57-405B360,1.0,1.0,MA-57-40536-S
5,57-405B400,1.0,1.0,MA-57-40540-S
5,57-409D300,1.0,1.0,MA-57-40930-S
5,76-409E330,1.0,1.0,MA-57-40933-S
5,57-409D360,1.0,1.0,MA-57-40936-S
5,59-409DA260,1.0,1.0,MA-59-40926-S
5,6104-409CA380,1.0,1.0,MA-6104-409CA38-S
5,3538-652AA34,1.0,1.0,MA-720-65234-DRUM
5,3550-652AA34,1.0,1.0,MA-720-65234-DRUM
5,73-409E300,1.0,1.0,MA-73-40930-S
5,740-409FA260,1.0,5.0,MA-740-40926-S
5,81-409B260,1.0,5.0,MA-740-40926-S
5,740-409FA300,1.0,5.0,MA-740-40930-S
5,740-409HA300,1.0,5.0,MA-740-40930-S
5,740-409FA320,1.0,5.0,MA-740-40932-S
5,740-409FA340,1.0,5.0,MA-740-40934-S
5,740-409FA380,1.0,5.0,MA-740-40938-S
5,78-405300,1.0,1.0,MA-78-40531-S
5,78-405A300,1.0,1.0,MA-78-40531-S
5,78-405330,1.0,1.0,MA-78-40533-S
5,78-405A330,1.0,1.0,MA-78-40533-S
5,78-405EA330,1.0,1.0,MA-78-40533-S
5,78-405A340,1.0,1.0,MA-78-40534-S
5,78-405EA340,1.0,1.0,MA-78-40534-S
5,78-405A360,1.0,1.0,MA-78-40536-S
5,78-405A380,1.0,1.0,MA-78-40538-S
5,78-405EA380,1.0,1.0,MA-78-40538-S
5,78-405A400,1.0,1.0,MA-78-40540-S
5,335-409AA300,1.0,1.0,MA-79-409B30-S
5,478-409AA300,1.0,1.0,MA-79-409B30-S
5,279-409A330,1.0,1.0,MA-79-409B33-S
5,279-409BA330,1.0,1.0,MA-79-409B33-S
5,335-409AA330,1.0,1.0,MA-79-409B33-S
5,335-409AA380,1.0,1.0,MA-79-409B38-S
