H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,460,CAM HOLDER,F000115454,5518-502CA34,2025069,C06-01,M-LEC4BT,34,18,AKH KNITTING AND DYEING LTD( BANGLADESH),,0,20250401
R,460,CAM HOLDER,F000115456,5518-502CA34,2025069,C06-02,M-LEC4BT,34,18,AKH KNITTING AND DYEING LTD( BANGLADESH),,0,20250401
R,460,CAM HOLDER,F000115485,5173-502EC30,2025071,G001,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115516,5173-502EC30,2025071,G002,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115547,5173-502EC30,2025071,G003,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115578,5173-502EC30,2025071,G004,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115609,5173-502EC30,2025071,G005,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115640,5173-502EC34,2025071,G021,OD6B-M-8ERS,34,24,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115671,5173-502EC34,2025071,G022,OD6B-M-8ERS,34,24,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115702,5173-502EC34,2025071,G023,OD6B-M-8ERS,34,24,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115733,5173-502EC34,2025071,G024,OD6B-M-8ERS,34,24,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115764,5173-502EC34,2025071,G025,OD6B-M-8ERS,34,24,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115795,5173-502EC30,2025072,G006,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115826,5173-502EC30,2025072,G007,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115857,5173-502EC30,2025072,G008,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115888,5173-502EC30,2025072,G009,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115919,5173-502EC30,2025072,G010,OD6B-M-8ERS,30,28,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115950,5173-502EC34,2025072,G026,OD6B-M-8ERS,34,24,寧波申洲針織品有限公司,,0,20250401
R,460,CAM HOLDER,F000115981,5173-502EC34,2025072,G027,OD6B-M-8ERS,34,24,寧波申洲針織品有限公司,,0,20250401
