H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,460,CAM HOLDER,F000123289,5154-502AA30,2025108,K045,M-9ME22,30,28,ＡＮＴＥＸ ＫＮＩＴＴＩＮＧ  ＭＩＬＬＳ,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123311,5154-502AA30,2025108,K046,M-9ME22,30,28,ＡＮＴＥＸ ＫＮＩＴＴＩＮＧ  ＭＩＬＬＳ,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123333,5154-502AA30,2025108,K047,M-9ME22,30,28,ＡＮＴＥＸ ＫＮＩＴＴＩＮＧ  ＭＩＬＬＳ,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123355,5154-502AA30,2025108,K048,M-9ME22,30,28,ＡＮＴＥＸ ＫＮＩＴＴＩＮＧ  ＭＩＬＬＳ,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123366,3164-502AB34,2025108,K118,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123375,3164-502AB34,2025108,K119,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123384,3164-502AB34,2025108,K120,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123393,3164-502AB34,2025108,K121,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123402,3164-502AB34,2025108,K122,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,0,20250726
R,460,CAM HOLDER,F000123411,3164-502AB34,2025108,K123,OD7-M2XC-A3.2RE,34,28,,無電解ニッケルメッキ,0,20250726
