H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,440,CAM HOLDER,F000100308,3164-502AB32,2024121,M106,M2XC-S3.2DFDRE,32,20,ＡＬＧＯＤＯＮＥＲＡ ＤＥＬ  ＶＡＬＬＥ ＳＡ,無電解ニッケルメッキ,2,20241119
R,440,CAM HOLDER,F000100326,3164-502AB32,2024121,M107,M2XC-S3.2DFDRE,32,20,ＡＬＧＯＤＯＮＥＲＡ ＤＥＬ  ＶＡＬＬＥ ＳＡ,無電解ニッケルメッキ,2,20241119
R,440,CAM HOLDER,F000100344,3164-502AB32,2024121,M108,M2XC-S3.2DFDRE,32,20,ＡＬＧＯＤＯＮＥＲＡ ＤＥＬ  ＶＡＬＬＥ ＳＡ,無電解ニッケルメッキ,2,20241119
R,440,CAM HOLDER,F000100361,3151-502LA30,2024121,M109,M2XC-E5RE-3,30,22,ＡＬＧＯＤＯＮＥＲＡ ＤＥＬ  ＶＡＬＬＥ ＳＡ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100379,3151-502LA30,2024121,M110,M2XC-E5RE-3,30,22,ＡＬＧＯＤＯＮＥＲＡ ＤＥＬ  ＶＡＬＬＥ ＳＡ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100397,3151-502LA30,2024121,M111,M2XC-E5RE-3,30,22,ＡＬＧＯＤＯＮＥＲＡ ＤＥＬ  ＶＡＬＬＥ ＳＡ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100422,582-502FA30,2024123,M101,M2XC-4S(4),30,60,ミツカワ（株）,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100423,582-502ZA30,2024123,M101,M2XC-4S(4),30,60,ミツカワ（株）,無電解ニッケルメッキ,2,20241119
R,440,CAM HOLDER,F000100448,3164-502EB30,2024125,M102,M2XC-A3.2RE,30,44,PETTENATI IND.TEXTIL S.A.(BRASIL),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100466,3164-502EB30,2024125,M103,M2XC-A3.2RE,30,44,PETTENATI IND.TEXTIL S.A.(BRASIL),無電解ニッケルメッキ,1,20241119
