H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,460,CAM HOLDER,F000123581,5154-502EA34,2025111,L031,OD5B-M-9ME42,34,22,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000123604,5154-502EA34,2025111,L032,OD5B-M-9ME42,34,22,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000123627,5154-502EA34,2025111,L033,OD5B-M-9ME42,34,22,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000123650,5154-502EA34,2025111,L034,OD5B-M-9ME42,34,22,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000123679,5176-502EB30,2025112,L001,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123709,5176-502EB30,2025112,L002,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123739,5176-502EB30,2025112,L003,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123769,5176-502EB30,2025112,L004,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123799,5176-502EB30,2025112,L005,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123808,5165-502EA36,2025112,L035,M-6ER42,36,18,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000123816,5165-502EA36,2025112,L036,M-6ER42,36,18,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000123861,5173-502EC30,2025113,L021,OD6B-M-8ERS,30,28,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123891,5173-502EC30,2025113,L022,OD6B-M-8ERS,30,28,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123921,5173-502EC30,2025113,L023,OD6B-M-8ERS,30,28,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123951,5173-502EC30,2025113,L024,OD6B-M-8ERS,30,28,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123981,5173-502EC30,2025113,L025,OD6B-M-8ERS,30,28,GLOBAL HANTEX,,1,20250802
R,460,CAM HOLDER,F000123999,3164-502EB32,2025113,L109,M2XC-S3.2DFDRE,32,20,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000124017,3164-502EB32,2025113,L110,M2XC-S3.2DFDRE,32,20,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000124035,3164-502EB32,2025113,L111,M2XC-S3.2DFDRE,32,20,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000124053,3164-502EB32,2025113,L112,M2XC-S3.2DFDRE,32,20,IND KUMASCILIK,無電解ニッケルメッキ,1,20250802
R,460,CAM HOLDER,F000124090,5176-502EB30,2025114,L006,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20250802
