H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,460,CAM HOLDER,F000124820,6110-502EB38,2025098,J015,F2-LEC6DS33,38,28,テスト,無電解ニッケルメッキ,1,20250805
R,460,CAM HOLDER,F000124843,3650-502GA30,2025108,K124,OD6-M-SEC4CFY,30,24,GLOBAL HANTEX,,1,20250805
R,460,CAM HOLDER,F000124864,3164-502EB32,2025111,L101,OD7-M2XC-A3.2RE,32,28,IND KUMASCILIK,無電解ニッケルメッキ,1,20250805
R,460,CAM HOLDER,F000124888,3164-502EB32,2025111,L102,OD7-M2XC-A3.2RE,32,28,IND KUMASCILIK,無電解ニッケルメッキ,1,20250805
R,460,CAM HOLDER,F000124912,3164-502EB32,2025111,L103,OD7-M2XC-A3.2RE,32,28,IND KUMASCILIK,無電解ニッケルメッキ,1,20250805
R,460,CAM HOLDER,F000124936,3164-502EB32,2025111,L104,OD7-M2XC-A3.2RE,32,28,IND KUMASCILIK,無電解ニッケルメッキ,1,20250805
R,460,CAM HOLDER,F000124988,3164-502EB32,2025112,L105,OD7-M2XC-A3.2RE,32,28,IND KUMASCILIK,無電解ニッケルメッキ,1,20250805
R,460,CAM HOLDER,F000125012,3164-502EB32,2025112,L106,OD7-M2XC-A3.2RE,32,28,IND KUMASCILIK,無電解ニッケルメッキ,1,20250805
R,460,CAM HOLDER,F000125036,3164-502EB32,2025112,L107,OD7-M2XC-A3.2RE,32,28,IND KUMASCILIK,無電解ニッケルメッキ,1,20250805
R,460,CAM HOLDER,F000125060,3164-502EB32,2025112,L108,OD7-M2XC-A3.2RE,32,28,IND KUMASCILIK,無電解ニッケルメッキ,1,20250805
