H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,462,BED,F000128003,1551-401FA30,2026011,A001,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128005,5176-502EB30,2026011,A001,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128033,1551-401FA30,2026011,A002,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128035,5176-502EB30,2026011,A002,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128063,1551-401FA30,2026011,A003,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128065,5176-502EB30,2026011,A003,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128093,1551-401FA30,2026011,A004,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128095,5176-502EB30,2026011,A004,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128123,1551-401FA30,2026011,A005,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128125,5176-502EB30,2026011,A005,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128145,478-502AC33,2026012,A039,M-8ME22,33,40,ミツカワ（株）,,1,20251007
R,462,BED,F000128149,1551-401AC30,2026012,A039,M-8ME22,33,40,ミツカワ（株）,,1,20251007
R,460,CAM HOLDER,F000128166,478-502AC33,2026012,A040,M-8ME22,33,40,ミツカワ（株）,,1,20251007
R,462,BED,F000128170,1551-401AC30,2026012,A040,M-8ME22,33,40,ミツカワ（株）,,1,20251007
R,462,BED,F000128201,1551-401FA30,2026013,A006,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128203,5176-502EB30,2026013,A006,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128231,1551-401FA30,2026013,A007,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128233,5176-502EB30,2026013,A007,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128261,1551-401FA30,2026013,A008,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128263,5176-502EB30,2026013,A008,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128291,1551-401FA30,2026013,A009,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128293,5176-502EB30,2026013,A009,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128321,1551-401FA30,2026013,A010,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128323,5176-502EB30,2026013,A010,OD6B-M-7ES,30,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128351,1551-401FA38,2026014,A011,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128353,5176-502EB34,2026014,A011,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128381,1551-401FA38,2026014,A012,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128383,5176-502EB34,2026014,A012,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128411,1551-401FA38,2026014,A013,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128413,5176-502EB34,2026014,A013,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128441,1551-401FA38,2026014,A014,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128443,5176-502EB34,2026014,A014,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128471,1551-401FA38,2026014,A015,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128473,5176-502EB34,2026014,A015,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128481,478-502EC30,2026014,A037,M-8ME22,30,20,帝人フロンティアニッティング㈱ 加賀工場,,1,20251007
R,460,CAM HOLDER,F000128488,478-502EC30,2026014,A038,M-8ME22,30,20,帝人フロンティアニッティング㈱ 加賀工場,,1,20251007
R,462,BED,F000128515,1551-401FA38,2026015,A016,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128517,5176-502EB34,2026015,A016,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128545,1551-401FA38,2026015,A017,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128547,5176-502EB34,2026015,A017,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128575,1551-401FA38,2026015,A018,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128577,5176-502EB34,2026015,A018,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128605,1551-401FA38,2026015,A019,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128607,5176-502EB34,2026015,A019,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128635,1551-401FA38,2026015,A020,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128637,5176-502EB34,2026015,A020,OD6B-M-7ES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128668,1551-401FA38,2026016,A021,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128670,5173-502EA38,2026016,A021,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128698,1551-401FA38,2026016,A022,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128700,5173-502EA38,2026016,A022,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128728,1551-401FA38,2026016,A023,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128730,5173-502EA38,2026016,A023,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128758,1551-401FA38,2026016,A024,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128760,5173-502EA38,2026016,A024,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128788,1551-401FA38,2026016,A025,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128790,5173-502EA38,2026016,A025,OD6B-M-8ERS,38,14,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128803,1551-401AC30,2026016,A036,M-4AL,30,24,カワボウテキスチャ－ド（株）,,1,20251007
R,460,CAM HOLDER,F000128806,5128-502AA30,2026016,A036,M-4AL,30,24,カワボウテキスチャ－ド（株）,,1,20251007
R,462,BED,F000128835,1551-401FA38,2026017,A026,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128837,5179-502EB34,2026017,A026,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128865,1551-401FA38,2026017,A027,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128867,5179-502EB34,2026017,A027,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128895,1551-401FA38,2026017,A028,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128897,5179-502EB34,2026017,A028,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128925,1551-401FA38,2026017,A029,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128927,5179-502EB34,2026017,A029,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128955,1551-401FA38,2026017,A030,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128957,5179-502EB34,2026017,A030,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000128985,1551-401FA38,2026018,A031,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000128987,5179-502EB34,2026018,A031,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000129015,1551-401FA38,2026018,A032,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000129017,5179-502EB34,2026018,A032,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000129045,1551-401FA38,2026018,A033,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,460,CAM HOLDER,F000129047,5179-502EB34,2026018,A033,OD6B-M-8MES,34,32,GLOBAL HANTEX,,1,20251007
R,462,BED,F000129075,1551-401FA38,2026018,A034,OD6B-M-8MES,34,32,GLOBAL HANTEX,,0,20251007
R,460,CAM HOLDER,F000129077,5179-502EB34,2026018,A034,OD6B-M-8MES,34,32,GLOBAL HANTEX,,0,20251007
R,462,BED,F000129105,1551-401FA38,2026018,A035,OD6B-M-8MES,34,32,GLOBAL HANTEX,,0,20251007
R,460,CAM HOLDER,F000129107,5179-502EB34,2026018,A035,OD6B-M-8MES,34,32,GLOBAL HANTEX,,0,20251007
