,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,,,,,,,,
I,6110-502CA38,1,1,MC-RH-0207D-01AA50,1,52,MA-RH-0207D-01AA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/13,,20221219,棒状素材の為、MAのサイズを削除。MAとＭＣの比率を追加　設計確認完成部番とMCの比率は1：1,,,,,,,,
I,6110-502GA38,1,1,MC-RH-0207D-01AA50,1,52,MA-RH-0207D-01AA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/13,,20221219,棒状素材の為、MAのサイズを削除。MAとＭＣの比率を追加　設計確認完成部番とMCの比率は1：1,,,,,,,,
I,6110-502JA38,1,1,MC-RH-0207D-01AA50,1,52,MA-RH-0207D-01AA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/13,,20221219,棒状素材の為、MAのサイズを削除。MAとＭＣの比率を追加　設計確認完成部番とMCの比率は1：1,,,,,,,,
I,6110-502EA38,1,1,PL-6110-502EA38,1,1,L1-5546-502AA38,1,1,MA-5546-502AA38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,44755,岩下,20240216,メッキ工程追加,,,,,,,,
I,3153-502FA36,1,1,L1-3153-502AC36,1,1,MA-600-502AA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/14,,,新規部品対応,,,,,,,,
I,6110-602AA38,1,1,MA-RH-0031K-06SA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/14,,,新規部品対応,,,,,,,,
I,6110-602CA38,1,1,MA-RH-0031K-06SA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/14,,,新規部品対応,,,,,,,,
I,6110-602DA38,1,1,MA-RH-0031K-06SA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/14,,,新規部品対応,,,,,,,,
I,6110-602EA38,1,1,MA-RH-0031K-06SA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/14,,,新規部品対応,,,,,,,,
I,3139-608BA36,1,1,L1-3139-60836,1,3,MA-973-608AA36-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,岩下,20231025,L1-631-608に溝加工を入れて（初崎さんマシニング希望）L1-3139-608に変更　2023/10/17メール,,,,,,,,
