,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,,,,,,,,
I,5142-601AA34,1,1,LA-165-601GA36-L2,1,1,L1-165-601GA36,1,1,MA-165-601GA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5142-601BA34,1,1,LA-165-601GA36-L2,1,1,L1-165-601GA36,1,1,MA-165-601GA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5142-601AA36,1,1,LA-165-601GA38-L2,1,1,L1-165-601GA38,1,1,MA-165-601GA38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5141-601AA38,1,1,LA-165-601GA40-L2,1,1,L1-165-601GA40,1,1,MA-165-601GA40,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5142-601AA38,1,1,LA-165-601GA40-L2,1,1,L1-165-601GA40,1,1,MA-165-601GA40,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5142-601AB38,1,1,LA-165-601GA40-L2,1,1,L1-165-601GA40,1,1,MA-165-601GA40,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5529-601AA42,1,1,LA-165-601JA42-L2,1,1,L1-165-601JA42,1,1,MA-165-601JA42,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5166-601AA34,1,1,L2-165-601KA34,1,1,L1-165-601KA34,1,1,MA-165-601KA34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3236-501AA26,1,1,LA-171-501AA26-DF,1,1,L1-171-501AA26,1,1,MA-171-501AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,882-501BA26,1,1,LA-171-501AA26-DF,1,1,L1-171-501AA26,1,1,MA-171-501AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3236-501AA30,1,1,LA-171-501AA30-DF,1,1,L1-171-501AA30,1,1,MA-171-501AA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,4412-501AA30,1,1,LA-171-501AA30-DF,1,1,L1-171-501AA30,1,1,MA-171-501AA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,882-501BA30,1,1,LA-171-501AA30-DF,1,1,L1-171-501AA30,1,1,MA-171-501AA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,882-501DA30,1,1,LA-171-501AA30-DF,1,1,L1-171-501AA30,1,1,MA-171-501AA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3236-501AA32,1,1,LA-171-501AA32-DF,1,1,L1-171-501AA32,1,1,MA-171-501AA32,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3242-501AA32,1,1,LA-171-501AA32-DF,1,1,L1-171-501AA32,1,1,MA-171-501AA32,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,882-501BA32,1,1,LA-171-501AA32-DF,1,1,L1-171-501AA32,1,1,MA-171-501AA32,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3236-501AA34,1,1,LA-171-501AA34-DF,1,1,L1-171-501AA34,1,1,MA-171-501AA34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3242-501AA34,1,1,LA-171-501AA34-DF,1,1,L1-171-501AA34,1,1,MA-171-501AA34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,4412-501AA34,1,1,LA-171-501AA34-DF,1,1,L1-171-501AA34,1,1,MA-171-501AA34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,882-501BA34,1,1,LA-171-501AA34-DF,1,1,L1-171-501AA34,1,1,MA-171-501AA34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3236-501AA36,1,1,LA-171-501AA36-DF,1,1,L1-171-501AA36,1,1,MA-171-501AA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3242-501AA36,1,1,LA-171-501AA36-DF,1,1,L1-171-501AA36,1,1,MA-171-501AA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,882-501BA36,1,1,LA-171-501AA36-DF,1,1,L1-171-501AA36,1,1,MA-171-501AA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3636-501AB26,1,1,LA-171-501BB26-DF,1,1,L1-171-501BB26,1,1,MA-171-501BB26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3638-501AA26,1,1,LA-171-501BB26-DF,1,1,L1-171-501BB26,1,1,MA-171-501BB26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3636-501AB30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3638-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3644-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3652-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3656-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3660-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,4408-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3636-501AB34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3638-501AA34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3650-501AA34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3652-501AA34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,4408-501AA34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,TS-4926AA,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3242-501AA30,1,1,LA-171-501DA3026-DF,1,1,L1-171-501DA3026,1,1,MA-171-501DA3026,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3662-501AA34,1,1,LA-171-501GA34-DF,1,1,L1-171-501GA34,1,1,MA-171-501GA34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,杉本,20170510,穴あけ工程追加,,,,,,,,
I,1731-401BA14,1,1,LA-1731-401BA14-D,1,1,L1-1731-401BA14,1,1,MA-1731-401BA14,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-401BA18,1,1,LA-1731-401BA18-D,1,1,L1-1731-401BA18,1,1,MA-1731-401BA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-401BA24,1,1,LA-1731-401BA24-D,1,1,L1-1731-401BA24,1,1,MA-1731-401BA24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA10,1,1,LA-1731-406BA10-MC,1,1,L1-1731-406BA10,1,1,MA-1731-406BA10,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA12,1,1,LA-1731-406BA12-MC,1,1,L1-1731-406BA12,1,1,MA-1731-406BA12,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA13,1,1,LA-1731-406BA13-MC,1,1,L1-1731-406BA13,1,1,MA-1731-406BA13,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA14,1,1,LA-1731-406BA14-MC,1,1,L1-1731-406BA14,1,1,MA-1731-406BA14,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA15,1,1,LA-1731-406BA15-MC,1,1,L1-1731-406BA15,1,1,MA-1731-406BA15,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA16,1,1,LA-1731-406BA16-MC,1,1,L1-1731-406BA16,1,1,MA-1731-406BA16,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA17,1,1,LA-1731-406BA17-MC,1,1,L1-1731-406BA17,1,1,MA-1731-406BA17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA18,1,1,LA-1731-406BA18-MC,1,1,L1-1731-406BA18,1,1,MA-1731-406BA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA19,1,1,LA-1731-406BA19-MC,1,1,L1-1731-406BA19,1,1,MA-1731-406BA19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA20,1,1,LA-1731-406BA20-MC,1,1,L1-1731-406BA20,1,1,MA-1731-406BA20,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA21,1,1,LA-1731-406BA21-MC,1,1,L1-1731-406BA21,1,1,MA-1731-406BA21,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-406BA24,1,1,LA-1731-406BA24-MC,1,1,L1-1731-406BA24,1,1,MA-1731-406BA24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-417BA24,1,3,MA-1731-417BA24-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,20230803,トミナガ加工不可の為、社内加工へ変更　MA-1731-417BA24-DRUMで納品,,,,,,,,
I,1731-418AA24,1,4,MA-1731-418AA24-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,20230803,トミナガ加工不可の為、社内加工へ変更　MA-1731-418AA24-DRUMで納品,,,,,,,,
I,1751-401BB17,1,1,LA-1751-401BB17-D,1,1,L1-1751-401BB17,1,1,MA-1751-401BB17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-401BB24,1,1,LA-1751-401BB24-D,1,1,L1-1751-401BB24,1,1,MA-1751-401BB24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-402BA12,1,1,MC-1751-402BA12,1,1,L1-1751-402BA12,1,1,MA-1751-402BA12,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-402BA17,1,1,MC-1751-402BA17,1,1,L1-1751-402BA17,1,1,MA-1751-402BA17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-402BA24,1,1,MC-1751-402BA24,1,1,L1-1751-402BA24,1,1,MA-1751-402BA24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-403AA17,1,1,MC-1751-403AA17,1,1,L1-1751-403AA17,1,1,MA-1751-403AA17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-403AA24,1,1,MC-1751-403AA24,1,1,L1-1751-403AA24,1,1,MA-1751-403AA24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC08,1,1,LA-1751-406BC08-MC,1,1,L1-1751-406BC08,1,1,MA-1751-406BC08,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC10,1,1,LA-1751-406BC10-MC,1,1,L1-1751-406BC10,1,1,MA-1751-406BC10,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC11,1,1,LA-1751-406BC11-MC,1,1,L1-1751-406BC11,1,1,MA-1751-406BC11,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC12,1,1,LA-1751-406BC12-MC,1,1,L1-1751-406BC12,1,1,MA-1751-406BC12,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC13,1,1,LA-1751-406BC13-MC,1,1,L1-1751-406BC13,1,1,MA-1751-406BC13,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC14,1,1,LA-1751-406BC14-MC,1,1,L1-1751-406BC14,1,1,MA-1751-406BC14,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC15,1,1,LA-1751-406BC15-MC,1,1,L1-1751-406BC15,1,1,MA-1751-406BC15,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC16,1,1,LA-1751-406BC16-MC,1,1,L1-1751-406BC16,1,1,MA-1751-406BC16,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC17,1,1,LA-1751-406BC17-MC,1,1,L1-1751-406BC17,1,1,MA-1751-406BC17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BD18,1,1,LA-1751-406BD18-MC,1,1,L1-1751-406BC18,1,1,MA-1751-406BC18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BD19,1,1,LA-1751-406BD19-MC,1,1,L1-1751-406BC19,1,1,MA-1751-406BC19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BD20,1,1,LA-1751-406BD20-MC,1,1,L1-1751-406BC20,1,1,MA-1751-406BC20,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC22,1,1,LA-1751-406BC22-MC,1,1,L1-1751-406BC22,1,1,MA-1751-406BC22,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1751-406BC24,1,1,LA-1751-406BC24-MC,1,1,L1-1751-406BC24,1,1,MA-1751-406BC24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5143-601AA15,1,1,LA-1751-601AA15-L2,1,1,L1-1751-601AA15,1,1,MA-1751-601AA15,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5143-601AA17,1,1,LA-1751-601AA17-L2,1,1,L1-1751-601AA17,1,1,MA-1751-601AA17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5143-601AA18,1,1,LA-1751-601AA18-L2,1,1,L1-1751-601AA18,1,1,MA-1751-601AA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5143-601AA19,1,1,LA-1751-601AA19-L2,1,1,L1-1751-601AA19,1,1,MA-1751-601AA19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5143-601AA20,1,1,LA-1751-601AA20-L2,1,1,L1-1751-601AA20,1,1,MA-1751-601AA20,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5143-601AA24,1,1,LA-1751-601AA24-L2,1,1,L1-1751-601AA24,1,1,MA-1751-601AA24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5143-601AB18,1,1,LA-1751-601AA18-L2,1,1,L1-1751-601AA18,1,1,MA-1751-601AA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5145-601AA08,1,1,MA-1751-601AA08,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5145-601AA10,1,1,MA-1751-601AA11,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,出石,20200812,素材10→11,,,,,,,,
I,5145-601AA11,1,1,MA-1751-601AA11,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5145-601AA12,1,1,MA-1751-601AA12,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5145-601AA13,1,1,MA-1751-601AA14,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,出石,20200713,素材14吋より加工で,,,,,,,,
I,5145-601AA14,1,1,LA-1751-601AA14-L2,1,1,L1-1751-601AA14,1,1,MA-1751-601AA14,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5145-601AA15,1,1,LA-1751-601AA15-L2,1,1,L1-1751-601AA15,1,1,MA-1751-601AA15,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,5145-601AA16,1,1,LA-1751-601AA16-L2,1,1,L1-1751-601AA16,1,1,MA-1751-601AA16,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-501ZEA14,1,1,L2-19B-501ZEA14,1,1,L1-19B-501ZEA14,1,1,MA-19B-501ZEA14,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,1731-501ZEA15,1,1,L1-19B-501ZEA18,1,1,MA-19B-501ZEA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20230117,L2加工社内に変更（初崎さん確認）,,,,,,,,
I,1731-501ZEA16,1,1,L1-19B-501ZEA18,1,1,MA-19B-501ZEA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20230117,L2加工社内に変更（初崎さん確認）,,,,,,,,
I,1731-501ZEA17,1,1,L1-19B-501ZEA18,1,1,MA-19B-501ZEA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20230117,L2加工社内に変更（初崎さん確認）,,,,,,,,
I,1731-501ZEA18,1,1,L1-19B-501ZEA18,1,1,MA-19B-501ZEA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20230117,L2加工社内に変更（初崎さん確認）,,,,,,,,
I,1731-501ZEA19,1,1,L1-19B-501ZEA22,1,1,MA-19B-501ZEA22,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20230117,L2加工社内に変更（初崎さん確認）,,,,,,,,
I,1731-501ZEA20,1,1,L1-19B-501ZEA22,1,1,MA-19B-501ZEA22,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20230117,L2加工社内に変更（初崎さん確認）,,,,,,,,
I,1731-501ZEA21,1,1,L1-19B-501ZEA22,1,1,MA-19B-501ZEA22,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20230117,L2加工社内に変更（初崎さん確認）,,,,,,,,
I,1731-501ZEA22,1,1,L1-19B-501ZEA22,1,1,MA-19B-501ZEA22,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20230117,L2加工社内に変更（初崎さん確認）,,,,,,,,
I,226-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,4411-498AA30,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,4412-498AA30,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,4412-498AA34,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,5202-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,5211-498AA34,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,5211-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,5212-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,5213-498AA30,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,5213-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,岩下,20231129,トミナガ突っ切り不可の為、MA-226-498AA38をMA-720-65242-DRUMに変更（この型から取れる）L2社内加工,,,,,,,,
I,4305-608AA10,1,1,L2-603-608AA10,1,1,L1-603-608AA10,1,1,MA-603-608AA10,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,4305-608AA11,1,1,L2-603-608AA11,1,1,L1-603-608AA11,1,1,MA-603-608AA11,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,4305-608AA12,1,1,L2-603-608AA12,1,1,L1-603-608AA12,1,1,MA-603-608AA12,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,603-60812,1,1,L2-603-608AA12,1,1,L1-603-608AA12,1,1,MA-603-608AA12,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3226-433AA26,1,1,L2-3222-433AA26,1,1,L1-3222-433AA26,1,1,MA-3222-433AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3228-433AA26,1,1,L2-3222-433AA26,1,1,L1-3222-433AA26,1,1,MA-3222-433AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
I,3236-433AA26,1,1,L2-3222-433AA26,1,1,L1-3222-433AA26,1,1,MA-3222-433AA26,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20151127,,,,,,,,,,,
