区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
2,SPL-1987MA,1.0,1,PEFIN-SPL-1987MA,1.0,1.0,PL-SPL-1987MA,1.0,1.0,MA-SPL-1987MA,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,SPL-2249BA,1.0,1,PEFIN-SPL-2249BA,1.0,1.0,PL-SPL-2249BA,1.0,1.0,MA-SPL-2249BA,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,SPL-2357AA,1.0,1,PEFIN-SPL-2357AA,1.0,1.0,PL-SPL-2357AA,1.0,1.0,MA-SPL-2357AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,SPL-2357DA,1.0,1,PEFIN-SPL-2357DA,1.0,1.0,PL-SPL-2357DA,1.0,1.0,MA-SPL-2357DA,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,SPL-2388BA,1.0,1,PEFIN-SPL-2388BA,1.0,1.0,PL-SPL-2388BA,1.0,1.0,MA-SPL-2388BA,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,SPL-2388BB,1.0,1,PEFIN-SPL-2388BB,1.0,1.0,PL-SPL-2388BB,1.0,1.0,MA-SPL-2388BB,0.0,0.0,,0.0,0.0,,0.0,0.0,
3,SPL-2456CB,1.0,1,PEFIN-SPL-2456CB,1.0,1.0,TH-SPL-2456CB,1.0,1.0,L2-SPL-2456CB,1.0,1.0,MA-KF20-03902AB,0.0,0.0,,0.0,0.0,
E,TS-5470AA,1.0,1,PEFIN-TS-5470AA,1.0,1.0,PL-TS-5470AA,1.0,1.0,MA-TS-5470AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
E,YS65-13804CA,1.0,1,PEFIN-YS65-13804CA,1.0,1.0,PL-YS65-13804CA,1.0,1.0,MA-YS65-13804CA,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,2172-276AA,1.0,1,PEFIN-2172-276AA,1.0,1.0,PA-2172-276AA,1.0,1.0,MA-2172-276AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,2172-276BA,1.0,1,PEFIN-2172-276BA,1.0,1.0,PA-2172-276BA,1.0,1.0,MA-2172-276BA,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,2172-277AA,1.0,1,PEFIN-2172-277AA,1.0,1.0,PA-2172-277AA,1.0,1.0,MA-2172-277AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,K-26719EA,1.0,1,PEFIN-K-26719EA,1.0,1.0,PA-K-26719EA,1.0,1.0,MA-K-26719EA,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,165-250EA,1.0,1,PEFIN-165-250EA,1.0,1.0,PL-165-250EA,1.0,1.0,MA-165-250EA,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,3159-408AA02,1.0,1,PEFIN-3159-408AA02,1.0,1.0,L1-3159-408AA02-S,1.0,1.0,MA-3159-408AA02-S,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,3159-408AA03,1.0,1,PEFIN-3159-408AA03,1.0,1.0,L1-3159-408AA03-S,1.0,1.0,MA-3159-408AA03-S,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,3159-408AA04,1.0,1,PEFIN-3159-408AA04,1.0,1.0,L1-3159-408AA04-S,1.0,1.0,MA-3159-408AA04-S,0.0,0.0,,0.0,0.0,,0.0,0.0,
