FINAL_ITEM_CODE,PROCESS_ORDER,PROCESS_CODE,RES_CODE1,CAPACITY1,INF_CHANGE1,RES_CODE2,CAPACITY2,INF_CHANGE2,RES_CODE3,CAPACITY3,INF_CHANGE3,VERSION,OPE_NAME,UP_DATE,CHK_VAL_FLG,SETU_F,PACK_DATE,VERSION_ASP
5143-602AA14,1,MCW,0,1,0,,,,,,,2,初崎　和広,2024-03-07,0,5143-602AA14,2021/07/19,2.0
5143-602BA14,1,MCW,0,1,0,,,,,,,2,初崎　和広,2024-03-07,0,5143-602BA14,2021/07/19,2.0
5143-602CA14,1,MCW,0,1,0,,,,,,,2,初崎　和広,2024-03-07,0,5143-602CA14,2021/07/19,2.0
80-451BU,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,80-451BU,2020/08/28,1.0
81-4057.6,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,81-4057.6,2021/08/11,1.0
ES61-00301AB,1,MC,3,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,ES61-00301AB,2024/10/07,1.0
ES61-00301AC,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,ES61-00301AC,2025/07/30,1.0
G-6501GA,1,MC,4,1,0,,,,,,,1,初崎　和広,2024-03-07,0,G-6501GA,2025/07/18,1.0
G-6501GB,1,MC,4,1,0,,,,,,,1,初崎　和広,2024-03-07,0,G-6501GB,2025/07/24,1.0
G-6501HA,1,MC,4,1,0,,,,,,,1,初崎　和広,2024-03-07,0,G-6501HA,2025/07/24,1.0
G-6501HB,1,MC,4,1,0,,,,,,,1,初崎　和広,2024-03-07,0,G-6501HB,2025/07/15,1.0
K-13801D,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,K-13801D,2020/10/23,1.0
K-13801E,1,MC,0,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,K-13801E,2024/10/24,1.0
K-22601AA,1,MC,0,1,0,,,,,,,1,初崎　和広,2025-05-16,0,K-22601AA,2021/04/12,1.0
K-28801EB,1,MC,4,1,0,,,,,,,1,初崎　和広,2025-05-16,0,K-28801EB,2025/07/29,1.0
K-29901GA,1,GAI,0,1,0,,,,,,,1,初崎　和広,2018-11-29,0,K-29901GA,2020/09/10,1.0
KF20-03901BA,1,MCW,15,1,0,,,,,,,1,森友　宏幸,2025-05-15,0,KF20-03901BA,2024/10/03,1.0
KS51-00101AC,1,GAI,0,1,0,,,,,,,1,初崎　和広,2021-07-08,0,KS51-00101AC,2021/09/24,1.0
SPL-1522GAA,1,MC,0,1,0,,,,,,,1,初崎　和広,2025-05-16,0,SPL-1522GAA,2024/12/25,1.0
SPL-2843-402DA38,1,GAI,0,1,0,,,,,,,1,初崎　和広,2025-08-18,0,SPL-2843-402DA38,2025/09/26,1.0
SPL-2843-403FA38,1,GAI,0,1,0,,,,,,,1,初崎　和広,2025-08-18,0,SPL-2843-403FA38,2025/09/26,1.0
SPL-2843-404AA,1,GAI,0,1,0,,,,,,,1,初崎　和広,2025-08-18,0,SPL-2843-404AA,2025/09/26,1.0
SPL-2843-442,1,GAI,0,1,0,,,,,,,1,初崎　和広,2025-08-18,0,SPL-2843-442,2025/09/26,1.0
