No,完成部番,単位数分子,単位数分母,前工程
6,5165-524AA42,1.0,1.0,COM-5165-524AA42
6,5165-525AA42,1.0,1.0,COM-5165-525AA42
6,5165-541SA42,1.0,1.0,COM-5165-541SA42
6,5165-606AA30,1.0,1.0,COM-5165-606AA30
6,5165-606AA34,1.0,1.0,COM-5165-606AA34
6,5165-606AA40,1.0,1.0,COM-5165-606AA40
6,5165-606AA44,1.0,1.0,COM-5165-606AA44
6,5165-606BA30,1.0,1.0,COM-5165-606BA30
6,5165-606BA34,1.0,1.0,COM-5165-606BA34
6,5165-606BA40,1.0,1.0,COM-5165-606BA40
6,5165-606BA44,1.0,1.0,COM-5165-606BA44
6,5165-607AA30,1.0,1.0,COM-5165-607AA30
6,5165-607AA34,1.0,1.0,COM-5165-607AA34
6,5165-607AA40,1.0,1.0,COM-5165-607AA40
6,5165-607AA44,1.0,1.0,COM-5165-607AA44
6,5165-611AA30,1.0,1.0,COM-5165-611AA30
6,5165-611AA36,1.0,1.0,COM-5165-611AA36
6,5165-611AA42,1.0,1.0,COM-5165-611AA42
6,5165-612AA36,1.0,1.0,COM-5165-612AA36
6,5165-612AA42,1.0,1.0,COM-5165-612AA42
6,5165-613AA30,1.0,1.0,COM-5165-613AA30
6,5165-613AA34,1.0,1.0,COM-5165-613AA34
6,5165-613AA40,1.0,1.0,COM-5165-613AA40
6,5165-613AA44,1.0,1.0,COM-5165-613AA44
6,5165-614AA34,1.0,1.0,COM-5165-614AA34
6,5165-614AA40,1.0,1.0,COM-5165-614AA40
6,5165-614AA44,1.0,1.0,COM-5165-614AA44
6,5165-615AA34,1.0,1.0,COM-5165-615AA34
6,5165-615AA40,1.0,1.0,COM-5165-615AA40
6,5165-615AA44,1.0,1.0,COM-5165-615AA44
6,5165-615LA44,1.0,1.0,COM-5165-615LA44
6,5165-616AA34,1.0,1.0,COM-5165-616AA34
6,5165-616AA40,1.0,1.0,COM-5165-616AA40
6,5165-616AA44,1.0,1.0,COM-5165-616AA44
6,5165-617AA40,1.0,1.0,COM-5165-617AA40
6,5165-617AA44,1.0,1.0,COM-5165-617AA44
6,5165-618AA40,1.0,1.0,COM-5165-618AA40
6,5165-618AA44,1.0,1.0,COM-5165-618AA44
6,5165-619AA34,1.0,1.0,COM-5165-619AA34
6,5165-619AA40,1.0,1.0,COM-5165-619AA40
