No,完成部番,単位数分子,単位数分母,前工程
5,LEC4BT-MZ5AA34,58.0,1000.0,SKD11015067
6,LEC4BT-MZ5AA34,1.0,1.0,SKD6G1552
5,LEC4BY-MB1AA34,27.0,1000.0,SKD11027067
6,LEC4BY-MB1AA34,1.0,1.0,SKD6G2718
5,LEC4BY-MB2AA34,51.0,1000.0,SKD11025067
6,LEC4BY-MB2AA34,1.0,1.0,SKD6G2537
5,LEC4BY-MB3AA34,75.0,1000.0,SKD11025067
6,LEC4BY-MB3AA34,1.0,1.0,SKD6G2554
5,LEC4BY-MB4AA34,36.0,1000.0,SKD11015067
6,LEC4BY-MB4AA34,1.0,1.0,SKD6G1542
4,LEC4C-DX1AA30,79.0,1000.0,SKD11027067
5,LEC4C-DX1AA30,1.0,1.0,SKD6G2753
6,LEC4C-DX1AA30,1.0,1.0,LEC4C-MX1AA30
4,LEC4C-DX1AA38,79.0,1000.0,SKD11027067
5,LEC4C-DX1AA38,1.0,1.0,SKD6G2753
6,LEC4C-DX1AA38,1.0,1.0,LEC4C-MX1AA38
4,LEC4C-DX4AA30,62.0,1000.0,SKD11015067
5,LEC4C-DX4AA30,1.0,1.0,SKD6G1556
6,LEC4C-DX4AA30,1.0,1.0,LEC4C-MX4AA30
4,LEC4C-DX4AA38,62.0,1000.0,SKD11015067
5,LEC4C-DX4AA38,1.0,1.0,SKD6G1556
6,LEC4C-DX4AA38,1.0,1.0,LEC4C-MX4AA38
4,LEC4C-DX5AA30,140.0,1000.0,SKD11047067
5,LEC4C-DX5AA30,1.0,1.0,SKD6G4754
6,LEC4C-DX5AA30,1.0,1.0,LEC4C-MX5AA30
4,LEC4C-DY1AA38,28.0,1000.0,SKD11025067
5,LEC4C-DY1AA38,1.0,1.0,SKD6G2520
6,LEC4C-DY1AA38,1.0,1.0,LEC4C-MY1AA38
4,LEC4C-DY3AA30,140.0,1000.0,SKD11047067
5,LEC4C-DY3AA30,1.0,1.0,SKD6G4754
