00-1073D,1.0,1,PL-00-1073D,1.0,1.0,MA-00-1073D,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
12-426LB30,1.0,1,MA-12-426LB30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
12-426LB38,1.0,1,MA-12-426LB38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
DF-791-673,1.0,1,MA-791-673,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
DF-791-67336,1.0,1,MA-791-67336,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
GS-355-541,1.0,1,MA-355-541,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
MA-355-541-G,1.0,1,MA-355-541,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
RE-SPL-17.19,1.0,1,SPS-17A,1.0,1.0,HT-SPS-17A,1.0,1.0,MA-SPS-17A,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206A,1.0,1,HT-11-206A,1.0,1.0,M-11-206A,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206E,1.0,1,HT-11-206E,1.0,1.0,M-11-206E,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206F,1.0,1,HT-11-206F,1.0,1.0,M-11-206F,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206G,1.0,1,HT-11-206G,1.0,1.0,M-11-206G,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206H,1.0,1,HT-11-206H,1.0,1.0,M-11-206H,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-204EA-3A,1.0,1,PA-165-204EA-3A,1.0,1.0,MA-165-204EA-3A,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209AA,1.0,1,M-165-209AA,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209BA,1.0,1,M-165-209BA,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-271AA,1.0,1,MA-165-271AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-14917,1.0,1,MA-K-14917,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-17707KB,1.0,1,PL-K-17707KB,1.0,1.0,MA-K-17707KB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-19012AG,1.0,1,MC-K-19012AG,1.0,1.0,MA-K-19012AG,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-19012BG,1.0,1,MC-K-19012BG,1.0,1.0,MA-K-19012BG,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-22206,1.0,1,PL-K-22206,1.0,1.0,MA-K-22206,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-22207,1.0,1,PL-K-22207,1.0,1.0,MA-K-22207,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-22208,1.0,1,PL-K-22208,1.0,1.0,MA-K-22208,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-22209,1.0,1,PL-K-22209,1.0,1.0,MA-K-22209,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-29606AA,1.0,1,PL-K-29606AA,1.0,1.0,MA-K-29606AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-29607AA,1.0,1,PL-K-29607AA,1.0,1.0,MA-K-29607AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-29608AA,1.0,1,PL-K-29608AA,1.0,1.0,MA-K-29608AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-29609AA,1.0,1,PL-K-29609AA,1.0,1.0,MA-K-29609AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209CA,1.0,1,M-165-209CA,1.0,1.0,MA-165-209CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
