FINAL_ITEM_CODE,PRODUCT_TYP
5530-502AA34,7
5530-501CA38,7
5517-501CA34,7
5530-501CA34,7
5530-501BA38,7
5530-501BA34,7
1831-406AA34,7
5529-602BA38,7
5529-601AA38,7
5529-601AA34,7
4117-601FA34,7
5529-502AA30,7
5520-502RA,7
5520-502KC,7
5520-502JD,7
5520-502GA,7
5520-502FA,7
5520-502DA,7
5520-502CC,7
5520-502BC,7
1155-403AA48,7
1355-403CB24,7
631-666B30,7
631-60830,7
5520-501BB30,7
631-502PA30,7
6210-501AA34,7
5173-502AB30,7
3153-652AB30,7
3153-601EA42,7
5172-602AA33,7
5172-601AA33,7
5172-501BA33,7
8101-502BC,7
6207-406CA34,7
5172-501AA33,7
5165-641AA36,7
5165-641AA34,7
5165-641AA30,7
5165-602BB30,7
5165-602BA36,7
5165-602BA34,7
1531-501ZQA3238,7
5165-602AA36,7
5165-602AA34,7
5165-602AA30,7
5165-601AA36,7
5165-601AA34,7
5165-601AA30,7
5165-502EA34,7
5165-502AA36,7
5165-502AA34,7
5165-501AB30,7
1831-406AA41,7
5165-501AA36,7
5165-501AA34,7
5163-405BA33,7
5154-641AA36,7
5154-602EA34,7
5154-602BB30,7
5154-602BA34,7
5142-502AA33,7
5518-502AB34,7
5154-601AA34,7
5154-601AA30,7
5154-502EA34,7
5154-502AA30,7
5154-501AA34,7
5154-501AA30,7
5121-602BB30,7
A259-602BA30,7
5142-641AA34,7
1831-501CB30,7
5172-501BA34,7
4109-502JA30,7
5142-602BB30,7
5142-602AA30,7
5142-601AA34,7
5142-601AA30,7
5215-502AA34,7
5142-502AA34,7
5142-502AA30,7
5176-502EB30,7
5142-501NA34,7
5121-641AB30,7
5177-601AA33,7
5121-602AB30,7
5121-601AB30,7
5121-502AA30,7
5121-501AA30,7
3922-502FA30,7
479-641AB30,7
479-602BC30,7
479-602BB34,7
479-602AB34,7
479-601AB38,7
479-601AB34,7
479-601AA33,7
479-601AA30,7
478-502AC38,7
479-502AA34,7
479-501AB38,7
479-501AB34,7
479-501AB33,7
5121-601AB38,7
478-641AC38,7
C352-501BA34,7
120-404CA,7
478-602EC38,7
478-602BC38,7
478-602BC33,7
478-502EC38,7
478-502AC33,7
478-409AA36,7
478-409AA34,7
474-641AC38,7
5154-502EA30,7
1831-501BB26,7
3139-502FB36,7
3139-608AB34,7
474-602CC33,7
474-602CC30,7
474-602BB33,7
474-602BB30,7
474-601AB38,7
474-601AB30,7
1831-501DB36,7
1151-406BA5.5,7
474-601AA33,7
474-502ZA38,7
5213-602CA34,7
5109-602AA33,7
474-502AB33,7
970-40930,7
474-501AB38,7
474-501AB33,7
474-501AB30,7
5534-641AA36,7
5213-602BA34,7
4305-608AA20,7
4305-608AA17,7
4305-608AA16,7
4305-601EA20,7
4305-502FA,7
4305-502EA,7
4305-502DA,7
4117-652AA36,7
4117-601EB34,7
4117-601EB30,7
4115-601EA32,7
4115-601EA30,7
4109-652AA34,7
4109-652AA32,7
1731-103AA14,7
5128-602EB30,7
4109-652AA30,7
3923-652AA26,7
5529-501CA38,7
479-502AB38,7
5529-602EA38,7
5213-602AA34,7
5213-601AA34,7
