HMCD,SEQ,KTSEQ,KTCD
C0078E36040560340000,3,5030,BF
C0078E36040560340000,4,5040,CYFIN
C5540A38024400550000,1,5010,FL
C5540A38024400550000,2,5020,G
C5540A38024400550000,3,5030,BF
C5540A38024400550000,4,5040,CYFIN
C0078B34034080400000,1,5010,FL
C0078B34034080400000,2,5020,G
C0078B34034080400000,3,5030,BF
C0078B34034080400000,4,5040,CYFIN
C0078E34042720300000,1,5010,FL
C0078E34042720300000,2,5020,G
C0078E34042720300000,3,5030,BF
C0078E34042720300000,4,5040,CYFIN
C0078A30026400420000,1,5010,FL
C0078A30026400420000,2,5020,G
C0078A30026400420000,3,5030,BF
C0078A30026400420000,4,5040,CYFIN
C0078B38038160400000,1,5010,FL
C0078B38038160400000,2,5020,G
C0078B38038160400000,3,5030,BF
C0078B38038160400000,4,5040,CYFIN
C0078B30030240400000,1,5010,FL
C0078B30030240400000,2,5020,G
C0078B30030240400000,3,5030,BF
C0078B30030240400000,4,5040,CYFIN
00-918AU,1,5010,MARK
00-918AR,1,5010,MARK
00-918AQ,1,5010,MARK
00-918AP,1,5010,MARK
E-32114AA,1,5010,ULM
ES64-01001EA,1,5010,MC
ES64-01001EA,2,5020,WC
ES64-01001CB,1,5010,MC
ES64-01001CB,2,5020,WC
ES64-01001BC,1,5010,MC
ES64-01001BC,2,5020,WC
ES64-01001AC,1,5010,MC
ES64-01001AC,2,5020,WC
YCM-109EA,1,5010,WC
YCM-109EA,2,5020,MC1
YCM-109EA,3,5030,MC2
YCM-109EA,4,5040,CHDE
YCM-109EA,5,5050,HOLF
YCM-109EA,6,5060,HT
YCM-109EA,7,5070,QBR
YCM-109EA,8,5080,HOLD
YCM-109EA,9,5090,PL
YCM-109EA,10,5100,YAFIN
YCM-151,1,5010,WC
YCM-151,2,5020,MC1
YCM-151,3,5030,MC2
YCM-151,4,5040,CHDE
YCM-151,5,5050,HOLF
YCM-151,6,5060,HT
YCM-151,7,5070,QBR
YCM-151,8,5080,HOLD
YCM-151,9,5090,PL
YCM-151,10,5100,YAFIN
YS65-15101AA,1,5010,WC
YS65-15101AA,2,5020,MC1
YS65-15101AA,3,5030,MC2
YS65-15101AA,4,5040,CHDE
YS65-15101AA,5,5050,HOLF
YS65-15101AA,6,5060,HT
YS65-15101AA,7,5070,QBR
YS65-15101AA,8,5080,HOLD
YS65-15101AA,9,5090,PL
YS65-15101AA,10,5100,YAFIN
YCF-104GP,1,5010,WC
YCF-104GP,2,5020,MC1
YCF-104GP,3,5030,MC2
YCF-104GP,4,5040,CHDE
YCF-104GP,5,5050,HOLF
YCF-104GP,6,5060,HT
YCF-104GP,7,5070,QBR
YCF-104GP,8,5080,HOLD
YCF-104GP,9,5090,PL
YCF-104GP,10,5100,YAFIN
YCF-162AA,1,5010,WC
YCF-162AA,2,5020,MC1
YCF-162AA,3,5030,MC2
YCF-162AA,4,5040,CHDE
YCF-162AA,5,5050,HOLF
YCF-162AA,6,5060,HT
YCF-162AA,7,5070,QBR
YCF-162AA,8,5080,HOLD
YCF-162AA,9,5090,PL
YCF-162AA,10,5100,YAFIN
YS65-13701BA,1,5010,WC
YS65-13701BA,2,5020,MC1
YS65-13701BA,3,5030,MC2
YS65-13701BA,4,5040,CHDE
YS65-13701BA,5,5050,HOLF
YS65-13701BA,6,5060,HT
YS65-13701BA,7,5070,QBR
YS65-13701BA,8,5080,HOLD
YS65-13701BA,9,5090,PL
YS65-13701BA,10,5100,YAFIN
YCF-116NAP,1,5010,WC
YCF-116NAP,2,5020,MC1
YCF-116NAP,3,5030,MC2
C0201B20010800480000,1,5010,FL
C0201B20010800480000,2,5020,G
C0201B20010800480000,3,5030,BF
C0201B20010800480000,4,5040,CYFIN
C0274F42026400550000,1,5010,FL
C0274F42026400550000,2,5020,G
C0274F42026400550000,3,5030,BF
C0274F42026400550000,4,5040,CYFIN
C0078E34038400340000,1,5010,FL
C0078E34038400340000,2,5020,G
C0078E34038400340000,3,5030,BF
C0078E34038400340000,4,5040,CYFIN
C0078B30023040480000,1,5010,FL
C0078B30023040480000,2,5020,G
C0078B30023040480000,3,5030,BF
C0078B30023040480000,4,5040,CYFIN
C0078B38021360480000,1,5010,FL
C0078B38021360480000,2,5020,G
C0078B38021360480000,3,5030,BF
C0078B38021360480000,4,5040,CYFIN
C0078B40022680480000,1,5010,FL
C0078B40022680480000,2,5020,G
C0078B40022680480000,3,5030,BF
C0078B40022680480000,4,5040,CYFIN
C0078G42023520480000,1,5010,FL
C0078G42023520480000,2,5020,G
C0078G42023520480000,3,5030,BF
C0078G42023520480000,4,5040,CYFIN
C5540B36031680420000,1,5010,FL
C5540B36031680420000,2,5020,G
C5540B36031680420000,3,5030,BF
C5540B36031680420000,4,5040,CYFIN
C0274E30025920420000,1,5010,FL
C0274E30025920420000,2,5020,G
C0274E30025920420000,3,5030,BF
C0274E30025920420000,4,5040,CYFIN
C5163A34007470950000,1,5010,FL
C5163A34007470950000,2,5020,G
C5163A34007470950000,3,5030,BF
C5163A34007470950000,4,5040,CYFIN
C0078B30016800480000,1,5010,FL
C0078B30016800480000,2,5020,G
C0078B30016800480000,3,5030,BF
C0078B30016800480000,4,5040,CYFIN
C0078B30018720480000,1,5010,FL
C0078B30018720480000,2,5020,G
C0078B30018720480000,3,5030,BF
C0078B30018720480000,4,5040,CYFIN
C3164B34034080352000,1,5010,FL
C3164B34034080352000,2,5020,RST
C3164B34034080352000,3,5030,G
C3164B34034080352000,4,5040,BF
C3164B34034080352000,5,5050,CYFIN
C3164B30026400422000,1,5010,FL
C3164B30026400422000,2,5020,RST
C3164B30026400422000,3,5030,G
C3164B30026400422000,4,5040,BF
C3164B30026400422000,5,5050,CYFIN
C3164B34029760422000,1,5010,FL
C3164B34029760422000,2,5020,RST
C3164B34029760422000,3,5030,G
C3164B34029760422000,4,5040,BF
C3164B34029760422000,5,5050,CYFIN
C3164B30030000352000,1,5010,FL
C3164B30030000352000,2,5020,RST
C3164B30030000352000,3,5030,G
C3164B30030000352000,4,5040,BF
C3164B30030000352000,5,5050,CYFIN
C3557B34025200524020,1,5010,FL
C3557B34025200524020,2,5020,RST
C3557B34025200524020,3,5030,G
C3557B34025200524020,4,5040,BF
C3557B34025200524020,5,5050,CYFIN
C3151F30026400422000,1,5010,FL
C3151F30026400422000,2,5020,RST
C3151F30026400422000,3,5030,G
C3151F30026400422000,4,5040,BF
C3151F30026400422000,5,5050,CYFIN
C3164B34025920522500,1,5010,FL
C3164B34025920522500,2,5020,RST
C3164B34025920522500,3,5030,G
C3164B34025920522500,4,5040,BF
C3164B34025920522500,5,5050,CYFIN
C3164B30022680522500,1,5010,FL
C3164B30022680522500,2,5020,RST
C3164B30022680522500,3,5030,G
C3164B30022680522500,4,5040,BF
C3164B30022680522500,5,5050,CYFIN
C3164B36027360522500,1,5010,FL
C3164B36027360522500,2,5020,RST
C3164B36027360522500,3,5030,G
C3164B36027360522500,4,5040,BF
C3164B36027360522500,5,5050,CYFIN
C3144D26019320522500,1,5010,FL
C3144D26019320522500,2,5020,RST
C3144D26019320522500,3,5030,G
C3144D26019320522500,4,5040,BF
C3144D26019320522500,5,5050,CYFIN
C3144B30025200422000,1,5010,FL
C3144B30025200422000,2,5020,RST
C3144B30025200422000,3,5030,G
C3144B30025200422000,4,5040,BF
C3144B30025200422000,5,5050,CYFIN
C3146B32020160523000,1,5010,FL
C3146B32020160523000,2,5020,RST
C3146B32020160523000,3,5030,G
C3146B32020160523000,4,5040,BF
C3146B32020160523000,5,5050,CYFIN
C3164B32028080422000,1,5010,FL
C3164B32028080422000,2,5020,RST
C3164B32028080422000,3,5030,G
C3164B32028080422000,4,5040,BF
C3164B32028080422000,5,5050,CYFIN
C3146B34029760422000,1,5010,FL
C3146B34029760422000,2,5020,RST
C3146B34029760422000,3,5030,G
C3146B34029760422000,4,5040,BF
C3146B34029760422000,5,5050,CYFIN
C3151F30022680522500,1,5010,FL
C3151F30022680522500,2,5020,RST
C3151F30022680522500,3,5030,G
C3151F30022680522500,4,5040,BF
C3151F30022680522500,5,5050,CYFIN
C3146B38033120422000,1,5010,FL
C3146B38033120422000,2,5020,RST
C3146B38033120422000,3,5030,G
C3146B38033120422000,4,5040,BF
C3146B38033120422000,5,5050,CYFIN
C3146D26019320523000,1,5010,FL
C3146D26019320523000,2,5020,RST
C3146D26019320523000,3,5030,G
C3146D26019320523000,4,5040,BF
C3146D26019320523000,5,5050,CYFIN
C3144D22018720422000,1,5010,FL
C3144D22018720422000,2,5020,RST
C3144D22018720422000,3,5030,G
C3144D22018720422000,4,5040,BF
C3144D22018720422000,5,5050,CYFIN
C3151F30025200422000,1,5010,FL
C3151F30025200422000,2,5020,RST
C3151F30025200422000,3,5030,G
C3151F30025200422000,4,5040,BF
C3151F30025200422000,5,5050,CYFIN
C3662C34025500424020,1,5010,FL
C3662C34025500424020,2,5020,RST
C3662C34025500424020,3,5030,G
C3662C34025500424020,4,5040,BF
C3662C34025500424020,5,5050,CYFIN
C3144B30022680522500,1,5010,FL
C3144B30022680522500,2,5020,RST
C3144B30022680522500,3,5030,G
C3144B30022680522500,4,5040,BF
C3144B30022680522500,5,5050,CYFIN
C3156A30034080352000,1,5010,FL
C3156A30034080352000,2,5020,RST
C3156A30034080352000,3,5030,G
C3156A30034080352000,4,5040,BF
C3156A30034080352000,5,5050,CYFIN
C3144B30017400653000,1,5010,FL
C3144B30017400653000,2,5020,RST
C3144B30017400653000,3,5030,G
C3144B30017400653000,4,5040,BF
C3144B30017400653000,5,5050,CYFIN
C3146B36029760422000,1,5010,FL
C3146B36029760422000,2,5020,RST
C3146B36029760422000,3,5030,G
C3146B36029760422000,4,5040,BF
C3146B36029760422000,5,5050,CYFIN
C3146B36031680422000,1,5010,FL
C3146B36031680422000,2,5020,RST
C3146B36031680422000,3,5030,G
C3146B36031680422000,4,5040,BF
C3146B36031680422000,5,5050,CYFIN
C3144B34019200652500,1,5010,FL
C3144B34019200652500,2,5020,RST
C3144B34019200652500,3,5030,G
C3144B34019200652500,4,5040,BF
C3144B34019200652500,5,5050,CYFIN
C3164B36036720352000,1,5010,FL
C3164B36036720352000,2,5020,RST
C3164B36036720352000,3,5030,G
C3164B36036720352000,4,5040,BF
C3164B36036720352000,5,5050,CYFIN
C3164B36031680422000,1,5010,FL
C3164B36031680422000,2,5020,RST
C3164B36031680422000,3,5030,G
C3164B36031680422000,4,5040,BF
C3164B36031680422000,5,5050,CYFIN
C3146B30025200422000,1,5010,FL
C3146B30025200422000,2,5020,RST
C3146B30025200422000,3,5030,G
C3146B30025200422000,4,5040,BF
C3146B30025200422000,5,5050,CYFIN
C3146B30026400422000,1,5010,FL
C3146B30026400422000,2,5020,RST
C3146B30026400422000,3,5030,G
C3146B30026400422000,4,5040,BF
C3146B30026400422000,5,5050,CYFIN
C3146B32028080422000,1,5010,FL
C3146B32028080422000,2,5020,RST
C3146B32028080422000,3,5030,G
C3146B32028080422000,4,5040,BF
C3146B32028080422000,5,5050,CYFIN
C3146B34029880422000,1,5010,FL
C3146B34029880422000,2,5020,RST
C3146B34029880422000,3,5030,G
C3146B34029880422000,4,5040,BF
C3146B34029880422000,5,5050,CYFIN
C3146B38033360422000,1,5010,FL
C3146B38033360422000,2,5020,RST
C3146B38033360422000,3,5030,G
C3146B38033360422000,4,5040,BF
C3146B38033360422000,5,5050,CYFIN
C0274D34025200480000,1,5010,FL
C0274D34025200480000,2,5020,G
C0274D34025200480000,3,5030,BF
C0274D34025200480000,4,5040,CYFIN
C0274E34029520420000,1,5010,FL
C0274E34029520420000,2,5020,G
C0274E34029520420000,3,5030,BF
C0274E34029520420000,4,5040,CYFIN
C0078G42023760480000,1,5010,FL
C0078G42023760480000,2,5020,G
C0078G42023760480000,3,5030,BF
C0078G42023760480000,4,5040,CYFIN
C0078G44024960480000,1,5010,FL
C0078G44024960480000,2,5020,G
C0078G44024960480000,3,5030,BF
C0078G44024960480000,4,5040,CYFIN
C0274D34018720550000,1,5010,FL
C0274D34018720550000,2,5020,G
C0274D34018720550000,3,5030,BF
C0274D34018720550000,4,5040,CYFIN
C5181A21012480420000,1,5010,FL
C5181A21012480420000,2,5020,G
C5181A21012480420000,3,5030,BF
C5181A21012480420000,4,5040,CYFIN
C0078B34025440480000,1,5010,FL
C0078B34025440480000,2,5020,G
C0078B34025440480000,3,5030,BF
C0078B34025440480000,4,5040,CYFIN
C5211B34019200480000,1,5010,FL
C5211B34019200480000,2,5020,G
C5211B34019200480000,3,5030,BF
C5211B34019200480000,4,5040,CYFIN
C0078B30026400420000,1,5010,FL
C0078B30026400420000,2,5020,G
C0078B30026400420000,3,5030,BF
C0078B30026400420000,4,5040,CYFIN
C0078B34025560480000,1,5010,FL
C0078B34025560480000,2,5020,G
C0078B34025560480000,3,5030,BF
C0078B34025560480000,4,5040,CYFIN
C0078B32028080420000,1,5010,FL
C0078B32028080420000,2,5020,G
C0078B32028080420000,3,5030,BF
C0078B32028080420000,4,5040,CYFIN
C0335C33028800420000,1,5010,FL
C0335C33028800420000,2,5020,G
C0335C33028800420000,3,5030,BF
C0335C33028800420000,4,5040,CYFIN
C0078B33028800420000,1,5010,FL
C0078B33028800420000,2,5020,G
C0078B33028800420000,3,5030,BF
C0078B33028800420000,4,5040,CYFIN
C0078B32018000480000,1,5010,FL
C0078B32018000480000,2,5020,G
C0078B32018000480000,3,5030,BF
C0078B32018000480000,4,5040,CYFIN
C5211B36020280480000,1,5010,FL
C5211B36020280480000,2,5020,G
C5211B36020280480000,3,5030,BF
C5211B36020280480000,4,5040,CYFIN
C5211B36027120480000,1,5010,FL
C5211B36027120480000,2,5020,G
C5211B36027120480000,3,5030,BF
C5211B36027120480000,4,5040,CYFIN
C0274D38024000550000,1,5010,FL
C0274D38024000550000,2,5020,G
C0274D38024000550000,3,5030,BF
C0274D38024000550000,4,5040,CYFIN
C5540A38024000550000,1,5010,FL
C5540A38024000550000,2,5020,G
