order_no,item_code,item_name,quantity,status,purch_odr_typ,delivery_date,前工程
E8844619,AO-KF12-00802AB34,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,2.0,2,1,2025-10-27,AO-KF12-00802AB34
E8844620,AO-KF12-00802AB34,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,4.0,2,1,2025-10-31,AO-KF12-00802AB34
E8844621,AO-KF12-00803AB34,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,1.0,2,1,2025-10-27,AO-KF12-00803AB34
E8844622,AO-KF12-00803AB34,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,2.0,2,1,2025-10-31,AO-KF12-00803AB34
E8844623,AO-KF12-00804AB34,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,1.0,2,1,2025-10-27,AO-KF12-00804AB34
E8844624,AO-KF12-00804AB34,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,2.0,2,1,2025-10-31,AO-KF12-00804AB34
E8848148,PL-K-2001F34,FABRIC RING      HCR,1.0,2,1,2025-10-22,PL-K-2001F34
E8850322,L1-1035-417AA30-DRUM,COVER RING,1.0,2,1,2025-10-24,L1-1035-417AA30-DRUM
E8850323,L1-1035-418AA30-DRUM,INNER RACE,2.0,2,1,2025-10-10,L1-1035-418AA30-DRUM
E8850412,L1-625-65134-DRUM,YARN CARRIER RING,1.0,2,1,2025-10-20,L1-625-65134-DRUM
E8850413,L1-720-65242-DRUM,YARN CARRIER RING,1.0,2,1,2025-10-20,L1-720-65242-DRUM
E8853013,L1-161-406SA34,GEAR RING,1.0,2,1,2025-10-10,L1-161-406SA34
E8853020,L1-165-601GA40,DIAL CAP HUB,2.0,2,1,2025-10-10,L1-165-601GA40
E8853022,LA-5211-601AA34-L2,DIAL CAP HUB   L2,1.0,2,1,2025-10-20,LA-5211-601AA34-L2
E8853023,L1-5211-601AA34,DIAL CAP HUB,1.0,2,1,2025-10-10,L1-5211-601AA34
E8853026,L1-171-501AA34,CAM RING(L1),2.0,2,1,2025-10-10,L1-171-501AA34
E8853038,L1-5211-601AA34,DIAL CAP HUB,2.0,2,1,2025-10-15,L1-5211-601AA34
E8853042,L1-161-406RE34,GEAR RING,2.0,2,1,2025-10-15,L1-161-406RE34
E8853045,L1-5529-501CA34,CAM RING,2.0,2,1,2025-10-15,L1-5529-501CA34
E8853143,L1-474-502AA38,CAM HOLDER,2.0,2,1,2025-10-03,L1-474-502AA38
E8853180,L1-171-406PA30,GEAR RING,2.0,2,1,2025-10-17,L1-171-406PA30
E8853183,L1-171-501HA30,CAM RING A       (L1),2.0,2,1,2025-10-17,L1-171-501HA30
E8853205,PL-4207-502AA34,CAM HOLDER ｶﾆｾﾞﾝﾒｯｷ(37個),2.0,2,1,2025-10-27,PL-4207-502AA34
E8853229,L1-57-40524-S,NEEDLE CYLINDER,3.0,2,1,2025-10-08,L1-57-40524-S
E8854965,L-100-270EA1411-1,ASSY. REEL ROLL,10.0,2,1,2025-11-05,L-100-270EA1411-1
E8854970,L-1331-204GA2500,FRICTION ROLLER,2.0,2,1,2025-11-05,L-1331-204GA2500
E8854972,L-1331-251AA1548-1,ASSY.GUIDE ROLLER,10.0,2,1,2025-11-05,L-1331-251AA1548-1
E8855024,L2-KF20-02224DP,BEVEL GEAR STAND,60.0,2,1,2025-10-28,L2-KF20-02224DP
E8856335,MC-KF20-02224DP,BEVEL GEAR STAND,60.0,2,1,2025-10-28,MC-KF20-02224DP
E8856526,PA-1651-290BA,DRIVING BAR(刻印2),4.0,2,1,2025-11-05,PA-1651-290BA
E8856850,PL-K-2001F30,FABRIC RING      HCR,20.0,2,1,2025-11-05,PL-K-2001F30
E8856851,PL-K-2001F34,FABRIC RING      HCR,2.0,2,1,2025-10-29,PL-K-2001F34
E8857316,L1-59-40924-S,NEEDLE DIAL,2.0,2,1,2025-10-08,L1-59-40924-S
E8857706,AO-1631-105DCL38,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,2.0,2,1,2025-11-05,AO-1631-105DCL38
E8857707,AO-1631-105ECL38,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,2.0,2,1,2025-11-05,AO-1631-105ECL38
