"E000085911","5176-611AA30",245,248,250,2024/05/09 0:00:00
"E000086133","5154-513AA30",732,735,735,2024/05/09 0:00:00
"E000086039","B336-513AB34",128,131,131,2024/05/09 0:00:00
"E000085887","3139-511AA30",197,200,200,2024/05/09 0:00:00
"E000085828","474-627AA30",120,123,123,2024/05/09 0:00:00
"E000086760","4117-533AB30",30,33,33,2024/05/09 0:00:00
"E000086764","4117-533AB30",30,33,33,2024/05/09 0:00:00
"E000085938","5165-541SB30",240,243,245,2024/05/09 0:00:00
"E000085888","3139-512AA30",100,103,105,2024/05/09 0:00:00
"E000087331","279-612T33",10,13,13,2024/05/09 0:00:00
"E000085840","5176-632BA30",120,123,124,2024/05/09 0:00:00
"E000086776","4117-594AA30",1,4,4,2024/05/09 0:00:00
"E000086758","4117-531AB34",32,35,36,2024/05/09 0:00:00
"E000086762","4117-531AB34",32,35,35,2024/05/09 0:00:00
"E000086770","4117-531AB34",32,35,35,2024/05/09 0:00:00
"E000086766","4117-531AB34",32,35,35,2024/05/09 0:00:00
"E000086774","4117-531AB34",16,19,19,2024/05/09 0:00:00
"E000087330","279-611T33",10,13,13,2024/05/09 0:00:00
"E000085904","4117-594AA30",1,4,4,2024/05/09 0:00:00
"E000087342","279-513A33",24,27,34,2024/05/09 0:00:00
