OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG
816-405EA300,1,1,1,1,L-816-405CA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
816-405EA340,1,1,1,1,L-816-405CA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
816-405FA300,1,1,1,1,L-816-405CA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
816-405FA340,1,1,1,1,L-816-405CA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405EA300,1,1,1,1,L-87-40530,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405EA320,1,1,1,1,L-87-40532,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405EA340,1,1,1,1,L-87-40534,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405EA360,1,1,1,1,L-87-40536,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405EA380,1,1,1,1,L-87-40538,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405EA400,1,1,1,1,L-87-40540,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405GA300,1,1,1,1,L-87-40530,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405GA320,1,1,1,1,L-87-40532,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405GA340,1,1,1,1,L-87-40534,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405GA360,1,1,1,1,L-87-40536,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405JA420,1,1,1,1,L-87-40542,,,,1,1,1,PC,1,PC,0,1,,,,,1
970-405FA320,1,1,1,1,L-87-40542,,,,1,1,1,PC,1,PC,0,1,,,,,1
970-405FA340,1,1,1,1,L-87-40534,,,,1,1,1,PC,1,PC,0,1,,,,,1
110-461G-300,1,1,1,1,L-87-40534,,,,1,1,1,PC,1,PC,0,1,,,,,1
208-409CA190,1,1,1,1,L-201-40919-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
274-405AB190,1,1,1,1,L-335-405AA19-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
274-405BA300,1,1,1,1,L-335-405AA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
279-409DA330,1,1,1,1,L-478-409BA33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
3154-405AA190,1,1,1,1,L-81-405FA19,,,,1,1,1,PC,1,PC,0,1,,,,,1
