HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
YCM-204C,6,60,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCM-204C,7,70,HOLD,CC,,10,0,0,0,10,,,2,2
YCM-204C,8,80,PL,3861,,10,60,2,999,13,,,2,1
YCM-204C,9,90,YAFIN,CC,,10,10,1,0,10,,,2,2
YCM-135C,1,10,MC1,PT,PT005,12,30,1,0,10,,,2,2
YCM-135C,2,20,MC2,PT,PT007,12,15,1,0,10,,,2,2
YCM-135C,3,30,CHDE,CC,,10,0,0,0,10,,,2,2
YCM-135C,4,40,HOLF,CC,,10,0,0,0,10,,,2,2
YCM-135C,5,50,HT,CC,CA036,30,0,1,0,10,,,2,2
YCM-135C,6,60,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCM-135C,7,70,HOLD,CC,,10,0,0,0,10,,,2,2
YCM-135C,8,80,PL,3861,,10,60,2,999,13,,,2,1
YCM-135C,9,90,YAFIN,CC,,10,10,1,0,10,,,2,2
YS65-03701AB,1,10,MC1,PT,PT005,12,30,1,0,10,,,2,2
YS65-03701AB,2,20,MC2,PT,PT007,12,15,1,0,10,,,2,2
YS65-03701AB,3,30,CHDE,CC,,10,0,0,0,10,,,2,2
YS65-03701AB,4,40,HOLF,CC,,10,0,0,0,10,,,2,2
YS65-03701AB,5,50,HT,CC,CA036,30,0,1,0,10,,,2,2
YS65-03701AB,6,60,QBR,CC,CA025,10,0,0,0,10,,,2,2
YS65-03701AB,7,70,HOLD,CC,,10,0,0,0,10,,,2,2
YS65-03701AB,8,80,PL,3861,,10,60,2,999,13,,,2,1
YS65-03701AB,9,90,YAFIN,CC,,10,10,1,0,10,,,2,2
C0078B38033600420000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B38033600420000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B38033600420000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B38033600420000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C5542A34025200420000,1,10,FL,60,,0,0,1,0,10,,,2,2
C5542A34025200420000,2,20,G,60,,0,0,1,0,10,,,2,2
C5542A34025200420000,3,30,BF,60,,0,0,1,0,10,,,2,2
C5542A34025200420000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0274D38024400550000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0274D38024400550000,2,20,G,60,,0,0,1,0,10,,,2,2
C0274D38024400550000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0274D38024400550000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0274D38028080480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0274D38028080480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0274D38028080480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0274D38028080480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B36020280480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B36020280480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B36020280480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B36020280480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C5306B34018720480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C5306B34018720480000,2,20,G,60,,0,0,1,0,10,,,2,2
C5306B34018720480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C5306B34018720480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B30022560480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B30022560480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B30022560480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B30022560480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078A33037200340000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078A33037200340000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078A33037200340000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078A33037200340000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078E30037920300000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078E30037920300000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078E30037920300000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078E30037920300000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C5546A38024400550000,1,10,FL,60,,0,0,1,0,10,,,2,2
C5546A38024400550000,2,20,G,60,,0,0,1,0,10,,,2,2
C5546A38024400550000,3,30,BF,60,,0,0,1,0,10,,,2,2
C5546A38024400550000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B30026640420000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B30026640420000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B30026640420000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B30026640420000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078E30034080340000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078E30034080340000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078E30034080340000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078E30034080340000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B36024840420000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B36024840420000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B36024840420000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B36024840420000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B34019200480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B34019200480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B34019200480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B34019200480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B34029880420000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B34029880420000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B34029880420000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B34029880420000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078E36040560340000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078E36040560340000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078E36040560340000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078E36040560340000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C5540A38024400550000,1,10,FL,60,,0,0,1,0,10,,,2,2
C5540A38024400550000,2,20,G,60,,0,0,1,0,10,,,2,2
C5540A38024400550000,3,30,BF,60,,0,0,1,0,10,,,2,2
C5540A38024400550000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B34034080400000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B34034080400000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B34034080400000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B34034080400000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078E34042720300000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078E34042720300000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078E34042720300000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078E34042720300000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078A30026400420000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078A30026400420000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078A30026400420000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078A30026400420000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B38038160400000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B38038160400000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B38038160400000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B38038160400000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B30030240400000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B30030240400000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B30030240400000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B30030240400000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
00-918AU,1,10,MARK,30,CA048,10,10,1,0,10,,,2,2
