H,defTopId,S1C0,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C13,S1C23,S1C33,S1C43,S1C53,S1C63,S1C73,S1C83,S1C93,S1C103,S1C113,S1C123,S1C133,S1C143,S1C153,S1C163,S1C173,S1C183,S1C193,S1C203,S1C213,S1C223,S1C233,S1C243,S1C253,S1C263,S1C273,S1C283,S1C293,S1C303,S1C313,S1C323,S1C333,S1C343,S1C353,S1C363,S1C373,S1C383,S1C393,S1C403,S1C413,S1C423,S1C433,S1C443,S1C453,S1C463,S1C473,S1C483,S1C493,S1C503,S1C513,S1C523,S1C533,S1C543,S1C553,S1C563,S1C573,S1C583,S1C593,S1C603,S1C613,S1C623,S1C633,S1C643,S1C653,S1C663,S1C673,S1C683,S1C693,S1C703,S1C713
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,6,24DKD042,BANGLADESH　　　SQ GROUP,M-6ER42,40.0,18.0,2268,【■シリンダー針】,21122CB022,,21122CC022,,21122CD022,,21122CE022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022C1,,7322DL0022C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜EK Y無し用＞,24,04,5,24DKD043,SPAIN　　　VILNOU,OD5B-M-LEC7BSD,30.0,36.0,3384,【■シリンダー針】,33632CZ21,,【■中間ジャック(C)】,35532CJ1D,【■ ﾊﾟﾀｰﾆﾝｸﾞｼﾞｬｯｸ (C)】,551332CHJ3DF,551332CLJ3DF,【■ロッキングピース(C)】,550932CL6,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47440DHS71V,,47440DLS71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,6,24DKD044,BANGLADESH　　　MASCO INDUSTRIES LTD,M-6ER22,38.0,18.0,2136,【■シリンダー針】,21122CB022,,21122CC022,,21122CD022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022C1,,7322DL0022C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,6,24DKD045,BANGLADESH　　　MASCO INDUSTRIES LTD,M-6ER22,38.0,18.0,2136,【■シリンダー針】,21122CB022,,21122CC022,,21122CD022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022C1,,7322DL0022C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,6,24DKD046,BANGLADESH　　　MASCO INDUSTRIES LTD,M-6ER22,38.0,18.0,2136,【■シリンダー針】,21122CB022,,21122CC022,,21122CD022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022C1,,7322DL0022C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,6,24DKD047,BANGLADESH　　　MASCO INDUSTRIES LTD,M-6ER22,38.0,18.0,2136,【■シリンダー針】,21122CB022,,21122CC022,,21122CD022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022C1,,7322DL0022C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,8,24DKD048,BANGLADESH　　　MASCO INDUSTRIES LTD,M-6ER22,40.0,18.0,2268,【■シリンダー針】,21122CB022,,21122CC022,,21122CD022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022C1,,7322DL0022C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,8,24DKD049,BANGLADESH　　　MASCO INDUSTRIES LTD,M-6ER22,40.0,18.0,2268,【■シリンダー針】,21122CB022,,21122CC022,,21122CD022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022C1,,7322DL0022C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,1,24DKD050,BANGLADESH　　　MASCO INDUSTRIES LTD,M-SDR,34.0,18.0,1920,【■シリンダー針】,21122CB22,,21122CC22,,21122CD22,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022,,7322DL0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,1,24DKD051,BANGLADESH　　　MASCO INDUSTRIES LTD,M-SDR,34.0,18.0,1920,【■シリンダー針】,21122CB22,,21122CC22,,21122CD22,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022,,7322DL0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,1,24DKD052,BANGLADESH　　　MASCO INDUSTRIES LTD,M-SDR,34.0,18.0,1920,【■シリンダー針】,21122CB22,,21122CC22,,21122CD22,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022,,7322DL0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,1,24DKD053,BANGLADESH　　　MASCO INDUSTRIES LTD,M-SDR,34.0,18.0,1920,【■シリンダー針】,21122CB22,,21122CC22,,21122CD22,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7322DH0022,,7322DL0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,5,24DKD054,CHINA　　　広東諾亞紡織科技有限公司,M-8ME22,34.0,40.0,4272,【■シリンダー針】,7840CC15,,7840CD15,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH12C5,,7340DL12C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,5,24DKD055,CHINA　　　広東諾亞紡織科技有限公司,M-8ME22,34.0,40.0,4272,【■シリンダー針】,7840CC15,,7840CD15,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH12C5,,7340DL12C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,8,24DKD056,CHINA　　　広東諾亞紡織科技有限公司,M-8ME22,34.0,40.0,4272,【■シリンダー針】,7840CC15,,7840CD15,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH12C5,,7340DL12C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,8,24DKD057,CHINA　　　広東諾亞紡織科技有限公司,M-8ME22,34.0,40.0,4272,【■シリンダー針】,7840CC15,,7840CD15,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH12C5,,7340DL12C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,8,24DKD058,VIET NAM　　　寧波申洲(越南)針織品有限公司,OD6B-M-8ERS,30.0,24.0,2256,【■シリンダー針】,21122CB022,,21122CC022,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47418DB71V,,47418DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,7,24DKD059,COLOMBIA　　　FUKUTEX S.A.S.,M-9ME22,30.0,28.0,2640,【■シリンダー針】,7828CH61,,7828CL61,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7328DH21C2S,,7328DL21C2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,6,24DKD060,TURKEY　　　DILEK TEKSTILE,OD5B-M-9ME42,30.0,40.0,3792,【■シリンダー針】,7840CB015,,7840CC015,,7840CD015,,7840CE015,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH012C2,,7340DL012C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,6,24DKD061,TURKEY　　　DILEK TEKSTILE,OD5B-M-9ME42,30.0,40.0,3792,【■シリンダー針】,7840CB015,,7840CC015,,7840CD015,,7840CE015,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH012C2,,7340DL012C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,7,24DKD062,TURKEY　　　DILEK TEKSTILE,OD5B-M-9ME42,30.0,40.0,3792,【■シリンダー針】,7840CB015,,7840CC015,,7840CD015,,7840CE015,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH012C2,,7340DL012C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,369,＜ﾉｰﾏﾙ Y無し用＞,24,04,7,24DKD063,TURKEY　　　DILEK TEKSTILE,OD5B-M-9ME42,30.0,40.0,3792,【■シリンダー針】,7840CB015,,7840CC015,,7840CD015,,7840CE015,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH012C2,,7340DL012C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
