H,defTopId,S1C0,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C13,S1C23,S1C33,S1C43,S1C53,S1C63,S1C73,S1C83,S1C93,S1C103,S1C113,S1C123,S1C133,S1C143,S1C153,S1C163,S1C173,S1C183,S1C193,S1C203,S1C213,S1C223,S1C233,S1C243,S1C253,S1C263,S1C273,S1C283,S1C293,S1C303,S1C313,S1C323,S1C333,S1C343,S1C353,S1C363,S1C373,S1C383,S1C393,S1C403,S1C413,S1C423,S1C433,S1C443,S1C453,S1C463,S1C473,S1C483,S1C493,S1C503,S1C513,S1C523,S1C533,S1C543,S1C553,S1C563,S1C573,S1C583,S1C593,S1C603,S1C613,S1C623,S1C633,S1C643,S1C653,S1C663,S1C673,S1C683,S1C693,S1C703,S1C713
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,3,24DKF001,INDONESIA　　　CV CAHAYA KURNIA,OD5B-M-8ME22,34.0,40.0,4272,【■シリンダー針】,7840CB15,,7840CC15,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,7340DH12C5,,7340DL12C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,1,24DKF002,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,1,24DKF003,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,1,24DKF004,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,1,24DKF005,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,1,24DKF006,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,2,24DKF007,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,2,24DKF008,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,2,24DKF009,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,374,＜ﾉｰﾏﾙ Y無し用＞,24,06,2,24DKF010,CHINA　　　寧波申洲針織品有限公司,OD6B-M-7ES,30.0,24.0,2256,【■シリンダー針】,47422CB71V,,47422CC71V,,【▼ ｼﾝｶｰ/ﾀﾞｲﾔﾙ針 】,47422DB71V,,47422DC71V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
