FINAL_ITEM_CODE,PROCESS_ORDER,PROCESS_CODE,RES_CODE1,CAPACITY1,INF_CHANGE1,RES_CODE2,CAPACITY2,INF_CHANGE2,RES_CODE3,CAPACITY3,INF_CHANGE3,VERSION,OPE_NAME,UP_DATE,CHK_VAL_FLG
K-13801E,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
K-13801LA,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
K-17201D,1,GAI,000,1,0,,,,,,,1,初崎　和広,2019-09-11,0
K-22601AA,1,MC,000,1,0,,,,,,,1,初崎　和広,2025-05-16,0
K-28801EB,1,MC,004,1,0,,,,,,,1,初崎　和広,2025-05-16,0
K-28801EB,1,MC,000,1,0,,,,,,,2,初崎　和広,2025-05-16,0
K-29901GA,1,GAI,000,1,0,,,,,,,1,初崎　和広,2018-11-29,0
KF20-03601EA0560,1,MCW,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
KF20-03602EA0560,1,MCW,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
KF20-03901BA,1,MCW,015,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
KF20-03901BA,1,MCW,000,1,0,,,,,,,3,森友　宏幸,2025-05-15,0
KS51-00101AC,1,GAI,000,1,0,,,,,,,1,初崎　和広,2021-07-08,0
SPL-1522GAA,1,MC,000,1,0,,,,,,,1,初崎　和広,2025-05-16,0
SPL-2843-402DA38,1,GAI,000,1,0,,,,,,,1,初崎　和広,2025-08-18,0
SPL-2843-403FA38,1,GAI,000,1,0,,,,,,,1,初崎　和広,2025-08-18,0
SPL-2843-404AA,1,GAI,000,1,0,,,,,,,1,初崎　和広,2025-08-18,0
SPL-2843-442,1,GAI,000,1,0,,,,,,,1,初崎　和広,2025-08-18,0
SPL-2890-102AA,1,MC,000,1,0,,,,,,,1,初崎　和広,2025-05-16,0
