クラス名称	メッセージID	メッセージタイプ	日本語タイトル	日本語メッセージ	他国語タイトル	他国語メッセージ
hu3100_pfw_cst	19	1	ｴﾗｰ	要求払い品の経費振替にて使用する名称マスタの理由コードは、理由マスタの理由区分が手配以外です	Error	
hu3100_pfw_cst	20	1	ｴﾗｰ	外注預け品の経費振替にて使用する名称マスタの理由コードが、理由マスタに登録されていません	Error	
hu3100_pfw_cst	21	1	ｴﾗｰ	外注預け品の経費振替にて使用する名称マスタの理由コードは、理由マスタの理由区分が手配以外です	Error	
huc010_pfw_add	1	4	確認	明細部に表示されている製番の出荷予定日、月次を更新します。よろしいですか。	Question	
huc010_pfw_add	2	4	確認	明細部に表示されている製番の出荷予定日、月次を更新します。よろしいですか。	Question	
huc010_pfw_add	3	4	確認	明細部で「納期変更」「組立工程のみ納期変更」が選択されている部品表の希望納期を洗い替えします。よろしいですか。	Question
huc010_pfw_add	4	1	ｴﾗｰ	休日は設定できません。	Error	
huc010_pfw_add	5	2	ｲﾝﾌｫﾒｰｼｮﾝ	マイナス稼働日に製番区分コードが設定されていません。	Information	
huc010_pfw_add	6	2	ｲﾝﾌｫﾒｰｼｮﾝ	マイナス稼働日の完成予定日または組立予定日に数字が設定されていません。	Information	
huc010_pfw_add	7	1	ｴﾗｰ	手配が進んでいる製番が含まれています。	Error	
huc010_pfw_add	8	1	ｴﾗｰ	カレンダーに登録されていない日付が含まれています。	Error	
ju0100_pfw_cst	1	2	ｲﾝﾌｫﾒｰｼｮﾝ	明細行が20行以上表示されています	Information	
ju0100_pfw_cst	2	2	ｲﾝﾌｫﾒｰｼｮﾝ	納入先が不正な工程行が存在します	Information	
ju0100_pfw_cst	3	2	ｲﾝﾌｫﾒｰｼｮﾝ	納入先コードに問題はありませんでした	Information	
ju0100_pfw_cst	4	1	ｴﾗｰ	チェック処理に失敗しました	Error	
ju3800_pfw_cst	1	2	ｲﾝﾌｫﾒｰｼｮﾝ	許可承認されていないため、選択できません	Information	
ju4200_pfw_cst	1	1	ｴﾗｰ	採番マスタの自動採番区分が「しない」では、処理ができません	Error	
ju4200_pfw_cst	2	1	ｴﾗｰ	名称マスタに要求払い品の経費振替にて使用する理由コードが登録されていません	Error	
ju4200_pfw_cst	3	1	ｴﾗｰ	名称マスタに外注預け品の経費振替にて使用する理由コードが登録されていません	Error	
ju4200_pfw_cst	4	2	ｲﾝﾌｫﾒｰｼｮﾝ	在庫不足により、同一階層の棚出登録が出来ない引当がありました。	Information	
ju4200_pfw_cst	5	2	ｲﾝﾌｫﾒｰｼｮﾝ	要求払いデータが存在しないため、要求払い品の経費振替登録が出来ない部品がありました。	Information	
ju4200_pfw_cst	6	2	ｲﾝﾌｫﾒｰｼｮﾝ	要求払い品の経費振替登録にて、振替元原価が赤字が存在します。	Information	
ju4200_pfw_cst	7	2	ｲﾝﾌｫﾒｰｼｮﾝ	外注預けデータが存在しないため、外注預け品の経費振替登録が出来ない部品がありました。	Information	
ju4200_pfw_cst	8	2	ｲﾝﾌｫﾒｰｼｮﾝ	外注預け品の経費振替登録にて、振替元原価が赤字が存在します。	Information	
ju4200_pfw_cst	9	2	ｲﾝﾌｫﾒｰｼｮﾝ	在庫不足により、カム品の棚出登録が出来ない引当がありました。	Information	
ju4200_pfw_cst	10	1	ｴﾗｰ	要求払い品の経費振替にて使用する名称マスタの理由コードが、理由マスタに登録されていません	Error	
ju4200_pfw_cst	11	1	ｴﾗｰ	要求払い品の経費振替にて使用する名称マスタの理由コードは、理由マスタの理由区分が手配以外です	Error	
ju4200_pfw_cst	12	1	ｴﾗｰ	外注預け品の経費振替にて使用する名称マスタの理由コードが、理由マスタに登録されていません	Error	
ju4200_pfw_cst	13	1	ｴﾗｰ	外注預け品の経費振替にて使用する名称マスタの理由コードは、理由マスタの理由区分が手配以外です	Error	
juc010_pfw_add	1	2	ｲﾝﾌｫﾒｰｼｮﾝ	複写対象としている項目がありません	Information	
juc010_pfw_add	2	2	ｲﾝﾌｫﾒｰｼｮﾝ	複写対象としている部品行がありません	Information	
juc010_pfw_add	3	2	ｲﾝﾌｫﾒｰｼｮﾝ	区分複写用製番が存在しません	Information	
nb0100_pfw_cst	1	1	ｴﾗｰ	事業部別品目マスタが存在しません。[前処理(入庫発生)]	Error	
nb0100_pfw_cst	2	1	ｴﾗｰ	事業部別品目マスタが存在しません[17処理]	Error	
nb0100_pfw_cst	3	1	ｴﾗｰ	事業部別品目マスタが存在しません[前処理(入庫発生)取消]	Error	
nb0100_pfw_cst	4	1	ｴﾗｰ	事業部別品目マスタが存在しません[17処理取消]	Error	
nb0100_pfw_cst	5	1	ｴﾗｰ	仮単価の検収データが存在します確認してください	Error	
mb0100_pfw_cst	1	1	ｴﾗｰ	仮単価の検収データが存在します確認してください	Error	
mb1100_pfw_cst	1	1	ｴﾗｰ	仮単価の検収データが存在します確認してください	Error	
uf_wkdt_chk	1	1	ｴﾗｰ	休日のため、入力できません	Error	
