HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
MA-CR-330-1930,100,,PC,,0.0,0.0,,1
MA-DC-2405-3,100,,PC,,0.0,0.0,,1
MA-DC-2405J-3CB,100,,PC,,0.0,0.0,,1
MA-DC-2409A,100,,PC,,0.0,0.0,,1
MA-DC-3801B,100,,PC,,0.0,0.0,,1
MA-DC-3903HB,100,,PC,,0.0,0.0,,1
MA-DC-3903MA,100,,PC,,0.0,0.0,,1
MA-DC-6900CA,100,,PC,,0.0,0.0,,1
MA-DC-753XA,100,,PC,,0.0,0.0,,1
MA-E-17002K,100,,PC,,0.0,0.0,,1
MA-E-17003KA,100,,PC,,0.0,0.0,,1
MA-E-17003KB,100,,PC,,0.0,0.0,,1
MA-E-17006PB,100,,PC,,0.0,0.0,,1
MA-E-18301N26,100,,PC,,0.0,0.0,,1
MA-E-19002G,100,,PC,,0.0,0.0,,1
MA-E-20614,100,,PC,,0.0,0.0,,1
MA-E-2203HA,100,,PC,,0.0,0.0,,1
MA-E-23101AC,100,,PC,,0.0,0.0,,1
MA-E-6607AA,100,,PC,,0.0,0.0,,1
MA-EP-216C1,100,,PC,,0.0,0.0,,1
MA-ES64-00112AA,100,,PC,,0.0,0.0,,1
MA-G-3411,100,,PC,,0.0,0.0,,1
MA-G-3413N,100,,PC,,0.0,0.0,,1
MA-G-3413P,100,,PC,,0.0,0.0,,1
MA-G-3515E,100,,PC,,0.0,0.0,,1
MA-G-402A,100,,PC,,0.0,0.0,,1
MA-G-6403FB,100,,PC,,0.0,0.0,,1
MA-G-8050,100,,PC,,0.0,0.0,,1
MA-G-9602EB,100,,PC,,0.0,0.0,,1
MA-G-9901LB28,100,,PC,,0.0,0.0,,1
MA-K-11801D,100,,PC,,0.0,0.0,,1
MA-K-12401HD,100,,PC,,0.0,0.0,,1
MA-K-15301K,100,,PC,,0.0,0.0,,1
MA-K-20604ＦA,100,,PC,,0.0,0.0,,1
MA-K-21203,100,,PC,,0.0,0.0,,1
MA-K-23002B,100,,PC,,0.0,0.0,,1
MA-K-23205BA,100,,PC,,0.0,0.0,,1
MA-K-24801BC,100,,PC,,0.0,0.0,,1
MA-K-25015BA,100,,PC,,0.0,0.0,,1
MA-K-26007BA,100,,PC,,0.0,0.0,,1
MA-K-27101MB30-7A,100,,PC,,0.0,0.0,,1
MA-K-27101MB30-A1,100,,PC,,0.0,0.0,,1
MA-K-29901DA,100,,PC,,0.0,0.0,,1
MA-K-29902EB,100,,PC,,0.0,0.0,,1
MA-K-30803FA,100,,PC,,0.0,0.0,,1
MA-KF11-002AA,100,,PC,,0.0,0.0,,1
MA-KF11-003AA,100,,PC,,0.0,0.0,,1
MA-KF20-02224DG,100,,PC,,0.0,0.0,,1
MA-KF20-02224DH,100,,PC,,0.0,0.0,,1
MA-KF20-02224DJ,100,,PC,,0.0,0.0,,1
MA-KF20-02224DN,100,,PC,,0.0,0.0,,1
MA-KF20-02229AA,100,,PC,,0.0,0.0,,1
MA-KF20-03901AC,100,,PC,,0.0,0.0,,1
MA-KF22-002CA,100,,PC,,0.0,0.0,,1
MA-KF22-002CA,100,,PC,,0.0,0.0,,1
FPP-16-001AA,100,,PC,,0.0,0.0,,1
MA-KS64-00501DC,100,,PC,,0.0,0.0,,1
MA-KS64-00903AB,100,,PC,,0.0,0.0,,1
MA-KS64-01617CB,100,,PC,,0.0,0.0,,1
MA-SPL-1844EB,100,,PC,,0.0,0.0,,1
MA-SPL-2184BA30,100,,PC,,0.0,0.0,,1
MA-SPL-2357AA,100,,PC,,0.0,0.0,,1
MA-SPL-2357DA,100,,PC,,0.0,0.0,,1
MA-SPL-2388BA,100,,PC,,0.0,0.0,,1
MA-SPL-2388BB,100,,PC,,0.0,0.0,,1
MA-SPL-2406WB,100,,PC,,0.0,0.0,,1
MA-SPL-2414BA30,100,,PC,,0.0,0.0,,1
MA-SPL-2434BA30,100,,PC,,0.0,0.0,,1
MA-SPL-2434BA38,100,,PC,,0.0,0.0,,1
MA-SPL-2434CA30,100,,PC,,0.0,0.0,,1
MA-SPL-2434CA38,100,,PC,,0.0,0.0,,1
MA-SPL-2452AA,100,,PC,,0.0,0.0,,1
MA-SPL-2452CA,100,,PC,,0.0,0.0,,1
MA-SPL-2539GA2650,100,,PC,,0.0,0.0,,1
MA-SPL-2944-204JA2200,100,,PC,,0.0,0.0,,1
MA-SPL-2944-204JA2300,100,,PC,,0.0,0.0,,1
MA-SPL-2944-204KA2200,100,,PC,,0.0,0.0,,1
MA-SPL-2944-204KA2300,100,,PC,,0.0,0.0,,1
MA-SPS-67AA,100,,PC,,0.0,0.0,,1
MA-SPS-67AB,100,,PC,,0.0,0.0,,1
MA-SPS-67BA,100,,PC,,0.0,0.0,,1
MA-SUT-02G,100,,PC,,0.0,0.0,,1
MA-SUT-10BF,100,,PC,,0.0,0.0,,1
MA-DC-3607MC0750,100,,PC,,0.0,0.0,,1
MA-2172-276BA,100,,PC,,0.0,0.0,,1
MA-K-31901BB,100,,PC,,0.0,0.0,,1
MA-K-31901CB,100,,PC,,0.0,0.0,,1
MA-KF20-08604AB,100,,PC,,0.0,0.0,,1
MA-KF30-01201AA,100,,PC,,0.0,0.0,,1
MA-K-26719HB,100,,PC,,0.0,0.0,,1
MA-165-250EA,100,,PC,,0.0,0.0,,1
MA-SPL-2944-204JA2500,100,,PC,,0.0,0.0,,1
MA-SPL-2944-204KA2500,100,,PC,,0.0,0.0,,1
MA-KF12-02301AA42,100,,PC,,0.0,0.0,,1
MA-KF12-02302AA42,100,,PC,,0.0,0.0,,1
MA-KF12-02303AA42,100,,PC,,0.0,0.0,,1
MA-KF12-02304AA42,100,,PC,,0.0,0.0,,1
MA-K-22903CA,100,,PC,,0.0,0.0,,1
MA-K-22903EA,100,,PC,,0.0,0.0,,1
MA-K-2001D11,100,,PC,,0.0,0.0,,1
MA-K-2001D13,100,,PC,,0.0,0.0,,1
MA-K-2001D14,100,,PC,,0.0,0.0,,1
MA-K-2001D26,100,,PC,,0.0,0.0,,1
MA-K-2001D30,100,,PC,,0.0,0.0,,1
MA-K-2001D32,100,,PC,,0.0,0.0,,1
MA-K-2001D34,100,,PC,,0.0,0.0,,1
MA-K-2001D36,100,,PC,,0.0,0.0,,1
MA-K-2001D38,100,,PC,,0.0,0.0,,1
MA-K-2001HA54,100,,PC,,0.0,0.0,,1
MA-K-2001HA56,100,,PC,,0.0,0.0,,1
MA-K-2001HA58,100,,PC,,0.0,0.0,,1
MA-K-22903KA,100,,PC,,0.0,0.0,,1
MA-1831-105AB30,100,,PC,,0.0,0.0,,1
MA-1831-105BB30,100,,PC,,0.0,0.0,,1
MA-G-2102H,100,,PC,,0.0,0.0,,1
MA-G-2102LB,100,,PC,,0.0,0.0,,1
MA-G-2103HB,100,,PC,,0.0,0.0,,1
MA-G-2103LB,100,,PC,,0.0,0.0,,1
MA-G-2103NA,100,,PC,,0.0,0.0,,1
MA-G-2103PA,100,,PC,,0.0,0.0,,1
MA-SPL-2843-307AA38,100,,PC,,0.0,0.0,,1
MA-1651-290KA,100,3051,PC,2025/08/28,0.0,7400.0,,1
MA-1651-290LA,100,3051,PC,2025/08/28,0.0,7800.0,,1
MA-K-5701BC,100,2960,PC,2025/09/01,5000.0,99.0,,1
MA-KF12-02901AA38,100,3069,PC,2025/09/05,0.0,7275.0,,1
MA-KF12-02902AA38,100,3069,PC,2025/09/05,0.0,7275.0,,1
MA-KF12-02903AA38,100,3069,PC,2025/09/05,0.0,7073.0,,1
MA-KF12-02904AA38,100,3069,PC,2025/09/05,0.0,7073.0,,1
MA-2190-250BA2300,100,3069,PC,2025/09/12,0.0,20680.0,,1
MA-1331-250PA2300,100,3069,PC,2025/09/11,0.0,19210.0,,1
MA-1331-257DB2300,100,,PC,,0.0,0.0,,1
MA-KUT-206PB,100,3633,PC,2025/09/11,0.0,7942.0,,1
MA-1331-251AA2330,100,3531,PC,2025/09/26,0.0,10960.0,,1
MA-720-65213-DRUM,100,,PC,,0.0,0.0,,1
MA-720-65213-DRUM,100,,PC,,0.0,0.0,,1
MA-3154-609BA2,100,,PC,,0.0,0.0,,1
MA-161-312AA,100,,PC,,0.0,0.0,,1
MA-720-65225-DRUM,100,,PC,,0.0,0.0,,1
MA-5546-405AA34-S,100,,PC,,0.0,0.0,,1
MA-5546-405AA34-S,100,,PC,,0.0,0.0,,1
